mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,gzip_byte,fractal_dim,score,score_geom,w_H,w_OP_s,w_OP_t,w_geom,w_T,w_G,w_dim,T,seed,magnetisation
0.468445,0.171323,0.441453,0.436497,0.191817,0.185999,0.750039,0.552188,0.085781,,0.884005,0.542758,1.0,0.0,0.912443,0.560218,0.969115,0.99971,,2.22,0,0.10207
0.482291,0.176123,0.48565,0.44454,0.176524,0.174502,0.739785,0.557969,0.086777,,0.880368,0.571972,1.0,0.0,0.88726,0.57645,0.992547,0.999682,,2.22,1,0.071094
0.47047,0.179516,0.459896,0.436023,0.157667,0.150517,0.724707,0.54625,0.086523,,0.829814,0.549127,1.0,0.0,0.831853,0.550476,0.997814,0.999735,,2.22,2,0.106172
0.470115,0.173653,0.4315,0.435479,0.150718,0.150336,0.73541,0.544844,0.085625,,0.818921,0.534966,1.0,0.0,0.821009,0.53633,0.997716,0.99974,,2.22,3,0.256328
0.494827,0.2005,0.526666,0.455298,0.175433,0.168696,0.731777,0.566406,0.089629,,0.878937,0.594865,1.0,0.0,0.879477,0.59523,0.999753,0.999633,,2.22,4,0.001211
0.46046,0.18651,0.453829,0.42696,0.175265,0.169007,0.747305,0.538281,0.084199,,0.859128,0.541506,1.0,0.0,0.879673,0.554456,0.976877,0.999763,,2.22,5,0.227617
0.497217,0.205536,0.527628,0.456361,0.131569,0.128683,0.707246,0.562656,0.088789,,0.713332,0.54096,1.0,0.0,0.743032,0.563483,0.960359,0.999656,,2.22,6,0.078828
0.480199,0.185368,0.499126,0.444029,0.177641,0.174822,0.743789,0.560312,0.087539,,0.875363,0.573069,1.0,0.0,0.888757,0.581837,0.985255,0.99967,,2.22,7,0.129492
0.470763,0.193255,0.471806,0.438593,0.146972,0.128245,0.729531,0.551094,0.086914,,0.770781,0.542207,1.0,0.0,0.771014,0.54237,0.999983,0.999715,,2.22,8,0.20832
0.492677,0.183527,0.492756,0.458217,0.157363,0.155738,0.725645,0.572969,0.089414,,0.838012,0.573372,1.0,0.0,0.839601,0.574459,0.998519,0.999588,,2.22,9,0.100742
0.475491,0.200811,0.510476,0.438145,0.149565,0.149496,0.72207,0.550156,0.085996,,0.813516,0.564698,1.0,0.0,0.817752,0.567638,0.9951,0.999719,,2.22,10,0.110352
0.456822,0.205343,0.475573,0.424917,0.152277,0.132068,0.731738,0.532656,0.08418,,0.787855,0.541822,1.0,0.0,0.788216,0.54207,0.999764,0.999778,,2.22,11,0.20207
0.454725,0.190507,0.439207,0.425456,0.204482,0.174323,0.757129,0.542656,0.084727,,0.858575,0.522854,1.0,0.0,0.909617,0.553938,0.944124,0.999748,,2.22,12,0.119922
0.448272,0.165069,0.391091,0.419448,0.212575,0.186083,0.759648,0.535937,0.083437,,0.864339,0.498039,1.0,0.0,0.925996,0.533566,0.933631,0.999769,,2.22,13,0.081797
0.472308,0.18406,0.459791,0.438391,0.147592,0.147588,0.720332,0.551094,0.086699,,0.805124,0.542706,1.0,0.0,0.811256,0.54684,0.992724,0.999715,,2.22,14,0.015234
0.479064,0.178855,0.48138,0.444101,0.187058,0.16604,0.745391,0.562187,0.087012,,0.870587,0.563816,1.0,0.0,0.88715,0.574543,0.981665,0.999659,,2.22,15,0.023867
0.493789,0.192909,0.506053,0.453417,0.176016,0.16727,0.745801,0.565625,0.08834,,0.861065,0.574766,1.0,0.0,0.878342,0.586299,0.980684,0.999638,,2.22,16,0.174375
0.475421,0.204209,0.517725,0.439657,0.121577,0.121071,0.701152,0.554063,0.087266,,0.657289,0.508253,1.0,0.0,0.701652,0.542556,0.937054,0.999702,,2.22,17,0.044219
0.495702,0.195565,0.523817,0.457704,0.168968,0.146634,0.734277,0.566406,0.088027,,0.83814,0.585024,1.0,0.0,0.839647,0.586076,0.998572,0.999633,,2.22,18,0.020664
0.466139,0.179849,0.448059,0.432109,0.180795,0.165538,0.7725,0.54,0.084473,,0.764782,0.481462,1.0,0.0,0.880903,0.554565,0.868391,0.999757,,2.22,19,0.384141
0.476887,0.169278,0.471816,0.443127,0.167016,0.160051,0.733301,0.557969,0.087129,,0.857669,0.563467,1.0,0.0,0.858672,0.564126,0.999149,0.999682,,2.225,0,0.071289
0.475529,0.164555,0.451087,0.441544,0.181881,0.181287,0.743652,0.556094,0.087109,,0.886225,0.555419,1.0,0.0,0.899502,0.56374,0.985544,0.999692,,2.225,1,0.129023
0.475589,0.183586,0.464324,0.439441,0.130316,0.129767,0.708965,0.549219,0.087227,,0.717311,0.514897,1.0,0.0,0.742746,0.533156,0.966022,0.999723,,2.225,2,0.146367
0.473672,0.178941,0.478503,0.438677,0.192207,0.192152,0.747539,0.554844,0.086309,,0.895821,0.563687,1.0,0.0,0.917889,0.577573,0.976254,0.999698,,2.225,3,0.029492
0.507253,0.200391,0.547276,0.465277,0.14988,0.137294,0.721387,0.574688,0.090762,,0.790826,0.583712,1.0,0.0,0.795761,0.587354,0.994221,0.999575,,2.225,4,0.172891
0.468515,0.187643,0.459607,0.434946,0.136284,0.126058,0.727461,0.543594,0.086016,,0.745998,0.53003,1.0,0.0,0.746564,0.530432,0.999496,0.999745,,2.225,5,0.263359
0.496417,0.199671,0.521572,0.456199,0.140984,0.12844,0.719707,0.560469,0.088281,,0.754609,0.560925,1.0,0.0,0.761133,0.565774,0.991757,0.999669,,2.225,6,0.147578
0.49499,0.190022,0.532047,0.455233,0.150128,0.148068,0.724434,0.568281,0.089375,,0.814003,0.580933,1.0,0.0,0.816285,0.582562,0.997582,0.999621,,2.225,7,0.127969
0.479088,0.201761,0.490765,0.445031,0.170071,0.122347,0.735332,0.559375,0.087188,,0.78445,0.554463,1.0,0.0,0.78645,0.555877,0.997781,0.999675,,2.225,8,0.043906
0.500989,0.188551,0.512267,0.464147,0.154135,0.150657,0.725391,0.574531,0.089824,,0.825164,0.580267,1.0,0.0,0.826885,0.581477,0.998342,0.999576,,2.225,9,0.133437
0.47451,0.192662,0.502813,0.437853,0.155895,0.153906,0.724492,0.550156,0.086152,,0.832464,0.567021,1.0,0.0,0.834674,0.568526,0.997633,0.999719,,2.225,10,0.031367
0.46852,0.207276,0.487451,0.435723,0.138326,0.108078,0.711016,0.548125,0.086563,,0.679993,0.514815,1.0,0.0,0.699602,0.529661,0.972236,0.999728,,2.225,11,0.025977
0.46446,0.195332,0.462143,0.432642,0.148142,0.147847,0.733574,0.54375,0.08623,,0.811607,0.544988,1.0,0.0,0.812626,0.545672,0.999002,0.999744,,2.225,12,0.240156
0.460014,0.166799,0.423967,0.428803,0.191796,0.176701,0.749727,0.543125,0.08457,,0.876151,0.531105,1.0,0.0,0.903425,0.547638,0.970056,0.999747,,2.225,13,0.14418
0.492158,0.194392,0.50436,0.454843,0.157027,0.155269,0.725645,0.566094,0.088574,,0.836864,0.57617,1.0,0.0,0.838411,0.577235,0.998519,0.999635,,2.225,14,0.031602
0.48561,0.177131,0.485574,0.450491,0.158418,0.151855,0.727422,0.565937,0.088516,,0.834352,0.566902,1.0,0.0,0.835089,0.567403,0.999481,0.999636,,2.225,15,0.012617
0.500446,0.191343,0.516723,0.459925,0.152035,0.152018,0.728691,0.574375,0.08998,,0.825357,0.58081,1.0,0.0,0.825816,0.581133,0.999866,0.999578,,2.225,16,0.15918
0.491095,0.209887,0.557298,0.451609,0.129363,0.12496,0.709316,0.560937,0.088574,,0.705277,0.549494,1.0,0.0,0.729492,0.56836,0.96713,0.999666,,2.225,17,0.069258
0.501964,0.197008,0.511527,0.463762,0.146301,0.140886,0.732793,0.569688,0.088926,,0.796167,0.573368,1.0,0.0,0.796961,0.573941,0.999391,0.999612,,2.225,18,0.237305
0.478909,0.189218,0.491929,0.442067,0.224715,0.207234,0.769453,0.557031,0.086152,,0.838648,0.522826,1.0,0.0,0.947388,0.590617,0.885498,0.999687,,2.225,19,0.082227
0.482507,0.174301,0.483071,0.447274,0.14514,0.128682,0.71666,0.5625,0.088711,,0.758126,0.541981,1.0,0.0,0.769003,0.549757,0.986194,0.999657,,2.23,0,0.065156
0.497139,0.181798,0.521022,0.458626,0.160181,0.160103,0.72873,0.574375,0.090488,,0.8494,0.587467,1.0,0.0,0.849866,0.587789,0.999874,0.999578,,2.23,1,0.109258
0.483762,0.187301,0.490893,0.446506,0.141452,0.140928,0.714551,0.554063,0.08793,,0.773562,0.546535,1.0,0.0,0.788357,0.556988,0.981526,0.999702,,2.23,2,0.116641
0.483382,0.181445,0.48685,0.446979,0.158146,0.157073,0.727949,0.561094,0.087285,,0.842138,0.567758,1.0,0.0,0.842697,0.568134,0.999671,0.999665,,2.23,3,0.084453
0.519363,0.206211,0.579224,0.475045,0.135296,0.134324,0.704707,0.584219,0.092305,,0.725601,0.565123,1.0,0.0,0.763174,0.594386,0.951249,0.999494,,2.23,4,0.008125
0.479548,0.196084,0.487945,0.442884,0.138343,0.122989,0.738984,0.550937,0.086484,,0.738009,0.539924,1.0,0.0,0.742888,0.543494,0.993714,0.999716,,2.23,5,0.337656
0.50439,0.200049,0.538108,0.461721,0.143201,0.141242,0.71584,0.568438,0.089238,,0.779562,0.572428,1.0,0.0,0.79217,0.581687,0.984457,0.99962,,2.23,6,0.052617
0.502819,0.18948,0.535784,0.462055,0.126869,0.126072,0.704414,0.578281,0.091094,,0.689968,0.536083,1.0,0.0,0.726503,0.564469,0.950142,0.999547,,2.23,7,0.029648
0.483927,0.198194,0.496132,0.448212,0.139445,0.131864,0.724082,0.559219,0.088496,,0.763722,0.552653,1.0,0.0,0.766063,0.554347,0.997268,0.999675,,2.23,8,0.214687
0.510618,0.191781,0.544742,0.470602,0.137606,0.132129,0.712891,0.582031,0.090859,,0.745493,0.56711,1.0,0.0,0.76311,0.580511,0.97739,0.999514,,2.23,9,0.125781
0.491208,0.204355,0.545782,0.450437,0.128966,0.126295,0.706855,0.560469,0.088398,,0.701568,0.541205,1.0,0.0,0.731794,0.564522,0.959014,0.999669,,2.23,10,0.104414
0.475624,0.206475,0.503002,0.442274,0.11985,0.119832,0.704824,0.556875,0.088398,,0.660429,0.510429,1.0,0.0,0.694171,0.536508,0.951689,0.999688,,2.23,11,0.182812
0.467211,0.193078,0.473064,0.436921,0.166668,0.164363,0.73377,0.554219,0.086934,,0.862833,0.562353,1.0,0.0,0.86405,0.563146,0.998891,0.999701,,2.23,12,0.068867
0.46691,0.173279,0.442428,0.43451,0.183716,0.177332,0.749922,0.546719,0.085586,,0.86964,0.539518,1.0,0.0,0.897266,0.556657,0.969469,0.999733,,2.23,13,0.202109
0.500624,0.204334,0.528791,0.461441,0.091879,0.091864,0.700684,0.568125,0.089414,,0.491696,0.471501,1.0,0.0,0.526043,0.504437,0.93506,0.999622,,2.23,14,0.305391
0.498928,0.1841,0.517637,0.460668,0.144026,0.144016,0.717441,0.576406,0.090234,,0.788644,0.568072,1.0,0.0,0.798772,0.575367,0.987754,0.999562,,2.23,15,0.038711
0.494296,0.182819,0.497186,0.45644,0.144759,0.139051,0.716523,0.574375,0.090391,,0.779259,0.555859,1.0,0.0,0.790729,0.56404,0.985911,0.999578,,2.23,16,0.059609
0.490055,0.206111,0.538662,0.450855,0.108111,0.10188,0.699785,0.558594,0.088848,,0.568369,0.492702,1.0,0.0,0.610584,0.529297,0.931161,0.999679,,2.23,17,0.173008
0.502386,0.199304,0.543906,0.464387,0.159595,0.140652,0.726055,0.577812,0.089102,,0.81539,0.589894,1.0,0.0,0.816749,0.590878,0.998785,0.99955,,2.23,18,0.060898
0.483613,0.190723,0.50116,0.446156,0.191142,0.188297,0.766172,0.552969,0.086328,,0.824853,0.531618,1.0,0.0,0.913897,0.589006,0.902832,0.999707,,2.23,19,0.289531
0.485429,0.171687,0.478312,0.450503,0.143,0.142447,0.716445,0.566875,0.088555,,0.782447,0.547048,1.0,0.0,0.794053,0.555162,0.985749,0.99963,,2.235,0,0.104648
0.497499,0.173854,0.50748,0.458847,0.150128,0.140927,0.718613,0.575937,0.089824,,0.794937,0.565911,1.0,0.0,0.803379,0.571921,0.989922,0.999566,,2.235,1,0.015469
0.493042,0.189727,0.489692,0.455059,0.140295,0.128662,0.718496,0.562656,0.088496,,0.75231,0.547482,1.0,0.0,0.76039,0.553362,0.989714,0.999656,,2.235,2,0.159453
0.491902,0.183979,0.499582,0.453138,0.155152,0.140673,0.723418,0.566719,0.088398,,0.807528,0.566124,1.0,0.0,0.810565,0.568253,0.996621,0.999631,,2.235,3,0.063594
0.522847,0.202451,0.569759,0.478092,0.139422,0.132951,0.709004,0.58625,0.092422,,0.741992,0.573337,1.0,0.0,0.768395,0.593739,0.966146,0.999474,,2.235,4,0.049102
0.485013,0.193121,0.511055,0.447767,0.161123,0.149979,0.731953,0.560312,0.088066,,0.8352,0.575778,1.0,0.0,0.835725,0.57614,0.999702,0.99967,,2.235,5,0.130195
