experiment,id,wolfram_class,is_complex,complexity
1D_ECA,rule_0,C1,0,0.0
1D_ECA,rule_1,C2,0,2e-08
1D_ECA,rule_2,C2,0,0.02119838
1D_ECA,rule_3,C2,0,3e-08
1D_ECA,rule_4,C2,0,1.4e-07
1D_ECA,rule_5,C2,0,0.01556296
1D_ECA,rule_6,C2,0,0.07926318
1D_ECA,rule_7,C2,0,0.0
1D_ECA,rule_8,C1,0,0.0
1D_ECA,rule_9,C2,0,0.01237255
1D_ECA,rule_10,C2,0,0.09503265
1D_ECA,rule_11,C2,0,0.00211213
1D_ECA,rule_12,C2,0,1.4e-07
1D_ECA,rule_13,C2,0,7e-08
1D_ECA,rule_14,C2,0,0.05253877
1D_ECA,rule_15,C2,0,0.00615385
1D_ECA,rule_16,C2,0,0.0209667
1D_ECA,rule_17,C2,0,3e-08
1D_ECA,rule_18,C2,0,0.11058078
1D_ECA,rule_19,C2,0,0.0
1D_ECA,rule_20,C2,0,0.12595419
1D_ECA,rule_21,C2,0,0.0
1D_ECA,rule_22,C2,0,0.02517834
1D_ECA,rule_23,C2,0,0.0
1D_ECA,rule_24,C2,0,0.0835085
1D_ECA,rule_25,C2,0,0.00040021
1D_ECA,rule_26,C2,0,0.03729451
1D_ECA,rule_27,C2,0,1.11e-06
1D_ECA,rule_28,C2,0,3.35e-06
1D_ECA,rule_29,C2,0,0.00641111
1D_ECA,rule_30,C3,0,0.01665267
1D_ECA,rule_31,C2,0,0.0
1D_ECA,rule_32,C1,0,0.0
1D_ECA,rule_33,C2,0,3.6e-07
1D_ECA,rule_34,C2,0,0.07729175
1D_ECA,rule_35,C2,0,2.415e-05
1D_ECA,rule_36,C2,0,1.4e-07
1D_ECA,rule_37,C2,0,2.49e-06
1D_ECA,rule_38,C2,0,0.18221234
1D_ECA,rule_39,C2,0,8.6e-07
1D_ECA,rule_40,C1,0,0.0
1D_ECA,rule_41,C2,0,0.00299273
1D_ECA,rule_42,C2,0,0.07174871
1D_ECA,rule_43,C2,0,0.00437629
1D_ECA,rule_44,C2,0,1.4e-07
1D_ECA,rule_45,C3,0,0.01460106
1D_ECA,rule_46,C2,0,0.09260361
1D_ECA,rule_47,C2,0,0.0014207
1D_ECA,rule_48,C2,0,0.07613443
1D_ECA,rule_49,C2,0,2.779e-05
1D_ECA,rule_50,C2,0,0.0
1D_ECA,rule_51,C2,0,0.0
1D_ECA,rule_52,C2,0,0.17544544
1D_ECA,rule_53,C2,0,7.8e-07
1D_ECA,rule_54,C2,0,3.4e-07
1D_ECA,rule_55,C2,0,0.0
1D_ECA,rule_56,C2,0,6.452e-05
1D_ECA,rule_57,C2,0,0.0
1D_ECA,rule_58,C2,0,4.21e-05
1D_ECA,rule_59,C2,0,2.97e-05
1D_ECA,rule_60,C2,0,0.0154434
1D_ECA,rule_61,C2,0,0.000342
1D_ECA,rule_62,C2,0,0.00343221
1D_ECA,rule_63,C2,0,1e-08
1D_ECA,rule_64,C2,0,0.0
1D_ECA,rule_65,C2,0,0.00395506
1D_ECA,rule_66,C2,0,0.0990471
1D_ECA,rule_67,C2,0,0.00042227
1D_ECA,rule_68,C2,0,1.4e-07
1D_ECA,rule_69,C2,0,8e-08
1D_ECA,rule_70,C2,0,2.72e-06
1D_ECA,rule_71,C2,0,0.00613511
1D_ECA,rule_72,C2,0,1.4e-07
1D_ECA,rule_73,C2,0,0.33271841
1D_ECA,rule_74,C2,0,0.08199339
1D_ECA,rule_75,C2,0,0.01569152
1D_ECA,rule_76,C2,0,1.4e-07
1D_ECA,rule_77,C2,0,0.0
1D_ECA,rule_78,C2,0,8e-08
1D_ECA,rule_79,C2,0,8e-08
1D_ECA,rule_80,C2,0,0.09750528
1D_ECA,rule_81,C2,0,0.00158219
1D_ECA,rule_82,C2,0,0.08806977
1D_ECA,rule_83,C2,0,1.18e-06
1D_ECA,rule_84,C2,0,0.04646766
1D_ECA,rule_85,C2,0,0.00606063
1D_ECA,rule_86,C3,0,0.01702959
1D_ECA,rule_87,C2,0,0.0
1D_ECA,rule_88,C2,0,0.07348794
1D_ECA,rule_89,C3,0,0.01679768
1D_ECA,rule_90,C2,0,0.01581316
1D_ECA,rule_91,C2,0,1.333e-05
1D_ECA,rule_92,C2,0,7e-08
1D_ECA,rule_93,C2,0,7e-08
1D_ECA,rule_94,C2,0,0.00014113
1D_ECA,rule_95,C2,0,0.00977851
1D_ECA,rule_96,C2,0,0.0
1D_ECA,rule_97,C2,0,0.00415822
1D_ECA,rule_98,C2,0,6.368e-05
1D_ECA,rule_99,C2,0,0.0
1D_ECA,rule_100,C2,0,1.4e-07
1D_ECA,rule_101,C3,0,0.01637266
1D_ECA,rule_102,C2,0,0.01543317
1D_ECA,rule_103,C2,0,0.0003432
1D_ECA,rule_104,C2,0,1.4e-07
1D_ECA,rule_105,C3,0,0.01712457
1D_ECA,rule_106,C3,0,0.02841452
1D_ECA,rule_107,C2,0,0.00292388
1D_ECA,rule_108,C2,0,1.221e-05
1D_ECA,rule_109,C2,0,0.1837104
1D_ECA,rule_110,C4,1,1.12894412
1D_ECA,rule_111,C2,0,0.00280847
1D_ECA,rule_112,C2,0,0.07245758
1D_ECA,rule_113,C2,0,0.00298445
1D_ECA,rule_114,C2,0,4.457e-05
1D_ECA,rule_115,C2,0,4.544e-05
1D_ECA,rule_116,C2,0,0.09554875
1D_ECA,rule_117,C2,0,0.00165729
1D_ECA,rule_118,C2,0,0.00363948
1D_ECA,rule_119,C2,0,1e-08
1D_ECA,rule_120,C2,0,0.03077723
1D_ECA,rule_121,C2,0,0.00173023
1D_ECA,rule_122,C2,0,0.02802826
1D_ECA,rule_123,C2,0,2.3e-07
1D_ECA,rule_124,C4,1,1.21501202
1D_ECA,rule_125,C2,0,0.01403835
1D_ECA,rule_126,C2,0,0.01627245
1D_ECA,rule_127,C2,0,2e-08
1D_ECA,rule_128,C1,0,0.0
1D_ECA,rule_129,C2,0,0.0126954
1D_ECA,rule_130,C2,0,0.07827247
1D_ECA,rule_131,C2,0,0.00222798
1D_ECA,rule_132,C2,0,1.4e-07
1D_ECA,rule_133,C2,0,1.673e-05
1D_ECA,rule_134,C2,0,0.27239179
1D_ECA,rule_135,C2,0,0.01732849
1D_ECA,rule_136,C1,0,0.0
1D_ECA,rule_137,C4,1,1.20985043
1D_ECA,rule_138,C2,0,0.090617
1D_ECA,rule_139,C2,0,0.09293131
1D_ECA,rule_140,C2,0,1.4e-07
1D_ECA,rule_141,C2,0,7e-08
1D_ECA,rule_142,C2,0,0.00905432
1D_ECA,rule_143,C2,0,0.06080761
1D_ECA,rule_144,C2,0,0.08157111
1D_ECA,rule_145,C2,0,0.00245411
1D_ECA,rule_146,C2,0,0.12102965
1D_ECA,rule_147,C2,0,9.35e-06
1D_ECA,rule_148,C2,0,0.31262185
1D_ECA,rule_149,C2,0,0.01584361
1D_ECA,rule_150,C3,0,0.01647216
1D_ECA,rule_151,C2,0,0.0229316
1D_ECA,rule_152,C2,0,0.09819862
1D_ECA,rule_153,C3,0,0.01543317
1D_ECA,rule_154,C2,0,0.21435401
1D_ECA,rule_155,C2,0,0.47870952
1D_ECA,rule_156,C2,0,1.023e-05
1D_ECA,rule_157,C2,0,1.209e-05
1D_ECA,rule_158,C2,0,0.24698782
1D_ECA,rule_159,C2,0,0.05825303
1D_ECA,rule_160,C1,0,0.0
1D_ECA,rule_161,C2,0,0.0171386
1D_ECA,rule_162,C2,0,0.00107703
1D_ECA,rule_163,C2,0,4.674e-05
1D_ECA,rule_164,C2,0,1.4e-07
1D_ECA,rule_165,C3,0,0.01581316
1D_ECA,rule_166,C2,0,0.07021871
1D_ECA,rule_167,C2,0,0.06036346
1D_ECA,rule_168,C1,0,0.0
1D_ECA,rule_169,C3,0,0.02487007
1D_ECA,rule_170,C2,0,0.01222793
1D_ECA,rule_171,C2,0,0.0704054
1D_ECA,rule_172,C2,0,1.4e-07
1D_ECA,rule_173,C2,0,0.05387159
1D_ECA,rule_174,C2,0,0.09279961
1D_ECA,rule_175,C2,0,0.09669555
1D_ECA,rule_176,C2,0,0.00107064
1D_ECA,rule_177,C2,0,4.594e-05
1D_ECA,rule_178,C2,0,0.0
1D_ECA,rule_179,C2,0,0.0
1D_ECA,rule_180,C2,0,0.07554906
1D_ECA,rule_181,C2,0,0.04601307
1D_ECA,rule_182,C3,0,0.1145384
1D_ECA,rule_183,C2,0,0.10503435
1D_ECA,rule_184,C2,0,0.0
1D_ECA,rule_185,C2,0,1.297e-05
1D_ECA,rule_186,C2,0,0.00179102
1D_ECA,rule_187,C2,0,0.0781555
1D_ECA,rule_188,C2,0,0.09509689
1D_ECA,rule_189,C2,0,0.0990471
1D_ECA,rule_190,C2,0,0.0537903
1D_ECA,rule_191,C2,0,0.00947475
1D_ECA,rule_192,C2,0,0.0
1D_ECA,rule_193,C4,1,1.15717575
1D_ECA,rule_194,C2,0,0.10154948
1D_ECA,rule_195,C2,0,0.0154434
1D_ECA,rule_196,C2,0,1.4e-07
1D_ECA,rule_197,C2,0,8e-08
1D_ECA,rule_198,C2,0,7.13e-06
1D_ECA,rule_199,C2,0,6.8e-06
1D_ECA,rule_200,C2,0,1.4e-07
1D_ECA,rule_201,C2,0,3.76e-06
1D_ECA,rule_202,C2,0,1.6e-07
1D_ECA,rule_203,C2,0,1.4e-07
1D_ECA,rule_204,C2,0,2e-08
1D_ECA,rule_205,C2,0,1.4e-07
1D_ECA,rule_206,C2,0,1.4e-07
1D_ECA,rule_207,C2,0,1.4e-07
1D_ECA,rule_208,C2,0,0.09226031
1D_ECA,rule_209,C2,0,0.09744873
1D_ECA,rule_210,C2,0,0.21868526
1D_ECA,rule_211,C2,0,0.36436842
1D_ECA,rule_212,C2,0,0.00611324
1D_ECA,rule_213,C2,0,0.02242725
1D_ECA,rule_214,C2,0,0.23686788
1D_ECA,rule_215,C2,0,0.10856205
1D_ECA,rule_216,C2,0,1.5e-07
1D_ECA,rule_217,C2,0,1.4e-07
1D_ECA,rule_218,C2,0,1.4e-07
1D_ECA,rule_219,C2,0,1.4e-07
1D_ECA,rule_220,C2,0,1.4e-07
1D_ECA,rule_221,C2,0,1.4e-07
1D_ECA,rule_222,C2,0,1.4e-07
1D_ECA,rule_223,C2,0,1.4e-07
1D_ECA,rule_224,C2,0,0.0
1D_ECA,rule_225,C2,0,0.01787092
1D_ECA,rule_226,C2,0,0.0
1D_ECA,rule_227,C2,0,1.291e-05
1D_ECA,rule_228,C2,0,1.4e-07
1D_ECA,rule_229,C2,0,0.07343017
1D_ECA,rule_230,C2,0,0.08381927
1D_ECA,rule_231,C2,0,0.0835085
1D_ECA,rule_232,C2,0,3e-08
1D_ECA,rule_233,C2,0,1.4e-07
1D_ECA,rule_234,C2,0,0.0
1D_ECA,rule_235,C2,0,0.0
1D_ECA,rule_236,C2,0,1.3e-07
