rule,wolfram_class,opacity_up,opacity_down,opacity_mi
0,C1,0.0,0.0,0.0
1,C2,0.18151,0.53195,0.15182
2,C2,0.0,0.54029,0.0
3,C2,0.27126,0.80236,0.06207
4,C2,0.0,0.52073,0.0
5,C2,0.24992,0.83113,0.08341
6,C2,0.2585,0.74953,0.00816
7,C2,0.31875,0.648,0.01459
8,C1,0.0,0.0,0.0
9,C2,0.10159,0.92717,0.00135
10,C2,0.0,0.77428,0.0
11,C2,0.31341,0.83114,0.01992
12,C2,0.0,0.71938,0.0
13,C2,0.0,0.59501,0.0
14,C2,0.19339,0.7483,0.00107
15,C2,0.32785,0.9913,0.00548
16,C2,0.0,0.54029,0.0
17,C2,0.27126,0.80236,0.06207
18,C2,0.29637,0.76149,0.00279
19,C2,0.32355,0.78207,0.00978
20,C2,0.19648,0.74265,0.00352
21,C2,0.25631,0.66572,0.01036
22,C2,0.34821,0.89651,0.00474
23,C2,0.33077,0.76527,0.00256
24,C2,0.0,0.61366,0.0
25,C2,0.0,0.9754,0.0
26,C2,0.29184,0.91496,0.00544
27,C2,0.19265,0.95417,0.00735
28,C2,0.3277,0.68873,0.00564
29,C2,0.32676,0.95006,0.00658
30,C3,0.33264,0.99684,0.00307
31,C2,0.31029,0.67478,0.02305
32,C1,0.0,0.0,0.0
33,C2,0.31096,0.75867,0.02237
34,C2,0.0,0.71938,0.0
35,C2,0.25165,0.84732,0.01502
36,C2,0.0,0.31723,0.0
37,C2,0.32466,0.78475,0.00864
38,C2,0.0,0.82452,0.0
39,C2,0.25669,0.95645,0.00998
40,C1,0.0,0.0,0.0
41,C2,0.37082,0.91093,0.00924
42,C2,0.0,0.91028,0.0
43,C2,0.10721,0.75719,0.00304
44,C2,0.0,0.6008,0.0
45,C3,0.33909,0.99695,0.00299
46,C2,0.0,0.80645,0.0
47,C2,0.31967,0.83748,0.01367
48,C2,0.0,0.71983,0.0
49,C2,0.25653,0.85261,0.01014
50,C2,0.33154,0.76011,0.00179
51,C2,0.32785,0.9913,0.00548
52,C2,0.0,0.82033,0.0
53,C2,0.25977,0.95715,0.00689
54,C2,0.53951,0.96336,0.0291
55,C2,0.31331,0.75787,0.02002
56,C2,0.0,0.72578,0.0
57,C2,0.0,0.41918,0.0
58,C2,0.0,0.63149,0.0
59,C2,0.25588,0.85325,0.01079
60,C2,0.33976,0.99662,0.00334
61,C2,0.00384,0.97396,1e-05
62,C2,0.22079,0.77172,0.00419
63,C2,0.2611,0.76781,0.07223
64,C2,0.0,0.0,0.0
65,C2,0.00385,0.93075,0.0
66,C2,0.0,0.62588,0.0
67,C2,0.00384,0.97675,1e-05
68,C2,0.0,0.71983,0.0
69,C2,0.0,0.60515,0.0
70,C2,0.32675,0.67453,0.00658
71,C2,0.32805,0.94771,0.00528
72,C2,0.0,0.40125,0.0
73,C2,0.19489,0.9695,0.00262
74,C2,0.0,0.90787,0.0
75,C2,0.33756,0.99684,0.00306
76,C2,0.0,0.87972,0.0
77,C2,0.0,0.76011,0.0
78,C2,0.0,0.60525,0.0
79,C2,0.0,0.60525,0.0
80,C2,0.0,0.77567,0.0
81,C2,0.31966,0.83741,0.01367
82,C2,0.24422,0.91181,0.00326
83,C2,0.12983,0.96004,0.00351
84,C2,0.06847,0.74554,0.00047
85,C2,0.32785,0.9913,0.00548
86,C3,0.33559,0.99657,0.00336
87,C2,0.31078,0.6662,0.02255
88,C2,0.0,0.86283,0.0
89,C3,0.33498,0.9968,0.00306
90,C2,0.3331,0.9969,0.00305
91,C2,0.26288,0.79314,0.00376
92,C2,0.0,0.59713,0.0
93,C2,0.0,0.59713,0.0
94,C2,0.05871,0.79101,0.00251
95,C2,0.2418,0.81933,0.09154
96,C2,0.0,0.0,0.0
97,C2,0.35884,0.91306,0.00712
98,C2,0.0,0.72513,0.0
99,C2,0.0,0.41603,0.0
100,C2,0.0,0.60329,0.0
101,C3,0.33198,0.99697,0.00295
102,C2,0.33976,0.99662,0.00334
103,C2,0.00384,0.97146,1e-05
104,C2,0.0,0.29746,0.0
105,C3,0.34056,0.99634,0.00355
106,C3,0.31623,0.99579,0.00296
107,C2,0.36509,0.9094,0.0095
108,C2,0.0,0.88649,0.0
109,C2,0.19232,0.96367,0.00226
110,C4,0.11639,0.97075,0.00095
111,C2,0.13004,0.90659,0.00329
112,C2,0.0,0.9115,0.0
113,C2,0.22111,0.7611,0.00251
114,C2,0.00381,0.63174,4e-05
115,C2,0.18863,0.85066,0.01137
116,C2,0.0,0.80508,0.0
117,C2,0.31522,0.83337,0.01811
118,C2,0.21467,0.7578,0.00309
119,C2,0.2611,0.76781,0.07223
120,C2,0.29508,0.99594,0.00283
121,C2,0.38268,0.90855,0.00959
122,C2,0.37694,0.84658,0.00455
123,C2,0.31901,0.75883,0.01432
124,C4,0.14348,0.97005,0.00126
125,C2,0.05784,0.93767,0.00016
126,C2,0.40047,0.84378,0.00475
127,C2,0.18731,0.54054,0.14603
128,C1,0.0,0.0,0.0
129,C2,0.40983,0.8437,0.00482
130,C2,0.0,0.60863,0.0
131,C2,0.26962,0.83221,0.00268
132,C2,0.0,0.61274,0.0
133,C2,0.0,0.76698,0.0
134,C2,0.12381,0.8003,0.00952
135,C2,0.33323,0.99679,0.00311
136,C1,0.0,0.0,0.0
137,C4,0.14034,0.97018,0.00106
