stage,epoch,mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,w_H,w_OP_s,w_OP_t,w_T,w_G,score,grid_shape
W,0,0.919883,0.12714,0.684838,0.899458,6e-06,0.0,0.48125,0.213542,0.999337,0.0,0.0,0.466806,0.0759,0.0,120x8
W,1,0.917635,0.10422,0.703261,0.897394,0.054388,0.009416,0.40625,0.208333,0.999471,0.0,0.046557,0.09456,0.095634,0.000421,120x8
W,2,0.916721,0.099321,0.692129,0.883795,0.009155,0.0,0.430208,0.204167,0.999517,0.0,0.0,0.173265,0.114162,0.0,120x8
W,3,0.89213,0.158447,0.718588,0.871833,0.025492,0.0,0.440625,0.208333,0.999959,0.0,0.0,0.219236,0.095634,0.0,120x8
W,4,0.913119,0.114907,0.708349,0.886704,0.005492,0.005417,0.49375,0.2125,0.999663,0.0,0.002969,0.55924,0.07956,0.000132,120x8
W,5,0.875599,0.174629,0.745559,0.860075,0.028726,0.010734,0.415625,0.210417,0.999992,0.0,0.029897,0.121132,0.087303,0.000316,120x8
W,6,0.91604,0.11835,0.703239,0.888766,0.043304,0.0,0.423958,0.210417,0.999549,0.0,0.0,0.14923,0.087303,0.0,120x8
W,7,0.898425,0.147421,0.693237,0.865468,0.035784,0.0,0.457292,0.204167,0.999922,0.0,0.0,0.308401,0.114162,0.0,120x8
W,8,0.907974,0.108883,0.708537,0.883482,0.003232,0.003218,0.461458,0.210417,0.999798,0.0,0.001039,0.333597,0.087303,3e-05,120x8
W,9,0.905707,0.139559,0.715633,0.882349,0.0,0.0,0.5125,0.2125,0.999839,0.0,0.0,0.700503,0.07956,0.0,120x8
W,10,0.917992,0.118392,0.695984,0.894745,0.005941,0.003534,0.476042,0.213542,0.999451,0.0,0.002096,0.429848,0.0759,6.8e-05,120x8
W,11,0.903993,0.122785,0.687157,0.861621,0.000101,0.0,0.490625,0.205208,0.999865,0.0,0.0,0.535768,0.109289,0.0,120x8
W,12,0.876308,0.139403,0.72281,0.85005,0.008754,0.005127,0.464583,0.205208,0.999992,0.0,0.004473,0.353206,0.109289,0.000173,120x8
W,13,0.893361,0.16252,0.72035,0.866315,0.010505,0.0,0.472917,0.2125,0.999953,0.0,0.0,0.408262,0.07956,0.0,120x8
W,14,0.923492,0.104163,0.695843,0.902284,0.012551,0.001889,0.482292,0.210417,0.999049,0.0,0.002359,0.47433,0.087303,9.8e-05,120x8
W,15,0.911275,0.112866,0.711317,0.890964,0.017186,0.0,0.475,0.2125,0.99972,0.0,0.0,0.4226,0.07956,0.0,120x8
W,16,0.906879,0.156432,0.699073,0.892891,0.029779,0.0,0.451042,0.209375,0.999819,0.0,0.0,0.272739,0.091394,0.0,120x8
W,17,0.896304,0.155635,0.710147,0.871504,0.000794,0.000437,0.465625,0.2,0.999937,0.0,3.5e-05,0.359873,0.135335,2e-06,120x8
W,18,0.870883,0.195236,0.736402,0.852413,0.018359,0.0,0.447917,0.20625,0.999995,0.0,0.0,0.2559,0.104579,0.0,120x8
W,19,0.909749,0.118735,0.705598,0.87949,0.014774,0.005226,0.435417,0.204167,0.999759,0.0,0.007658,0.195313,0.114162,0.000171,120x8
W,20,0.866163,0.172741,0.741042,0.838801,0.0274,0.0,0.438542,0.209375,0.999997,0.0,0.0,0.20944,0.091394,0.0,120x8
