b_int,s_int,rule,known_name,known_class,activity,complexity,mean_H,std_H,opacity_up,opacity_down,tcomp,gzip,w_H,w_OP,w_T,w_G,rank
103,111,B01256/S012356,,,active,0.84182772,0.96913,0.00989,0.12627,0.96816,0.56496,0.16038,1.79437,0.98994,0.98248,0.48237,1
164,405,B257/S02478,,,active,0.8317063,0.96637,0.01009,0.17054,0.96678,0.56842,0.16061,1.8398,0.95246,0.98959,0.47962,2
36,230,B25/S12567,,,active,0.82255103,0.97104,0.00972,0.11691,0.9704,0.58331,0.16042,1.75492,0.97367,0.99914,0.4818,3
99,270,B0156/S1238,,,active,0.80716582,0.96809,0.00963,0.13724,0.9677,0.69676,0.15981,1.80233,0.99857,0.91731,0.48892,4
455,120,B012678/S3456,,,active,0.79957511,0.97658,0.01198,0.10368,0.96289,0.73866,0.15666,1.64912,0.92676,0.99416,0.52624,5
309,361,B02458/S03568,,,active,0.76757716,0.96824,0.0092,0.13828,0.96838,0.54394,0.1609,1.78505,0.99933,0.90339,0.47631,6
8,116,B3/S2456,,,active,0.74499431,0.96134,0.01565,0.0849,0.95236,0.75793,0.15568,1.82333,0.80733,0.94086,0.53791,7
52,350,B245/S123468,,,active,0.73940018,0.97279,0.01064,0.10383,0.971,0.55024,0.16005,1.74035,0.93649,0.93317,0.48616,8
468,229,B24678/S02567,,,chaotic,0.73862252,0.97207,0.01087,0.1513,0.96311,0.5355,0.15907,1.76045,0.98425,0.85665,0.49761,9
347,187,B013468/S013457,,,active,0.72377307,0.9379,0.01527,0.17774,0.93792,0.58088,0.15892,1.91193,0.75803,0.99994,0.49943,10
400,189,B478/S023457,,,active,0.70900407,0.97113,0.01054,0.08211,0.97063,0.75981,0.15832,1.77412,0.84568,0.93295,0.50653,11
301,229,B02358/S02567,,,active,0.68849868,0.97678,0.01065,0.09294,0.97478,0.56964,0.16078,1.6313,0.89109,0.99165,0.47763,12
172,349,B2357/S023468,,,active,0.68176009,0.97332,0.01032,0.09747,0.97363,0.54738,0.16124,1.72148,0.91111,0.92023,0.47235,13
179,117,B01457/S02456,,,active,0.67751583,0.93521,0.01629,0.14478,0.92833,0.58508,0.15742,1.86012,0.70575,0.99798,0.51713,14
91,349,B01346/S023468,,,chaotic,0.66773512,0.96869,0.01085,0.1704,0.96766,0.52665,0.16061,1.82314,0.95379,0.80064,0.47962,15
226,301,B1567/S02358,,,active,0.65864188,0.97027,0.0099,0.12626,0.96995,0.67279,0.16025,1.77471,0.9906,0.7744,0.48379,16
414,182,B123478/S12457,,,active,0.65338875,0.97222,0.00937,0.08513,0.97165,0.5489,0.16086,1.71938,0.85976,0.92723,0.47669,17
134,105,B127/S0356,,,active,0.6369534,0.97514,0.01085,0.06913,0.97188,0.5716,0.15978,1.68383,0.77737,0.9945,0.4893,18
483,219,B015678/S013467,,,active,0.63627525,0.96547,0.01682,0.21305,0.95916,0.58659,0.15923,1.72144,0.74805,0.99661,0.49579,19
181,115,B02457/S01456,,,active,0.62037427,0.93447,0.01718,0.16607,0.92832,0.5607,0.15736,1.8059,0.68288,0.97132,0.51791,20
57,106,B0345/S1356,,,chaotic,0.61350922,0.96593,0.00942,0.18646,0.96576,0.5242,0.16062,1.82421,0.89448,0.78409,0.47952,21
14,493,B123/S0235678,,,active,0.61155122,0.97575,0.00949,0.06748,0.97007,0.75485,0.15797,1.6348,0.76875,0.9529,0.51067,22
339,101,B01468/S0256,,,chaotic,0.60695662,0.96711,0.01022,0.18074,0.96701,0.51956,0.16064,1.83343,0.91871,0.75175,0.47934,23
230,315,B12567/S013458,,,chaotic,0.58999133,0.97322,0.01094,0.09292,0.96783,0.52451,0.16027,1.73523,0.89427,0.7862,0.4836,24
263,170,B0128/S1357,,,active,0.58628302,0.97912,0.0111,0.07052,0.97019,0.56331,0.15965,1.55406,0.78554,0.97846,0.49083,25
17,180,B04/S2457,,,active,0.56461866,0.94115,0.01456,0.18859,0.93502,0.67861,0.15766,1.93939,0.69573,0.81359,0.51433,26
89,183,B0346/S012457,,,active,0.55063526,0.96506,0.01047,0.2317,0.96501,0.55115,0.16039,1.86501,0.65347,0.93703,0.48218,27
324,212,B268/S2467,,,active,0.53822459,0.93321,0.01362,0.06913,0.93357,0.61478,0.15869,1.97477,0.59661,0.90983,0.50211,28
303,190,B012358/S123457,,,active,0.52495962,0.96398,0.01371,0.23557,0.9442,0.77794,0.15011,1.87235,0.55443,0.83566,0.60515,29
217,360,B03467/S3568,,,chaotic,0.52028534,0.93211,0.01621,0.11321,0.93229,0.52122,0.15861,1.86624,0.72592,0.7634,0.50307,30
313,116,B03458/S2456,,,active,0.51493653,0.93339,0.01504,0.106,0.93192,0.64136,0.15818,1.92552,0.70621,0.74519,0.50816,31
217,182,B03467/S12457,,,chaotic,0.51462681,0.9411,0.01364,0.19232,0.94144,0.51342,0.15895,1.96817,0.7408,0.70728,0.49904,32
113,107,B0456/S01356,,,chaotic,0.50640117,0.96716,0.01313,0.20188,0.96327,0.51048,0.15981,1.84629,0.81833,0.68553,0.48892,33
316,115,B23458/S01456,,,active,0.50323189,0.93079,0.01964,0.16271,0.92979,0.6264,0.15737,1.63055,0.70533,0.84519,0.51771,34
282,476,B1348/S234678,,,active,0.50065678,0.966,0.01285,0.22424,0.96352,0.67416,0.15952,1.86555,0.69542,0.78381,0.49235,35
267,76,B0138/S236,,,active,0.49882646,0.9797,0.01178,0.0611,0.97853,0.55155,0.16064,1.53552,0.72195,0.93874,0.47934,36
228,319,B2567/S0123458,,,active,0.49811196,0.96489,0.01373,0.24156,0.95898,0.5478,0.15907,1.86231,0.58275,0.9222,0.4977,37
24,24,B34/S34,34Life,C3,chaotic,0.47249309,0.97915,0.01121,0.06109,0.9665,0.53082,0.15864,1.55392,0.7307,0.82781,0.50269,38
4,365,B2/S023568,,,active,0.47148973,0.96043,0.00876,0.24716,0.95855,0.76283,0.1584,1.84936,0.54859,0.91923,0.50557,39
172,117,B2357/S02456,,,active,0.46769017,0.93703,0.01716,0.22505,0.93394,0.60808,0.15777,1.8057,0.53699,0.94025,0.51298,40
51,363,B0145/S013568,,,active,0.45672835,0.97892,0.00895,0.05025,0.97931,0.55999,0.16105,1.51158,0.657,0.96919,0.47452,41
132,118,B27/S12456,,,active,0.44398705,0.97622,0.00814,0.05033,0.97386,0.77891,0.1579,1.56896,0.66699,0.82956,0.51144,42
