mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,fractal_dim,score,w_H,w_OP_s,w_OP_t,w_T,w_G,w_dim,name,class,rank
0.715474,0.134429,0.396757,0.585605,0.367336,0.190226,0.878805,0.090767,1.453136,0.751488,1.0,0.0,0.955192,0.914074,0.983093,0.875498,Day&Night,C4,1
0.542735,0.085275,0.316835,0.513198,0.257142,0.224344,0.886659,0.095123,1.484523,0.74026,1.0,0.0,0.966383,0.965031,0.995253,0.797554,Conway,C4,2
0.577301,0.08315,0.283841,0.54747,0.211056,0.182432,0.866588,0.10123,1.51927,0.515224,1.0,0.0,0.921796,0.799901,0.999697,0.698966,HighLife,C4,3
0.562907,0.246143,0.463724,0.533989,0.215703,0.160431,0.858272,0.092299,1.223368,0.51264,1.0,0.0,0.89796,0.705925,0.988208,0.818366,Morley,C4,4
0.579546,0.172013,0.405806,0.384182,0.730978,0.035047,0.961067,0.049329,1.510156,0.068737,1.0,0.0,0.333703,0.474339,0.598393,0.725696,Coral,C2,5
0.742847,0.014604,0.0,0.741239,0.110735,0.110721,0.572485,0.136304,1.833527,0.051715,1.948395,1.1e-05,0.644967,0.995598,0.768287,0.0538,Seeds,C2,6
0.11998,0.324908,0.073516,0.11998,0.203544,0.170996,0.929902,0.022182,0.0,0.048762,0.999988,0.0,0.905217,0.836248,0.297858,0.216265,Replicator,C2,7
0.830439,0.034281,0.249591,0.821218,0.078638,0.075756,0.725147,0.145161,1.823269,0.017572,1.020682,0.006554,0.419831,0.998162,0.665048,0.060823,2x2,C2,8
0.048045,0.008453,0.0,0.03484,0.948978,0.066263,0.989829,0.003641,0.514189,0.003439,1.875424,0.0,0.272719,0.199119,0.156139,0.216265,Anneal,C3,9
0.984223,0.005242,0.0,0.971058,0.002527,0.002515,0.534158,0.157806,1.938814,0.002398,1.118114,0.375227,0.000635,0.848591,0.512574,0.013118,34Life,C3,10
0.984303,0.004224,0.0,0.982008,0.006406,0.006124,0.550879,0.159343,1.952899,0.00193,1.064155,0.364643,0.003913,0.935896,0.494442,0.010635,Amoeba,C3,11
0.99903,0.00104,0.235329,0.994601,0.18765,0.185757,0.741389,0.15936,1.97355,0.000376,0.067422,0.56247,0.908812,0.989918,0.494242,0.007749,Coagulations,C3,12
0.774493,0.021576,0.062474,0.763958,0.006902,0.00689,0.61218,0.138496,1.818779,0.00032,1.48848,0.000152,0.004741,0.922285,0.743498,0.064125,Gnarl,C3,13
0.92137,0.0,0.0,0.916735,1.0,0.0,0.99,0.078376,1.99904,0.000262,1.323634,0.212793,0.0,0.197899,0.91072,0.005166,Flakes,C1,14
0.914267,0.0,0.0,0.909538,1.0,0.0,0.99,0.089416,1.9987,0.00024,1.324152,0.180662,0.0,0.197899,0.977843,0.005195,Static,C1,15
0.991886,8.9e-05,0.0,0.975896,0.993296,0.0,0.98942,0.157369,1.999165,0.000103,0.511857,0.372711,0.0,0.202061,0.51776,0.005156,Maze,C2,16
0.278079,0.0,0.0,0.255431,1.0,0.0,0.99,0.01695,1.24366,0.0,1.324652,0.0,0.0,0.197899,0.251712,0.868183,AllDead,C1,17
