rule,wolfram_class,mean_H,std_H,opacity_up,opacity_down,t_comp,gzip_ratio,w_entropy,w_opacity,w_tcomp,w_gzip,complexity,C_v4_recal,C_v3,complexity_v4,mu_op_up_used,mu_op_down_used
B3/S23,C4,0.58906,0.06324,0.23205,0.52771,0.87976,0.10256,1.0,0.0,0.45955,0.98899,0.0,0.1422759622842255,0.2975314504562126,0.1422759622842255,0.170462,0.6671199999999999
B36/S23,C4,0.63196,0.04605,0.08773,0.57003,0.85541,0.10948,1.00012,0.0,0.64127,0.99995,0.0,0.2842897958736395,0.5594415629147502,0.2842897958736395,0.170462,0.6671199999999999
B3/S12345,C4,0.99254,0.00014,0.0,0.89858,0.999,0.09523,0.47522,0.13531,0.02359,0.95731,0.00145215,0.00017241094228944757,0.0040296390242071205,0.00017241094228944757,0.170462,0.6671199999999999
B36/S125,C4,0.85043,0.02614,0.10681,0.83323,0.71502,0.14839,1.20968,0.02245,0.71904,0.74471,0.01454385,0.13312608085761368,0.613035784804668,0.13312608085761368,0.170462,0.6671199999999999
B368/S245,C4,0.58235,0.17078,0.42572,0.50605,0.86951,0.09662,1.0,0.0,0.53478,0.96483,0.0,0.005424903943321815,0.008707753591445565,0.005424903943321815,0.170462,0.6671199999999999
B2/S34,C3,0.91101,0.0124,0.0,0.90924,0.64855,0.15608,1.99821,0.17936,0.25926,0.65398,0.06076718,0.004226744390422495,0.12715431674011962,0.004226744390422495,0.170462,0.6671199999999999
B3/S0,C3,0.23963,0.0,0.0,0.23529,0.99925,0.01426,1.32465,0.0,0.02339,0.15991,0.0,1.0343585277429056e-07,0.0018592314433614747,1.0343585277429056e-07,0.170462,0.6671199999999999
B25/S4,C3,0.84397,0.01803,0.04198,0.84354,0.51521,0.14956,1.7528,0.02525,0.00418,0.73122,0.00013525,0.0004949510294941657,0.003313117418975275,0.0004949510294941657,0.170462,0.6671199999999999
B36/S2,C3,0.03708,0.0,0.0,0.02801,0.997,0.00371,1.26124,0.0,0.02525,0.10438,0.0,1.0500346208349238e-12,0.001247949215115942,1.0500346208349238e-12,0.170462,0.6671199999999999
B38/S23,C3,0.55199,0.06173,0.21245,0.49086,0.89335,0.0943,1.0,0.0,0.36647,0.95191,0.0,0.06756978482167988,0.26833595938607335,0.06756978482167988,0.170462,0.6671199999999999
B3/S2345,C2,0.99062,9e-05,0.0,0.9063,0.9995,0.04816,0.58159,0.16672,0.02319,0.46538,0.00104646,8.407775101453836e-05,0.0023565648609279984,8.407775101453836e-05,0.170462,0.6671199999999999
B36/S1245,C2,0.99697,0.0021,0.0419,0.99559,0.65895,0.16017,0.22019,0.54219,0.31832,0.60447,0.02297173,8.421515884598455e-05,0.026192565136043476,8.421515884598455e-05,0.170462,0.6671199999999999
B3/S345,C2,0.98457,0.00677,0.01979,0.93526,0.97024,0.12116,1.17063,0.38137,0.05916,0.97539,0.02576362,0.0005964104711751809,0.03280914262959247,0.0005964104711751809,0.170462,0.6671199999999999
B34/S3456,C2,0.92403,0.0,0.0,0.84117,1.0,0.03454,1.32332,0.01357,0.02279,0.32019,0.0001311,0.0004967215794666006,0.003624836504425618,0.0004967215794666006,0.170462,0.6671199999999999
B35/S3456,C2,0.90109,0.00142,0.0,0.78843,0.99639,0.05618,1.41682,0.00051,0.02578,0.56028,1.052e-05,0.0022935056008116387,0.00768101695407853,0.0022935056008116387,0.170462,0.6671199999999999
B3/S12,C2,0.2489,0.04044,0.0,0.22871,0.99308,0.02093,1.0018,0.0,0.02881,0.2046,0.0,9.259413061814168e-08,0.0022160941947231114,9.259413061814168e-08,0.170462,0.6671199999999999
B368/S2345,C2,0.99152,0.00462,0.0,0.98298,0.70414,0.16008,0.66178,0.36287,0.63785,0.60556,0.09275751,0.00040763952581794247,0.09595407023607305,0.00040763952581794247,0.170462,0.6671199999999999
B1/S123,C1,0.95568,0.00017,0.0,0.86911,0.99775,0.03649,1.30393,0.04902,0.02462,0.33934,0.00053393,0.00033123220660437964,0.004087473521019061,0.00033123220660437964,0.170462,0.6671199999999999
B1234/S2,C1,0.98601,0.00674,0.0,0.86968,0.15977,0.14889,1.09054,0.05014,0.0,0.73895,0.0,2.1493468555414204e-15,2.683095773081432e-14,2.1493468555414204e-15,0.170462,0.6671199999999999
B1/S1,C1,0.77531,0.03018,0.12243,0.74995,0.61792,0.13916,1.07554,6e-05,0.12842,0.84359,7.14e-06,0.07368893989633578,0.11475639415646027,0.07368893989633578,0.170462,0.6671199999999999
B0/S,C1,0.48392,0.23375,0.07332,0.3101,0.15713,0.02956,1.0,0.0,0.0,0.27416,0.0,2.003530100393817e-17,1.506571748041705e-14,2.003530100393817e-17,0.170462,0.6671199999999999
