alpha,alpha_s,mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,score,w_H,w_OP_s,w_OP_t,w_T,w_G
0.1,0.3,0.68735,0.011136,0.0,0.686956,0.76399,0.64163,0.945443,0.064688,0.0,1.963528,0.0,0.980986,0.026779,0.77609
0.1,0.3513,0.691358,0.011659,0.0,0.691347,0.74706,0.619172,0.942708,0.067448,0.0,1.970511,0.0,0.986826,0.029462,0.803839
0.1,0.4113,0.692487,0.010156,0.0,0.692436,0.719844,0.623654,0.940443,0.071875,0.0,1.92374,0.0,0.989796,0.032131,0.842866
0.1,0.4816,0.692795,0.008647,0.0,0.692253,0.700353,0.603163,0.937109,0.07487,0.0,1.912392,0.0,0.992209,0.035865,0.866723
0.1,0.564,0.699284,0.009584,0.0,0.699239,0.68897,0.589845,0.930937,0.082266,0.0,1.94652,0.0,0.991271,0.044624,0.9037
0.1,0.6604,0.708339,0.006892,0.0,0.708006,0.616289,0.566365,0.920599,0.094844,0.0,1.815369,0.0,0.996882,0.062561,0.952633
0.1,0.7733,0.712299,0.006236,0.0,0.711395,0.552601,0.531028,0.906068,0.104896,0.0,1.771124,1e-06,0.998796,0.094513,0.962968
0.1,0.9055,0.718034,0.004445,0.0,0.716396,0.452104,0.447668,0.881771,0.11763,0.0,1.639719,1e-06,0.998639,0.177906,0.92429
0.1,1.0602,0.718513,0.003687,0.0,0.715842,0.322208,0.321799,0.847865,0.127682,1e-06,1.582897,1e-06,0.989345,0.345608,0.856869
0.1,1.2415,0.718882,0.003479,0.0,0.714482,0.191228,0.191028,0.81,0.131745,1e-06,1.567255,1e-06,0.906412,0.606602,0.817462
0.1,1.4537,0.71672,0.004314,0.0,0.71202,0.111342,0.111213,0.770573,0.133516,1e-06,1.630215,1e-06,0.644857,0.878341,0.798766
0.1,1.7022,0.714754,0.005574,0.0,0.708695,0.069163,0.06871,0.745833,0.133385,1e-06,1.724021,0.0,0.357073,0.980549,0.800114
0.1,1.9932,0.709178,0.007943,0.0,0.706049,0.032738,0.03245,0.726328,0.133359,1e-06,1.878614,0.0,0.100051,0.99798,0.800393
0.1,2.3339,0.706102,0.00881,0.0,0.703151,0.021211,0.021116,0.715547,0.133099,0.0,1.922512,0.0,0.044811,0.98368,0.803196
0.1,2.7328,0.706065,0.007864,0.0,0.703244,0.0207,0.020315,0.710286,0.133255,0.0,1.871454,0.0,0.04092,0.970065,0.801562
