experiment,name,class,seed,pool_factor,C_a,mi1,tc_mean,gzip_ratio,op_up,op_down,mean_H
ECA,Rule_0,1,0,1,1.6e-05,0.0,0.996992,0.094258,0.000928,0.001993,0.002
ECA,Rule_0,1,0,2,2.2e-05,0.0,0.997562,0.188016,0.003802,0.001503,0.001516
ECA,Rule_0,1,0,4,2.5e-05,0.0,0.9975,0.375531,0.003383,0.001618,0.001623
ECA,Rule_0,1,0,8,1.7e-05,0.0,0.997688,0.719125,0.004009,0.00116,0.001251
ECA,Rule_0,1,0,16,0.0,0.0,0.997875,1.0,0.0,0.001801,0.000675
ECA,Rule_0,1,1,1,1.7e-05,0.0,0.996945,0.094242,0.001055,0.001986,0.001996
ECA,Rule_0,1,1,2,0.0,0.0,0.998,0.1875,0.0,0.0,0.0
ECA,Rule_0,1,1,4,7e-06,0.0,0.997781,0.375375,0.0,0.002891,0.000996
ECA,Rule_0,1,1,8,3e-06,0.0,0.997875,0.719125,0.0,0.001801,0.000675
ECA,Rule_0,1,1,16,0.0,0.0,0.997625,1.0,0.003802,0.001302,0.001392
ECA,Rule_0,1,2,1,1.8e-05,0.0,0.996977,0.094219,0.001302,0.001984,0.001999
ECA,Rule_0,1,2,2,0.0,0.0,0.998,0.1875,0.0,0.0,0.0
ECA,Rule_0,1,2,4,2e-06,0.0,0.997875,0.375281,0.0,0.001589,0.000675
ECA,Rule_0,1,2,8,1.9e-05,0.0,0.997688,0.719125,0.004417,0.00117,0.001251
ECA,Rule_0,1,2,16,0.0,0.0,0.997875,1.0,0.0,0.001801,0.000675
ECA,Rule_8,1,0,1,5.7e-05,0.0,0.996992,0.094578,0.001428,0.005157,0.003042
ECA,Rule_8,1,0,2,0.000103,0.000127,0.997031,0.188531,0.006134,0.003072,0.003087
ECA,Rule_8,1,0,4,2.5e-05,0.0,0.9975,0.375531,0.003383,0.001618,0.001623
ECA,Rule_8,1,0,8,0.0008,0.446901,0.997437,0.719625,0.008222,0.002296,0.002338
ECA,Rule_8,1,0,16,0.0,0.0,0.997625,1.0,0.004963,0.002833,0.001762
ECA,Rule_8,1,1,1,8.3e-05,0.0,0.996945,0.094523,0.006018,0.003053,0.003126
ECA,Rule_8,1,1,2,0.0,0.0,0.998,0.1875,0.0,0.0,0.0
ECA,Rule_8,1,1,4,1.4e-05,0.0,0.997656,0.375531,0.0,0.003647,0.001397
ECA,Rule_8,1,1,8,5.7e-05,0.0,0.997125,0.719688,0.00372,0.003336,0.002297
ECA,Rule_8,1,1,16,0.0,0.0,0.997625,1.0,0.004167,0.003103,0.002067
ECA,Rule_8,1,2,1,6.2e-05,0.0,0.996977,0.094531,0.00177,0.005242,0.003064
ECA,Rule_8,1,2,2,2.2e-05,0.000278,0.997031,0.187953,0.002628,0.001439,0.001597
ECA,Rule_8,1,2,4,2e-06,0.0,0.997875,0.375281,0.0,0.001589,0.000675
ECA,Rule_8,1,2,8,9.4e-05,0.0,0.997062,0.719562,0.007308,0.002505,0.002643
ECA,Rule_8,1,2,16,0.0,0.0,0.996875,1.0,0.003727,0.003399,0.002297
ECA,Rule_51,2,0,1,0.0,1.0,0.0,0.347656,0.332894,0.996469,0.999956
ECA,Rule_51,2,0,2,1.01619,0.0,0.569172,0.425781,0.0,0.74569,0.750575
ECA,Rule_51,2,0,4,3.809333,0.0,0.701719,0.554688,0.273127,0.539363,0.542124
ECA,Rule_51,2,0,8,0.649574,1.0,0.686125,0.921875,0.0,0.621095,0.625262
ECA,Rule_51,2,0,16,0.0,0.0,0.686125,1.0,0.287945,0.540565,0.574284
ECA,Rule_51,2,1,1,0.0,1.0,0.0,0.339844,0.3311,0.992775,0.997842
ECA,Rule_51,2,1,2,3.839009,0.151213,0.7485,0.3125,0.207884,0.400912,0.405639
ECA,Rule_51,2,1,4,1.239316,0.0,0.810875,0.523438,0.0,0.439404,0.446783
ECA,Rule_51,2,1,8,2.160789,0.0,0.779687,0.921875,0.309741,0.462474,0.481276
ECA,Rule_51,2,1,16,0.0,0.0,0.561375,1.0,0.283803,0.70047,0.753745
ECA,Rule_51,2,2,1,0.0,1.0,0.0,0.328125,0.332921,0.991993,0.999604
ECA,Rule_51,2,2,2,3.841236,0.0,0.7485,0.320312,0.207884,0.404367,0.405639
ECA,Rule_51,2,2,4,1.011187,0.0,0.904438,0.476562,0.0,0.266555,0.268956
ECA,Rule_51,2,2,8,0.596889,0.0,0.62375,0.953125,0.0,0.690088,0.69157
ECA,Rule_51,2,2,16,0.0,0.0,0.686125,1.0,0.286171,0.535052,0.574284
ECA,Rule_23,2,0,1,0.000258,0.979313,0.000836,0.258156,0.332378,0.749509,0.998426
ECA,Rule_23,2,0,2,2.2e-05,0.0,0.997562,0.188016,0.003802,0.001503,0.001516
ECA,Rule_23,2,0,4,3.837714,0.981151,0.777875,0.485531,0.263643,0.330666,0.382065
ECA,Rule_23,2,0,8,0.49182,1.0,0.686,0.953125,0.006847,0.591306,0.625308
ECA,Rule_23,2,0,16,0.0,0.981151,0.499625,1.0,0.013231,0.664161,0.8101
ECA,Rule_23,2,1,1,0.000398,1.0,0.000461,0.273602,0.330981,0.766872,0.995602
ECA,Rule_23,2,1,2,0.0,0.0,0.998,0.1875,0.0,0.0,0.0
ECA,Rule_23,2,1,4,3.870365,0.0,0.748406,0.523813,0.225099,0.398756,0.406528
ECA,Rule_23,2,1,8,0.002382,0.0,0.592812,0.999812,0.006721,0.718794,0.726328
ECA,Rule_23,2,1,16,0.0,0.0,0.561375,1.0,0.283803,0.70047,0.753745
ECA,Rule_23,2,2,1,4.3e-05,0.99266,0.000547,0.277547,0.333086,0.769282,0.999604
ECA,Rule_23,2,2,2,0.0,0.0,0.998,0.1875,0.0,0.0,0.0
ECA,Rule_23,2,2,4,2.199048,0.0,0.515406,0.6325,0.335015,0.766246,0.797044
ECA,Rule_23,2,2,8,0.472164,0.0,0.654813,0.968688,0.0,0.655975,0.650762
ECA,Rule_23,2,2,16,0.0,0.0,0.561625,1.0,0.313495,0.696657,0.753027
ECA,Rule_30,3,0,1,0.031498,1.5e-05,0.502695,0.335273,0.331344,0.997994,0.99697
ECA,Rule_30,3,0,2,4.353484,0.053868,0.751312,0.323328,0.325736,0.427187,0.426123
ECA,Rule_30,3,0,4,3.655813,0.030488,0.800844,0.519,0.312727,0.436958,0.428854
ECA,Rule_30,3,0,8,1.908966,0.060919,0.695437,0.947688,0.421528,0.596777,0.592131
ECA,Rule_30,3,0,16,0.0,0.094498,0.631125,1.0,0.424509,0.669409,0.669212
ECA,Rule_30,3,1,1,0.027687,0.000987,0.49882,0.335094,0.330682,0.998322,0.997325
ECA,Rule_30,3,1,2,4.184033,0.04376,0.760406,0.318203,0.310514,0.409223,0.408295
ECA,Rule_30,3,1,4,3.593755,0.026819,0.811625,0.51425,0.278107,0.419995,0.411626
ECA,Rule_30,3,1,8,1.966651,0.058854,0.696313,0.945438,0.400132,0.596315,0.590928
ECA,Rule_30,3,1,16,0.0,0.081197,0.642875,1.0,0.436664,0.652755,0.651432
ECA,Rule_30,3,2,1,0.02496,0.000191,0.496859,0.334359,0.330191,0.99839,0.997575
ECA,Rule_30,3,2,2,4.23954,0.047128,0.763594,0.315563,0.333439,0.402894,0.402075
ECA,Rule_30,3,2,4,3.518956,0.024839,0.819937,0.508813,0.263289,0.408299,0.399875
ECA,Rule_30,3,2,8,1.929399,0.06677,0.68875,0.94825,0.410718,0.60564,0.600202
ECA,Rule_30,3,2,16,0.0,0.106047,0.626375,1.0,0.421591,0.675226,0.673598
ECA,Rule_90,3,0,1,2.8455,0.168876,0.872242,0.13957,0.162975,0.253909,0.254109
ECA,Rule_90,3,0,2,1.50911,0.053104,0.940844,0.215328,0.166713,0.118812,0.118513
ECA,Rule_90,3,0,4,1.144205,0.003669,0.950125,0.403187,0.12723,0.12864,0.104123
ECA,Rule_90,3,0,8,1.999957,0.014158,0.928063,0.7665,0.216081,0.158367,0.145207
ECA,Rule_90,3,0,16,0.0,0.033944,0.920875,1.0,0.20335,0.158356,0.155811
ECA,Rule_90,3,1,1,2.903441,0.147118,0.869102,0.13918,0.182871,0.252839,0.252579
ECA,Rule_90,3,1,2,0.977705,0.005497,0.952406,0.208313,0.145622,0.095973,0.09307
ECA,Rule_90,3,1,4,1.738876,0.079013,0.943281,0.404469,0.144257,0.141643,0.116226
ECA,Rule_90,3,1,8,2.060454,0.003984,0.925,0.7675,0.219139,0.161383,0.148097
ECA,Rule_90,3,1,16,0.0,0.039544,0.930125,1.0,0.208256,0.142469,0.141381
ECA,Rule_90,3,2,1,2.880347,0.140657,0.868727,0.139461,0.1659,0.253448,0.253471
ECA,Rule_90,3,2,2,1.333821,0.021588,0.943125,0.213891,0.166104,0.110565,0.110098
ECA,Rule_90,3,2,4,1.457296,0.005564,0.942063,0.406531,0.150643,0.14117,0.117164
ECA,Rule_90,3,2,8,1.990578,0.009952,0.926687,0.766563,0.216022,0.154897,0.143261
ECA,Rule_90,3,2,16,0.0,0.014606,0.926125,1.0,0.21198,0.147646,0.146597
ECA,Rule_110,4,0,1,0.095458,0.022732,0.580266,0.294273,0.029198,0.97124,0.985073
ECA,Rule_110,4,0,2,2.2e-05,0.0,0.997562,0.188016,0.003802,0.001503,0.001516
ECA,Rule_110,4,0,4,3.149067,0.033366,0.744781,0.555094,0.327317,0.53494,0.541306
