rank,rule,class,C_a_bp,C_a_x8,C_a,C_v8,gz_byte,gz_bp,gz_x8,wG_a_bp,wG_a_x8,mean_H,std_H,op_up,op_down,mi1,decay,tc_mean
1,182,3,3.123348,2.003095,2.580381,0.329219,0.1156,0.722716,0.9248,0.992221,0.636341,0.808932,0.04609,0.324604,0.73668,0.154774,0.079501,0.495467
2,146,3,3.071423,2.267742,2.509466,0.266302,0.113289,0.710985,0.906311,0.993842,0.73379,0.812486,0.050283,0.324292,0.732503,0.149303,0.065287,0.490133
3,183,3,3.069822,1.004693,2.593387,0.285396,0.1208,0.736936,0.9664,0.989676,0.323902,0.817781,0.042813,0.324853,0.747327,0.157635,0.083676,0.485156
4,18,3,3.045572,2.177807,2.497288,0.279483,0.113911,0.71845,0.911289,0.992854,0.709964,0.817638,0.043877,0.309713,0.739482,0.157556,0.075485,0.485244
5,109,2,2.656244,2.911778,1.494821,0.120883,0.056711,0.153928,0.453689,0.912,0.999735,0.331805,0.450871,0.320646,0.947557,0.177616,0.0,0.721422
6,73,2,2.567136,2.557789,1.821102,0.233337,0.088311,0.345539,0.706489,0.998004,0.99437,0.400141,0.458237,0.295767,0.968854,0.110567,0.0,0.6776
7,6,0,2.252917,2.230731,0.486841,0.007506,0.020533,0.171347,0.164267,0.937072,0.927844,0.758484,0.036556,0.321443,0.703864,0.018196,0.015699,0.701511
8,215,0,2.192278,2.198631,0.539717,0.00674,0.023956,0.188411,0.191644,0.954856,0.957623,0.776879,0.029073,0.324167,0.722856,0.015743,0.014354,0.688311
9,133,2,2.057297,2.820287,0.572959,0.002115,0.018533,0.078919,0.148267,0.657952,0.901966,0.164618,0.359883,0.298199,0.843524,0.486695,0.0,0.856356
10,5,0,1.617724,2.23919,0.319243,3.3e-05,0.008311,0.044792,0.066489,0.420188,0.581608,0.62,0.485386,0.228351,0.811139,0.101388,0.0,0.377467
11,48,2,1.596514,1.372861,0.241839,0.195834,0.014622,0.192677,0.116978,0.958471,0.824201,0.772155,0.0,0.0,0.704353,0.1259,0.119075,0.543022
12,243,2,1.595133,1.390442,0.248524,0.198679,0.015022,0.190899,0.120178,0.957001,0.834196,0.772155,0.0,0.0,0.698659,0.125921,0.119271,0.543022
13,33,2,1.580454,2.148838,0.304046,0.0,0.008044,0.044437,0.064356,0.417256,0.567316,0.76,0.427083,0.286709,0.778633,0.463538,0.0,0.2384
14,187,2,1.578993,1.372077,0.241701,0.195564,0.014622,0.181657,0.116978,0.948495,0.824201,0.772155,0.0,0.0,0.704353,0.125708,0.118875,0.543022
15,34,2,1.576996,1.402516,0.253541,0.20069,0.015333,0.179524,0.122667,0.94631,0.84161,0.772155,0.0,0.0,0.698659,0.126065,0.119015,0.543022
16,91,2,1.572712,2.012476,0.280604,0.0,0.007511,0.044792,0.060089,0.420188,0.537682,0.773333,0.418675,0.330959,0.790011,0.403586,0.0,0.225156
17,37,2,1.562956,2.062013,0.288201,0.0,0.0076,0.043726,0.0608,0.411367,0.542718,0.746667,0.43492,0.333216,0.802571,0.32872,0.0,0.251644
18,123,2,1.555481,2.049877,0.288607,0.0,0.007867,0.045148,0.062933,0.423111,0.557593,0.786667,0.409661,0.33146,0.801807,0.463773,0.0,0.211911
19,242,2,1.544272,1.347625,0.24441,0.021973,0.015422,0.204053,0.123378,0.966781,0.843672,0.881291,0.0,0.0,0.75077,0.217319,0.201264,0.397333
20,186,2,1.537172,1.418941,0.277754,0.023731,0.017511,0.193743,0.140089,0.95933,0.885544,0.881291,0.0,0.0,0.753407,0.217403,0.212394,0.397333
21,189,0,1.532101,1.338984,0.235112,0.198929,0.014533,0.174191,0.116267,0.940448,0.821907,0.747806,0.0,0.0,0.652353,0.112658,0.11158,0.569511
22,66,0,1.53143,1.338984,0.235112,0.198929,0.014533,0.173836,0.116267,0.940036,0.821907,0.747806,0.0,0.0,0.652353,0.112658,0.11158,0.569511
23,95,0,1.504186,2.084312,0.297925,0.001778,0.0084,0.045148,0.0672,0.423111,0.586294,0.593333,0.491212,0.283557,0.892458,0.060385,0.0,0.403956
24,194,2,1.496474,1.308182,0.227862,0.189514,0.014311,0.168503,0.114489,0.933512,0.816054,0.735063,0.0,0.0,0.646906,0.106863,0.106611,0.582756
25,231,0,1.489917,1.231594,0.206457,0.167879,0.013244,0.183434,0.105956,0.950249,0.785494,0.721928,0.0,0.0,0.640643,0.101256,0.099546,0.596
26,24,0,1.489375,1.231594,0.206457,0.167879,0.013244,0.183079,0.105956,0.949903,0.785494,0.721928,0.0,0.0,0.640643,0.101256,0.099546,0.596
27,157,2,1.483192,1.987314,0.279455,5e-06,0.007822,0.044081,0.062578,0.414316,0.555138,0.186667,0.389644,0.32481,0.766986,0.530896,0.0,0.807911
28,156,2,1.481113,1.984529,0.279063,9e-06,0.007822,0.044081,0.062578,0.414316,0.555138,0.186667,0.389644,0.332807,0.774984,0.41465,0.0,0.807911
29,28,2,1.463099,1.944249,0.271742,4e-06,0.0076,0.04337,0.0608,0.408409,0.542718,0.186667,0.389644,0.319918,0.762095,0.313333,0.0,0.807911
30,188,2,1.46149,1.272622,0.220957,0.172479,0.014222,0.169214,0.113778,0.93442,0.813664,0.721928,0.0,0.0,0.640643,0.100681,0.098905,0.596
31,127,0,1.419257,1.906778,0.267801,0.0,0.007778,0.043726,0.062222,0.411367,0.552673,0.826667,0.378535,0.230526,0.654862,0.463436,0.0,0.172178
32,94,2,1.418756,2.116289,0.387573,0.000249,0.015689,0.0647,0.125511,0.569644,0.849711,0.115642,0.313477,0.299977,0.802894,0.571239,0.0,0.891733
33,152,2,1.390057,1.195225,0.206522,0.145205,0.014089,0.175613,0.112711,0.942069,0.810028,0.721928,0.0,0.0,0.640643,0.101025,0.075647,0.596
34,230,2,1.383116,1.144065,0.191178,0.119833,0.013156,0.179524,0.105244,0.94631,0.782755,0.694446,0.0,0.0,0.625722,0.089911,0.078863,0.622489
35,176,2,1.345301,1.189094,0.219901,0.00412,0.015956,0.20583,0.127644,0.967923,0.855535,0.911484,0.0,0.0,0.751632,0.261507,0.25868,0.344356
36,162,2,1.331649,1.220441,0.235055,0.004277,0.017067,0.19161,0.136533,0.957595,0.877624,0.911484,0.0,0.0,0.748797,0.262172,0.259327,0.344356
37,144,2,1.326742,1.078564,0.176589,0.082837,0.012578,0.173836,0.100622,0.940036,0.764195,0.665274,0.0,0.0,0.607675,0.07947,0.074578,0.648978
38,130,2,1.30258,1.107015,0.185573,0.084366,0.013244,0.161749,0.105956,0.924259,0.785494,0.665274,0.0,0.0,0.607675,0.079297,0.074215,0.648978
39,246,2,1.27068,1.033186,0.168633,0.082571,0.012489,0.170636,0.099911,0.9362,0.761221,0.63431,0.0,0.0,0.586543,0.069841,0.069767,0.675467
40,62,2,1.259454,1.240741,0.260687,2.3e-05,0.019467,0.164948,0.155733,0.928787,0.914987,0.921172,0.012182,0.309522,0.832912,0.156553,0.0,0.330044
41,97,4,1.250756,1.184602,0.965612,0.021277,0.102489,0.533239,0.819911,0.999777,0.946898,0.945858,0.029081,0.401826,0.911074,0.084904,0.078081,0.378356
42,190,2,1.194813,0.993385,0.163152,0.076107,0.012667,0.160683,0.101333,0.922689,0.767137,0.618119,0.0,0.0,0.57482,0.064892,0.058808,0.688711
43,107,4,1.177318,1.182321,0.722122,0.066143,0.070978,0.30359,0.567822,0.995395,0.999624,0.943474,0.025323,0.194003,0.923284,0.075802,0.07454,0.3932
44,199,2,1.16707,1.604238,0.223151,0.0,0.007422,0.040882,0.059378,0.387467,0.532607,0.133333,0.339935,0.330518,0.698287,0.365178,0.0,0.860889
45,70,2,1.14899,1.581329,0.219189,0.0,0.007289,0.040171,0.058311,0.381408,0.524923,0.133333,0.339935,0.315099,0.682868,0.365163,0.0,0.860889
46,71,2,1.138576,1.596414,0.229073,0.028924,0.008533,0.045148,0.068267,0.423111,0.59325,0.386667,0.486986,0.329372,0.962949,0.003633,0.0,0.609244
47,198,2,1.130416,1.596476,0.221809,0.0,0.007378,0.03946,0.059022,0.375316,0.530055,0.133333,0.339935,0.332633,0.700402,0.363644,0.0,0.860889
48,131,2,1.121805,1.120345,0.422077,0.000294,0.039467,0.338073,0.315733,0.997684,0.996385,0.925512,0.013821,0.069312,0.663233,0.220857,0.00516,0.3248
49,121,4,1.117176,1.12497,0.73008,0.048296,0.077244,0.276573,0.617956,0.99211,0.999031,0.948344,0.016441,0.283344,0.916544,0.087759,0.084217,0.378933
50,191,0,1.100469,0.897695,0.143164,0.063765,0.011822,0.149662,0.094578,0.904536,0.737866,0.56651,0.0,0.0,0.534979,0.052192,0.051754,0.728444
51,145,2,1.095489,1.094935,0.460466,0.000213,0.044756,0.377888,0.358044,0.998949,0.998443,0.928077,0.015219,0.069755,0.720669,0.220632,0.004169,0.319689
52,41,4,1.086175,1.103506,0.617445,0.008392,0.0632,0.241379,0.5056,0.984115,0.999817,0.956779,0.02665,0.295735,0.904451,0.117914,0.093874,0.344178
53,16,0,1.083267,0.863353,0.136642,0.054187,0.0116,0.156061,0.0928,0.915519,0.72966,0.548225,0.0,0.0,0.520109,0.048587,0.046926,0.741689
54,20,0,1.079305,1.070406,0.24289,0.022222,0.021644,0.180235,0.173156,0.947048,0.939239,0.741048,0.01912,0.0,0.698438,0.02212,0.021532,0.714978
55,247,0,1.066658,0.859138,0.137015,0.049016,0.011822,0.156417,0.094578,0.916093,0.737866,0.56651,0.0,0.0,0.534979,0.052511,0.038135,0.728444
56,227,2,1.062458,0.96244,0.184763,0.000492,0.016978,0.204408,0.135822,0.967013,0.87598,0.93701,0.0,0.0,0.740766,0.314306,0.305104,0.291378
57,185,2,1.055334,0.970477,0.189047,0.000499,0.017378,0.195165,0.139022,0.960448,0.88322,0.93701,0.0,0.0,0.740766,0.313118,0.308076,0.291378
58,2,0,1.049249,0.852426,0.133896,0.053395,0.011378,0.14113,0.091022,0.887771,0.721239,0.548225,0.0,0.0,0.520109,0.048432,0.046704,0.741689
59,1,0,1.045293,1.932357,0.306764,0.0,0.011689,0.041948,0.093511,0.396493,0.732968,0.88,0.324962,0.174696,0.517327,0.72897,0.0,0.1192
60,159,0,1.026652,1.024133,0.23491,0.009791,0.021956,0.177746,0.175644,0.944421,0.942104,0.777604,0.017436,0.0,0.732021,0.015301,0.013994,0.688489
61,29,2,1.017328,1.437445,0.206801,0.031261,0.008622,0.045148,0.068978,0.423111,0.597839,0.413333,0.492432,0.328655,0.978736,0.029049,0.0,0.582756
62,49,2,1.016976,0.977565,0.232568,2.6e-05,0.023022,0.261287,0.184178,0.989304,0.950965,0.962483,0.004381,0.312871,0.869937,0.394443,0.394249,0.225156
63,35,2,1.01183,0.977412,0.239579,2.8e-05,0.023911,0.270174,0.191289,0.991038,0.957327,0.962449,0.004919,0.321975,0.880984,0.394483,0.391175,0.225156
64,59,2,1.002922,0.968502,0.237395,2.8e-05,0.023911,0.271952,0.191289,0.991349,0.957327,0.962447,0.004945,0.329033,0.889045,0.394337,0.390992,0.225156
65,56,2,0.983427,0.904128,0.177555,0.000272,0.0176,0.201209,0.1408,0.964871,0.887069,0.942683,0.0,0.0,0.735345,0.329376,0.321158,0.278133
66,98,2,0.978043,0.904876,0.17799,0.000273,0.017644,0.194099,0.141156,0.959612,0.887824,0.942683,0.0,0.0,0.735965,0.327897,0.323686,0.278133
67,151,3,0.965019,0.0,1.172677,0.014925,0.149556,0.904017,1.196444,0.744201,0.0,0.929959,0.029509,0.351071,0.889845,0.016384,0.016153,0.471867
68,118,2,0.944514,0.810881,0.121022,0.000125,0.009822,0.100604,0.078578,0.764121,0.65601,0.918555,0.001467,0.297965,0.880121,0.13414,0.0,0.330889
69,52,2,0.921622,0.88215,0.190111,0.000898,0.020178,0.201564,0.161422,0.965116,0.923781,0.841099,0.014352,0.0,0.80889,0.00644,0.0,0.6356
70,177,2,0.891064,0.877932,0.194932,0.00016,0.021022,0.180235,0.168178,0.947048,0.933092,0.948078,0.0,0.0,0.626645,0.344251,0.30076,0.264889
71,163,2,0.890386,0.883148,0.201018,0.000163,0.021733,0.180946,0.173867,0.947776,0.940072,0.948078,0.0,0.0,0.626645,0.345136,0.276153,0.264889
72,80,0,0.881222,0.728454,0.123675,8.8e-05,0.0136,0.19872,0.1088,0.963112,0.796147,0.826746,0.0,0.0,0.781847,2.3e-05,0.0,0.609244
73,245,0,0.880136,0.721882,0.121396,5.8e-05,0.013333,0.195876,0.106667,0.960995,0.788202,0.826746,0.0,0.0,0.778759,0.003577,0.0,0.635733
74,214,2,0.877807,0.840946,0.180089,0.001301,0.02,0.197298,0.16,0.962068,0.921668,0.855292,0.009085,0.0,0.797287,0.00456,0.003981,0.622133
75,175,0,0.87724,0.72485,0.122477,8.8e-05,0.013467,0.193032,0.107733,0.958759,0.792208,0.826746,0.0,0.0,0.781847,2.3e-05,0.0,0.609244
76,148,2,0.87686,0.847061,0.185156,0.001341,0.020578,0.195876,0.164622,0.960995,0.928337,0.855292,0.009085,0.0,0.797287,0.004593,0.00404,0.6224
77,10,0,0.874799,0.711792,0.118195,5.7e-05,0.012978,0.188766,0.103822,0.955169,0.777185,0.826746,0.0,0.0,0.778759,0.003606,0.0,0.635733
78,158,2,0.874108,0.841769,0.180836,0.001225,0.020089,0.192321,0.160711,0.958181,0.922732,0.855292,0.009085,0.0,0.797287,0.004358,0.00378,0.622222
79,155,2,0.870811,0.836713,0.177767,0.001672,0.019778,0.190188,0.158222,0.956398,0.918948,0.841424,0.004783,0.0,0.804314,0.006179,0.005004,0.635689
80,38,2,0.827657,0.788938,0.165761,0.005943,0.019467,0.194454,0.155733,0.959892,0.914987,0.868371,0.01292,0.0,0.837856,0.003019,0.000763,0.609022
81,58,2,0.818613,0.807687,0.183276,8.3e-05,0.021644,0.185212,0.173156,0.951945,0.939239,0.953197,0.0,0.0,0.6338,0.361169,0.351738,0.251644
82,114,2,0.815362,0.806618,0.182186,8.3e-05,0.021511,0.181301,0.172089,0.948137,0.93797,0.953197,0.0,0.0,0.6338,0.359837,0.354538,0.251644
83,134,2,0.809832,0.788359,0.171783,0.000795,0.020489,0.185923,0.163911,0.952607,0.927348,0.868682,0.004306,0.0,0.806982,0.003013,0.0,0.609022
84,211,2,0.792807,0.76047,0.165706,0.004919,0.020489,0.204053,0.163911,0.966781,0.927348,0.868682,0.004306,0.0,0.837856,0.003016,0.0,0.609111
85,26,2,0.778621,0.775125,0.573852,0.060592,0.093156,0.27764,0.745244,0.992276,0.987821,0.956908,0.010073,0.33037,0.915229,0.038689,0.038689,0.421733
86,22,3,0.7652,0.0,1.049016,0.019468,0.149778,0.920725,1.198222,0.659963,0.0,0.937911,0.028668,0.347237,0.902457,0.022001,0.022,0.457067
87,125,0,0.663708,0.666104,0.17872,0.003415,0.026711,0.207608,0.213689,0.969026,0.972524,0.882893,0.09872,0.0,0.939162,0.069096,0.0,0.370311
88,111,0,0.662241,0.672338,0.191487,0.003552,0.028667,0.201564,0.229333,0.965116,0.979832,0.883098,0.09866,0.0,0.938946,0.069504,0.0,0.369867
89,115,2,0.638986,0.61391,0.145832,2.9e-05,0.022978,0.261998,0.183822,0.989454,0.950624,0.962463,0.0047,0.0,0.892343,0.393393,0.391128,0.225156
90,137,4,0.628727,0.0,0.574488,0.861518,0.127156,0.83043,1.017244,0.934869,0.0,0.954395,0.061376,0.126661,0.970792,0.018111,0.016072,0.579289
91,110,4,0.623416,0.440791,0.513785,0.810085,0.114178,0.740491,0.913422,0.988919,0.699223,0.946387,0.058851,0.077879,0.971034,0.018031,0.015378,0.577911
92,139,2,0.531629,0.42871,0.070742,0.024319,0.0128,0.190544,0.1024,0.956701,0.771491,0.942683,0.0,0.0,0.794203,0.036166,0.031904,0.635733
