name,f,k,seed,expected_class,pool_factor,n_supercells,C_a,mi1,decay,tc_mean,gzip_ratio,op_up,op_down,mean_H,std_H,wH_a,wOPs_a,wOPt_a,wT_a,wG_a
dead,0.09,0.059,0,trivial,1,16384,0.022668,1.0,0.0,0.979985,0.012117,0.0,0.317583,0.811278,0.0,0.95513,0.996516,0.0,0.197516,0.120577
dead,0.09,0.059,0,trivial,2,4096,0.049254,1.0,0.0,0.97999,0.026782,0.0,0.352818,0.811278,0.0,0.95513,0.998273,0.0,0.197469,0.261597
dead,0.09,0.059,0,trivial,4,1024,0.10948,1.0,0.0,0.98,0.066406,0.0,0.410929,0.811278,0.0,0.95513,0.999446,0.0,0.197375,0.581061
dead,0.09,0.059,0,trivial,8,256,0.176744,1.0,0.0,0.98,0.171875,0.0,0.500946,0.811278,0.0,0.95513,0.999818,0.0,0.197375,0.937712
dead,0.09,0.059,0,trivial,16,64,0.188341,0.0,0.0,0.98,0.453125,0.0,0.599598,0.811278,0.0,0.95513,0.999322,0.0,0.197375,0.999733
dead,0.09,0.059,1,trivial,1,16384,0.022023,1.0,0.0,0.979988,0.01177,0.0,0.317583,0.811278,0.0,0.95513,0.996516,0.0,0.197493,0.11716
dead,0.09,0.059,1,trivial,2,4096,0.046313,1.0,0.0,0.979971,0.025088,0.0,0.352818,0.811278,0.0,0.95513,0.998273,0.0,0.197657,0.245745
dead,0.09,0.059,1,trivial,4,1024,0.10948,1.0,0.0,0.98,0.066406,0.0,0.410929,0.811278,0.0,0.95513,0.999446,0.0,0.197375,0.581061
dead,0.09,0.059,1,trivial,8,256,0.178266,1.0,0.0,0.979844,0.172656,0.0,0.4879,0.811278,0.0,0.95513,0.999813,0.0,0.198876,0.938648
dead,0.09,0.059,1,trivial,16,64,0.188341,0.0,0.0,0.98,0.453125,0.0,0.599598,0.811278,0.0,0.95513,0.999322,0.0,0.197375,0.999733
static_spots,0.042,0.065,0,ordered,1,16384,0.095401,0.960134,0.229612,0.976282,0.032386,0.0,0.405134,0.811278,0.0,0.95513,0.999381,0.371207,0.232833,0.312997
static_spots,0.042,0.065,0,ordered,2,4096,0.167768,0.954815,0.231932,0.976191,0.059175,0.0,0.486738,0.811278,0.0,0.95513,0.999812,0.415306,0.233687,0.531152
static_spots,0.042,0.065,0,ordered,4,1024,0.259871,0.946138,0.151732,0.976328,0.112539,0.0,0.570929,0.811278,0.0,0.95513,0.999603,0.446797,0.232394,0.809436
static_spots,0.042,0.065,0,ordered,8,256,0.421753,0.858009,0.188875,0.975156,0.233594,0.0,0.647487,0.811278,0.0,0.95513,0.998262,0.849784,0.243449,0.981464
static_spots,0.042,0.065,0,ordered,16,64,0.199719,0.0,0.0,0.97875,0.468438,0.0,0.61988,0.811278,0.0,0.95513,0.998994,0.0,0.209358,0.999781
static_spots,0.042,0.065,1,ordered,1,16384,0.089593,0.963323,0.217543,0.976282,0.030985,0.0,0.401392,0.811278,0.0,0.95513,0.999335,0.342221,0.232833,0.300302
static_spots,0.042,0.065,1,ordered,2,4096,0.156978,0.958988,0.233314,0.97624,0.056304,0.0,0.481211,0.811278,0.0,0.95513,0.999805,0.381328,0.233225,0.510227
static_spots,0.042,0.065,1,ordered,4,1024,0.179855,0.980642,0.003653,0.97625,0.110547,0.0,0.575379,0.811278,0.0,0.95513,0.99957,0.006981,0.233133,0.802455
static_spots,0.042,0.065,1,ordered,8,256,0.32527,0.948693,0.276809,0.975781,0.223125,0.0,0.644769,0.811278,0.0,0.95513,0.998354,0.468629,0.237561,0.977196
static_spots,0.042,0.065,1,ordered,16,64,0.19402,0.0,0.0,0.979375,0.479375,0.0,0.618722,0.811278,0.0,0.95513,0.999016,0.0,0.203374,0.999803
