name,f,k,seed,expected_class,n_supercells,cell_density_v01,C,C_a,wH_a,wOPs_a,wOPt_a,wT_a,wG_a,mean_H,std_H,op_up,op_down,mi1,decay,tc_mean,gzip_ratio
dead,0.09,0.059,0,trivial,256,0.0,0.053603,0.544869,1.956505,1.980977,0.465056,0.124353,0.915572,0.648416,0.324264,0.234119,0.400338,0.948896,0.255022,0.9875,0.156094
dead,0.09,0.059,1,trivial,256,0.0,0.038398,0.522957,1.956522,1.986807,0.341482,0.125122,0.917509,0.648639,0.324332,0.253704,0.394725,0.963117,0.205095,0.987422,0.157305
dead,0.09,0.059,2,trivial,256,0.0,0.053462,0.544978,1.956491,1.980977,0.465056,0.124353,0.915761,0.648191,0.324201,0.234121,0.400248,0.948896,0.255022,0.9875,0.156211
static_spots,0.042,0.065,0,ordered,256,0.143579,0.002358,0.277341,0.95513,0.992217,0.932473,0.152702,0.987973,0.811278,0.0,0.0,0.722738,0.832171,0.466613,0.984609,0.255391
static_spots,0.042,0.065,1,ordered,256,0.142882,0.001697,0.222135,0.95513,0.991556,0.558922,0.151939,0.987233,0.811278,0.0,0.0,0.726835,0.936623,0.323915,0.984688,0.252383
static_spots,0.042,0.065,2,ordered,256,0.143005,0.001667,0.276482,0.95513,0.991991,0.914904,0.153465,0.989162,0.811278,0.0,0.0,0.724176,0.844171,0.447334,0.984531,0.260625
self_rep_spots,0.03,0.057,0,complex,256,0.671682,0.0,0.104764,0.95513,0.958251,0.0,0.115112,0.994366,0.811278,0.0,0.0,0.807593,0.0,0.0,0.988438,0.293477
self_rep_spots,0.03,0.057,1,complex,256,0.669653,0.0,0.118893,0.95513,0.958459,0.0,0.130501,0.99519,0.811278,0.0,0.0,0.807338,0.0,0.0,0.986875,0.301406
self_rep_spots,0.03,0.057,2,complex,256,0.66941,9.2e-05,0.218904,0.95513,0.964816,0.996638,0.117425,0.995072,0.811278,0.0,0.0,0.798871,0.680589,0.675849,0.988203,0.300195
worm_complex,0.055,0.062,0,complex,256,0.480774,0.000186,0.340755,0.95513,0.95682,0.948006,0.188349,0.994401,0.811278,0.0,0.0,0.809315,0.818828,0.818828,0.980938,0.293789
worm_complex,0.055,0.062,1,complex,256,0.483268,0.000204,0.328014,0.95513,0.957649,0.929201,0.183069,0.99421,0.811278,0.0,0.0,0.808325,0.834749,0.834749,0.981484,0.292109
worm_complex,0.055,0.062,2,complex,256,0.480239,0.000221,0.345558,0.95513,0.956234,0.999287,0.186088,0.99421,0.811278,0.0,0.0,0.810004,0.601359,0.601359,0.981172,0.292109
solitons,0.025,0.06,0,complex,256,0.34923,2e-05,0.212413,0.95513,0.965671,0.259591,0.182314,0.995564,0.811278,0.0,0.0,0.79762,0.971101,0.160976,0.981563,0.305469
solitons,0.025,0.06,1,complex,256,0.351052,0.000126,0.458075,0.95513,0.960413,0.989656,0.247121,0.995212,0.811278,0.0,0.0,0.804879,0.737028,0.730247,0.974766,0.301641
solitons,0.025,0.06,2,complex,256,0.349858,0.0,0.200994,0.95513,0.965208,0.0,0.219048,0.995316,0.811278,0.0,0.0,0.798301,1.0,0.0,0.977734,0.302734
chaotic,0.026,0.051,0,chaotic,256,0.980653,0.002905,1.696039,0.95513,0.993804,0.8723,0.960802,0.990385,0.811278,0.0,0.0,0.711298,0.190299,0.153915,0.804375,0.266641
chaotic,0.026,0.051,1,chaotic,256,0.968751,0.001883,1.750114,0.95513,0.990256,0.940331,0.957164,0.991582,0.811278,0.0,0.0,0.734029,0.225255,0.196341,0.808906,0.27332
chaotic,0.026,0.051,2,chaotic,256,0.963948,0.003118,1.726615,0.95513,0.99281,0.910377,0.95921,0.990234,0.811278,0.0,0.0,0.718764,0.187754,0.187451,0.806406,0.265859
