mean_H,std_H,op_up,op_dn,mi1,decay,tcomp,gzip,w_H,w_OP_s,w_OP_t,w_T,w_G,score,T,seed,magnetisation
0.553627,0.085721,0.33878,0.48698,3e-05,2.4e-05,0.770369,0.08915,1.0,0.0,0.0,0.880457,0.976732,0.0,2.23,0,0.737791
0.556199,0.090501,0.454563,0.487462,0.118577,0.036686,0.767467,0.089161,1.0,0.0,0.291275,0.896127,0.976777,0.254958,2.23,1,0.50535
0.553767,0.093722,0.497358,0.486622,0.222798,0.028807,0.768391,0.089146,1.0,0.0,0.273924,0.891235,0.976715,0.238446,2.23,2,0.013913
0.544792,0.083293,0.363621,0.481279,0.0,0.0,0.774371,0.088695,1.0,0.0,0.0,0.857434,0.974762,0.0,2.23,3,0.744419
0.559605,0.097981,0.368786,0.48956,0.0,0.0,0.765147,0.089089,1.0,0.0,0.0,0.908,0.976469,0.0,2.23,4,0.731395
0.555246,0.100613,0.381739,0.486646,0.000118,9.6e-05,0.768648,0.088926,1.0,0.0,1e-06,0.889857,0.975771,1e-06,2.23,5,0.73366
0.562486,0.10731,0.528946,0.491908,0.1807,0.033645,0.762609,0.089642,1.0,0.0,0.307284,0.920283,0.978771,0.276785,2.23,6,0.302782
0.556549,0.10323,0.398488,0.486171,0.000323,0.00031,0.767829,0.088582,1.0,0.0,1e-05,0.894225,0.974261,9e-06,2.23,7,0.730438
0.555802,0.087616,0.34725,0.487438,1e-06,0.0,0.768421,0.088957,1.0,0.0,0.0,0.891074,0.975904,0.0,2.23,8,0.735824
0.551868,0.094136,0.376328,0.485276,2.5e-05,2.3e-05,0.770447,0.088805,1.0,0.0,0.0,0.880022,0.975247,0.0,2.23,9,0.737489
0.556981,0.095004,0.366496,0.487902,0.000194,0.000193,0.768546,0.089045,1.0,0.0,4e-06,0.890407,0.976282,3e-06,2.23,10,0.732746
0.55593,0.08855,0.358108,0.488073,6.5e-05,6.4e-05,0.768809,0.08921,1.0,0.0,0.0,0.88899,0.976983,0.0,2.23,11,0.735226
0.560135,0.092588,0.467461,0.489914,0.07866,0.032569,0.765114,0.089284,1.0,0.0,0.206557,0.908167,0.977295,0.183329,2.23,12,0.575303
0.549015,0.087809,0.355129,0.483707,1e-06,0.0,0.770655,0.088867,1.0,0.0,0.0,0.878861,0.975517,0.0,2.23,13,0.739557
0.550618,0.087517,0.356803,0.485016,0.0,0.0,0.770912,0.089005,1.0,0.0,0.0,0.877422,0.976111,0.0,2.23,14,0.739575
0.559817,0.098679,0.510153,0.490306,0.210962,0.027947,0.765695,0.089408,1.0,0.0,0.264518,0.905252,0.97781,0.234142,2.23,15,0.140384
0.564097,0.100591,0.51525,0.49269,0.191616,0.049276,0.761413,0.089675,1.0,0.0,0.437054,0.925806,0.978906,0.396092,2.23,16,0.241688
0.555972,0.083829,0.362441,0.488245,0.0,0.0,0.767345,0.089267,1.0,0.0,0.0,0.896767,0.977223,0.0,2.23,17,0.735301
0.551716,0.091373,0.358699,0.485361,0.0,0.0,0.770068,0.088914,1.0,0.0,0.0,0.882124,0.975718,0.0,2.23,18,0.738211
0.563777,0.097006,0.385583,0.492998,0.000113,0.000108,0.764014,0.089635,1.0,0.0,1e-06,0.913579,0.978744,1e-06,2.23,19,0.727337
0.58324,0.100587,0.390972,0.507915,0.000264,0.000261,0.753303,0.09157,1.0,0.0,7e-06,0.958462,0.985887,6e-06,2.24,0,0.711115
0.588765,0.104635,0.424679,0.509996,0.00019,0.000185,0.747889,0.091506,1.0,0.0,4e-06,0.975309,0.985675,3e-06,2.24,1,0.702544
