mean_H,std_H,op_up,op_dn,mi1,decay,tcomp,gzip,w_H,w_OP_s,w_OP_t,w_T,w_G,score,T,seed,magnetisation
0.533819,0.04612,0.310623,0.470483,1.5e-05,1.5e-05,0.78213,0.086975,1.000112,0.0,0.0,0.808719,0.966638,0.0,2.22,0,0.755598
0.533709,0.045142,0.318651,0.46917,3e-06,3e-06,0.781871,0.086735,1.000188,0.0,0.0,0.810419,0.965418,0.0,2.22,1,0.755738
0.542576,0.05147,0.326976,0.47529,7.7e-05,7.6e-05,0.778051,0.087181,1.000005,0.0,1e-06,0.834954,0.967671,0.0,2.22,2,0.748987
0.530974,0.041595,0.297115,0.467782,7e-06,7e-06,0.783746,0.086649,1.001067,0.0,0.0,0.797976,0.964977,0.0,2.22,3,0.757839
0.535687,0.043925,0.317461,0.471117,2.4e-05,2.1e-05,0.781563,0.086915,1.000348,0.0,0.0,0.812438,0.966335,0.0,2.22,4,0.754415
0.535195,0.043534,0.31486,0.470321,1.9e-05,1.9e-05,0.781445,0.086813,1.000423,0.0,0.0,0.813213,0.965817,0.0,2.22,5,0.754779
0.531701,0.042922,0.309193,0.468645,1e-06,0.0,0.783042,0.086752,1.00057,0.0,0.0,0.802679,0.965507,0.0,2.22,6,0.757272
0.533922,0.045374,0.305903,0.470014,1.6e-05,1.5e-05,0.782184,0.086831,1.000166,0.0,0.0,0.808359,0.965912,0.0,2.22,7,0.755559
0.53904,0.050129,0.317325,0.473529,6.3e-05,6.3e-05,0.780194,0.087129,1.000012,0.0,0.0,0.821327,0.96741,0.0,2.22,8,0.751588
0.535633,0.04451,0.322934,0.47103,2e-06,1e-06,0.780927,0.086997,1.000259,0.0,0.0,0.81659,0.966749,0.0,2.22,9,0.754412
0.533366,0.045435,0.323882,0.469171,1e-06,0.0,0.781665,0.086565,1.000161,0.0,0.0,0.811771,0.964544,0.0,2.22,10,0.755971
0.536441,0.038253,0.326681,0.47241,1e-06,0.0,0.78071,0.087407,1.004587,0.0,0.0,0.817992,0.968782,0.0,2.22,11,0.754174
0.53858,0.04711,0.321818,0.472544,2.9e-05,2.8e-05,0.780078,0.087019,1.000066,0.0,0.0,0.822075,0.966859,0.0,2.22,12,0.752182
0.533193,0.043759,0.322983,0.469939,1e-06,1e-06,0.782158,0.086985,1.000378,0.0,0.0,0.80853,0.966689,0.0,2.22,13,0.756176
0.540776,0.04385,0.32648,0.473571,1e-05,9e-06,0.778349,0.087035,1.000362,0.0,0.0,0.833081,0.966939,0.0,2.22,14,0.750806
0.534807,0.041271,0.310763,0.471002,0.0,0.0,0.781151,0.087129,1.001239,0.0,0.0,0.815133,0.967408,0.0,2.22,15,0.75516
0.53352,0.043444,0.313547,0.469779,6e-06,2e-06,0.782256,0.086786,1.000442,0.0,0.0,0.807886,0.965682,0.0,2.22,16,0.755954
0.532891,0.043741,0.314914,0.469714,1e-06,1e-06,0.782644,0.08688,1.000382,0.0,0.0,0.805322,0.96616,0.0,2.22,17,0.756398
0.529472,0.039099,0.310831,0.466695,1.7e-05,1.5e-05,0.784796,0.086474,1.003224,0.0,0.0,0.790908,0.964072,0.0,2.22,18,0.759031
0.541889,0.0443,0.328552,0.474771,2.5e-05,2.3e-05,0.778397,0.087302,1.000289,0.0,0.0,0.832779,0.968268,0.0,2.22,19,0.749984
0.544806,0.045317,0.33019,0.47865,8e-06,8e-06,0.776224,0.088118,1.000171,0.0,0.0,0.84626,0.97216,0.0,2.225,0,0.747829
0.544322,0.046452,0.331696,0.477315,9e-06,9e-06,0.776584,0.087836,1.000094,0.0,0.0,0.844053,0.970841,0.0,2.225,1,0.748143
0.548785,0.046072,0.332271,0.481078,9e-06,9e-06,0.774014,0.088227,1.000115,0.0,0.0,0.859548,0.972658,0.0,2.225,2,0.74493
0.548651,0.045651,0.331751,0.480059,7.8e-05,7.8e-05,0.775262,0.088019,1.000144,0.0,1e-06,0.852102,0.9717,0.0,2.225,3,0.745051
0.55265,0.049649,0.331892,0.482749,4.5e-05,4.5e-05,0.772583,0.088202,1.000016,0.0,0.0,0.867914,0.972546,0.0,2.225,4,0.741902
0.54855,0.046843,0.332466,0.479575,0.0,0.0,0.773518,0.087773,1.000076,0.0,0.0,0.86247,0.970542,0.0,2.225,5,0.745059
0.552279,0.052273,0.332156,0.482505,2.2e-05,2.2e-05,0.772499,0.088199,1.000003,0.0,0.0,0.868398,0.972531,0.0,2.225,6,0.741992
0.548747,0.044998,0.330256,0.480781,1.2e-05,1.2e-05,0.774312,0.088137,1.000202,0.0,0.0,0.857784,0.972247,0.0,2.225,7,0.745024
0.554361,0.05424,0.345335,0.484015,3e-05,3e-05,0.771329,0.088348,1.000001,0.0,0.0,0.875074,0.973213,0.0,2.225,8,0.740267
0.547094,0.048219,0.332393,0.479376,2.5e-05,2.5e-05,0.77541,0.087953,1.000035,0.0,0.0,0.851209,0.971392,0.0,2.225,9,0.746035
0.54558,0.050387,0.331847,0.477998,1.4e-05,1.2e-05,0.775889,0.087687,1.00001,0.0,0.0,0.848305,0.970133,0.0,2.225,10,0.746968
0.55099,0.04662,0.331427,0.482997,1.4e-05,1.3e-05,0.773137,0.088656,1.000086,0.0,0.0,0.8647,0.974591,0.0,2.225,11,0.743315
0.553816,0.053782,0.344299,0.483639,8.9e-05,8.9e-05,0.772329,0.088302,1.000001,0.0,1e-06,0.869377,0.973002,1e-06,2.225,12,0.740639
0.540243,0.042661,0.324889,0.475727,7e-06,6e-06,0.778753,0.087686,1.000646,0.0,0.0,0.830527,0.970129,0.0,2.225,13,0.751234
0.550521,0.049073,0.345833,0.481208,1.8e-05,1.6e-05,0.773212,0.088032,1.000022,0.0,0.0,0.864262,0.971761,0.0,2.225,14,0.743417
0.554101,0.047146,0.329172,0.484268,1.6e-05,1.3e-05,0.771562,0.088452,1.000064,0.0,0.0,0.873758,0.973679,0.0,2.225,15,0.740977
0.548653,0.04662,0.332601,0.480806,1.9e-05,1.9e-05,0.774358,0.088123,1.000086,0.0,0.0,0.85751,0.972182,0.0,2.225,16,0.744959
0.544359,0.045405,0.331736,0.477985,3e-06,3e-06,0.77639,0.087966,1.000164,0.0,0.0,0.845247,0.971452,0.0,2.225,17,0.748155
0.547214,0.046734,0.332543,0.478942,6.5e-05,5.6e-05,0.77591,0.087823,1.000081,0.0,0.0,0.848177,0.970782,0.0,2.225,18,0.746045
0.552886,0.045947,0.330192,0.483234,2e-05,2e-05,0.772321,0.088341,1.000123,0.0,0.0,0.869421,0.97318,0.0,2.225,19,0.741963
0.564724,0.049689,0.314881,0.493058,5.2e-05,5.2e-05,0.766254,0.089711,1.000015,0.0,0.0,0.902414,0.97905,0.0,2.23,0,0.732985
0.561,0.050407,0.319729,0.48928,0.0,0.0,0.766815,0.089123,1.00001,0.0,0.0,0.899526,0.976614,0.0,2.23,1,0.735733
0.564173,0.051624,0.313531,0.491923,2.4e-05,2e-05,0.765663,0.089414,1.000005,0.0,0.0,0.905415,0.977836,0.0,2.23,2,0.733241
0.558504,0.043023,0.323068,0.487753,1.8e-05,1.8e-05,0.769395,0.08903,1.000543,0.0,0.0,0.885812,0.976218,0.0,2.23,3,0.738037
0.563351,0.056692,0.328869,0.490908,9.4e-05,9.1e-05,0.766892,0.089147,1.0,0.0,1e-06,0.899126,0.976718,1e-06,2.23,4,0.73346
0.561502,0.047542,0.318613,0.489268,3.5e-05,3.5e-05,0.767693,0.089005,1.000052,0.0,0.0,0.894939,0.97611,0.0,2.23,5,0.735547
0.562159,0.046785,0.318699,0.490253,1e-06,1e-06,0.766633,0.08927,1.000078,0.0,0.0,0.900465,0.977238,0.0,2.23,6,0.735105
0.565289,0.048558,0.30593,0.492301,7e-06,3e-06,0.765158,0.089409,1.000029,0.0,0.0,0.907945,0.977814,0.0,2.23,7,0.7327
