T,mean_C_a
0.450000,0.05924418
0.500000,0.07474460
0.550000,0.09090748
0.600000,0.07124221
0.650000,0.09610406
0.700000,0.27200864
0.750000,0.34618203
0.800000,0.52978490
0.850000,0.71669058
0.900000,0.96410729
0.950000,1.67445603
1.000000,2.36485027
1.050000,2.30203916
1.100000,2.66889104
1.150000,2.68332408
1.200000,2.67122779
1.250000,2.69454087
1.300000,2.61827109
1.350000,2.60181215
1.400000,2.59991058
1.450000,2.62546678
1.500000,2.54019162
1.550000,2.51195784
1.600000,2.46980172
1.650000,2.41295685
1.700000,2.39245009
1.750000,2.33949261
1.800000,2.30383241
1.850000,2.31046752
# t_peak,1.2367053678927336
# t_hat,0.9140468351017986
# t_exact,0.9102392266268373
