eta,seed,C_a,mean_H,std_H,op_up,op_down,mi1,decay,tc_mean,gzip_ratio
0.0,0,0.277942,0.23525,0.011839,0.0,0.164804,0.57184,0.561921,0.971883,0.054964
0.0,1,1.008173,0.442228,0.007905,0.0,0.343644,0.328008,0.327808,0.92159,0.094564
0.0,2,0.509196,0.315569,0.007193,0.0,0.217097,0.396659,0.396399,0.953101,0.064421
0.0,3,0.57396,0.355379,0.018296,0.0,0.230692,0.411021,0.395007,0.951188,0.066007
0.0,4,0.463996,0.275832,0.031917,0.0,0.188729,0.426512,0.41529,0.960107,0.059155
0.0,5,0.875427,0.41436,0.00781,0.0,0.30972,0.294946,0.267976,0.927995,0.083765
0.5,0,1.389838,0.474532,0.031406,0.0,0.393244,0.157368,0.153077,0.886523,0.106079
0.5,1,2.384157,0.529603,0.026174,0.328804,0.462669,0.142806,0.140039,0.859806,0.120793
0.5,2,2.391061,0.549274,0.021349,0.302777,0.49226,0.119642,0.119162,0.840853,0.128499
0.5,3,1.42894,0.496512,0.023165,0.0,0.423102,0.15656,0.154379,0.876839,0.113094
0.5,4,2.22058,0.519736,0.019045,0.203024,0.434272,0.2372,0.216978,0.877002,0.112598
0.5,5,1.955415,0.517124,0.013481,0.083269,0.44807,0.150964,0.145494,0.865291,0.119002
1.0,0,1.855452,0.577119,0.018512,0.056174,0.532618,0.087421,0.087173,0.820654,0.138436
1.0,1,2.037038,0.567744,0.016591,0.083267,0.520196,0.104355,0.098727,0.830949,0.134896
1.0,2,2.287448,0.558116,0.021888,0.274405,0.507975,0.090267,0.089554,0.833146,0.132422
1.0,3,2.166126,0.567733,0.020908,0.127987,0.521069,0.087621,0.086648,0.82675,0.134578
1.0,4,2.288499,0.558009,0.025147,0.302672,0.513496,0.085513,0.077265,0.830233,0.133659
1.0,5,2.071168,0.556623,0.020022,0.274311,0.508258,0.060288,0.060152,0.832048,0.133097
1.5,0,1.341887,0.589264,0.021324,0.0,0.559064,0.074044,0.0714,0.803271,0.144092
1.5,1,2.348981,0.558352,0.030589,0.289375,0.513056,0.084605,0.079302,0.831478,0.133333
1.5,2,1.635443,0.577085,0.016917,0.070184,0.537351,0.043051,0.042987,0.816797,0.139274
1.5,3,2.008889,0.585197,0.019732,0.070087,0.551638,0.08941,0.088559,0.808203,0.141951
1.5,4,1.757236,0.59004,0.020994,0.056119,0.556592,0.063509,0.063489,0.806559,0.143774
1.5,5,1.88961,0.577314,0.019263,0.095361,0.539721,0.059704,0.056812,0.816903,0.13995
2.0,0,1.103537,0.612005,0.014602,0.0,0.5921,0.041005,0.041001,0.785824,0.151416
2.0,1,1.04401,0.609593,0.014388,0.0,0.589111,0.031128,0.031022,0.785335,0.151001
2.0,2,1.112228,0.608996,0.015434,0.0,0.587181,0.045114,0.039565,0.787882,0.150049
2.0,3,1.125573,0.608685,0.015531,0.0,0.588523,0.044665,0.042592,0.786784,0.151432
2.0,4,1.097593,0.606598,0.015633,0.0,0.584351,0.040203,0.040151,0.790072,0.14939
2.0,5,1.117607,0.618426,0.013334,0.0,0.599289,0.045252,0.041505,0.778784,0.152856
2.5,0,1.095316,0.628667,0.014184,0.0,0.618308,0.037278,0.035852,0.767757,0.158073
2.5,1,0.97676,0.634058,0.012945,0.0,0.624844,0.007711,0.007658,0.762492,0.158358
2.5,2,1.030028,0.630537,0.011554,0.0,0.620202,0.030269,0.023968,0.765226,0.158724
2.5,3,1.00454,0.630532,0.013373,0.0,0.620473,0.019501,0.018009,0.766813,0.157861
2.5,4,1.022586,0.634432,0.011085,0.0,0.623347,0.026421,0.026246,0.76521,0.15765
2.5,5,0.992878,0.629002,0.01075,0.0,0.618248,0.020306,0.019317,0.766203,0.157186
3.0,0,1.00282,0.649217,0.012266,0.0,0.644517,0.016976,0.016063,0.755208,0.163436
3.0,1,0.999,0.648369,0.011226,0.0,0.643532,0.017921,0.017908,0.754663,0.161662
3.0,2,0.972747,0.649665,0.010748,0.0,0.645636,0.007893,0.005894,0.755754,0.163493
3.0,3,1.011446,0.645181,0.010008,0.0,0.639965,0.023228,0.022731,0.759017,0.162638
3.0,4,1.044961,0.647364,0.011207,0.0,0.642634,0.028826,0.028443,0.756478,0.162687
3.0,5,0.967341,0.649402,0.009699,0.0,0.645056,0.010323,0.004905,0.754045,0.163094
3.14159,0,1.049927,0.65059,0.009854,0.0,0.646206,0.031163,0.03115,0.758464,0.163208
3.14159,1,1.06124,0.65199,0.011395,0.0,0.647411,0.031502,0.030969,0.756991,0.164062
3.14159,2,0.988884,0.651471,0.009109,0.0,0.647274,0.018219,0.018177,0.757975,0.162972
3.14159,3,0.994768,0.650743,0.009772,0.0,0.647476,0.018587,0.01818,0.753215,0.163037
3.14159,4,0.97241,0.650951,0.010677,0.0,0.647607,0.00847,0.005884,0.756852,0.163607
3.14159,5,1.058044,0.651236,0.009584,0.0,0.647782,0.032809,0.032788,0.753817,0.162874
