model,L,param,seed,C_a,mean_H,op_up,op_down,mi1,tc_mean,gzip_ratio
Potts q=4,32,0.65,0,0.004348,0.02805,0.0,0.028489,0.000326,0.98385,0.034351
Potts q=4,32,0.65,1,0.007037,0.999147,0.330669,0.590795,0.820808,0.962415,0.10387
Potts q=4,32,0.65,2,0.403557,0.377545,0.0,0.239228,0.581948,0.976917,0.064636
Potts q=4,32,0.65,3,0.075572,0.069424,0.0,0.068824,0.367948,0.983142,0.044519
Potts q=4,32,0.65,4,0.038266,0.06071,0.0,0.059854,0.050757,0.978613,0.041211
Potts q=4,32,0.65,5,0.416978,0.589579,0.032297,0.332262,0.842456,0.973413,0.073181
Potts q=4,32,0.75,0,0.178927,0.143696,0.0,0.137232,0.031192,0.96665,0.060156
Potts q=4,32,0.75,1,0.553049,0.725569,0.0,0.444225,0.782487,0.96311,0.089905
Potts q=4,32,0.75,2,0.029734,0.063584,0.0,0.062894,0.000725,0.978137,0.041394
Potts q=4,32,0.75,3,0.521716,0.363598,0.0,0.260488,0.33846,0.965576,0.073621
Potts q=4,32,0.75,4,0.11236,0.096156,0.0,0.095084,0.064573,0.972864,0.04967
Potts q=4,32,0.75,5,0.297462,0.164896,0.0,0.162108,0.676228,0.97522,0.06792
Potts q=4,32,0.85,0,1.119461,0.351471,0.0,0.30935,0.315292,0.943738,0.0953
Potts q=4,32,0.85,1,0.697078,0.212027,0.0,0.203827,0.23528,0.951855,0.076196
Potts q=4,32,0.85,2,0.359157,0.141689,0.0,0.13918,0.183825,0.96449,0.062415
Potts q=4,32,0.85,3,1.089088,0.94046,0.329372,0.691223,0.614929,0.925159,0.140649
Potts q=4,32,0.85,4,1.407837,0.478086,0.142288,0.426381,0.646789,0.949609,0.116602
Potts q=4,32,0.85,5,1.17702,0.410243,0.0,0.366367,0.29086,0.931958,0.105518
Potts q=4,32,0.95,0,3.124149,0.747367,0.16859,0.678695,0.453904,0.872034,0.160986
Potts q=4,32,0.95,1,2.661317,0.705617,0.076529,0.637811,0.272707,0.882593,0.153979
Potts q=4,32,0.95,2,2.695839,0.856399,0.275073,0.742036,0.446316,0.877148,0.166064
Potts q=4,32,0.95,3,2.61321,0.864181,0.230752,0.744678,0.388858,0.878931,0.165356
Potts q=4,32,0.95,4,2.792817,0.796101,0.332133,0.69291,0.38808,0.879382,0.159741
Potts q=4,32,0.95,5,2.748147,0.896163,0.500944,0.782908,0.326683,0.869849,0.171362
Potts q=4,32,1.05,0,2.938732,0.804479,0.332603,0.743596,0.272133,0.841309,0.172607
Potts q=4,32,1.05,1,1.593562,0.893463,0.0,0.813201,0.342616,0.840869,0.182214
Potts q=4,32,1.05,2,3.418339,0.757644,0.261716,0.707459,0.260463,0.845874,0.168652
Potts q=4,32,1.05,3,2.414154,0.869604,0.076646,0.796978,0.32795,0.841064,0.181787
Potts q=4,32,1.05,4,2.379129,0.74654,0.03223,0.697052,0.284851,0.846277,0.166589
Potts q=4,32,1.05,5,3.048721,0.779024,0.255904,0.726844,0.296803,0.843774,0.172583
Potts q=4,32,1.15,0,2.977841,0.761476,0.142366,0.725675,0.241903,0.821033,0.173352
Potts q=4,32,1.15,1,2.850486,0.854042,0.141745,0.804119,0.245824,0.811462,0.184998
Potts q=4,32,1.15,2,3.157163,0.815125,0.313674,0.774756,0.262343,0.814734,0.182776
Potts q=4,32,1.15,3,3.176412,0.829805,0.30161,0.783443,0.24632,0.817896,0.181104
Potts q=4,32,1.15,4,3.215646,0.7937,0.316978,0.75479,0.217789,0.816968,0.17804
Potts q=4,32,1.15,5,3.292641,0.807928,0.324084,0.761428,0.250817,0.820312,0.178687
Potts q=4,32,1.3,0,3.318485,0.790889,0.329298,0.762141,0.183455,0.798145,0.180945
Potts q=4,32,1.3,1,3.025498,0.817042,0.331101,0.787089,0.191582,0.789087,0.1849
Potts q=4,32,1.3,2,3.003524,0.797567,0.320322,0.769362,0.159517,0.793311,0.182556
Potts q=4,32,1.3,3,3.165548,0.78686,0.282122,0.763202,0.209899,0.791797,0.181116
Potts q=4,32,1.3,4,3.021016,0.814374,0.329954,0.784371,0.173209,0.792029,0.183899
Potts q=4,32,1.3,5,3.077847,0.798884,0.310669,0.770565,0.22178,0.791138,0.182544
Potts q=4,32,1.55,0,3.12056,0.795572,0.313951,0.778873,0.173588,0.765063,0.185059
Potts q=4,32,1.55,1,3.012629,0.810425,0.331926,0.793959,0.161953,0.760205,0.186853
Potts q=4,32,1.55,2,3.137318,0.81997,0.30968,0.803575,0.149274,0.759802,0.189258
Potts q=4,32,1.55,3,2.644715,0.819241,0.325079,0.800596,0.093907,0.759021,0.188354
Potts q=4,32,1.55,4,2.950066,0.809237,0.331597,0.792487,0.127514,0.759216,0.186584
Potts q=4,32,1.55,5,2.695933,0.819778,0.322799,0.802718,0.103406,0.755615,0.188123
Potts q=4,32,1.9,0,2.672731,0.816567,0.322704,0.806031,0.092475,0.731702,0.1901
Potts q=4,32,1.9,1,2.537181,0.806224,0.33232,0.798195,0.069434,0.726721,0.189209
Potts q=4,32,1.9,2,2.374788,0.814011,0.314335,0.804122,0.066781,0.73241,0.189526
Potts q=4,32,1.9,3,2.605287,0.8128,0.328616,0.802177,0.080179,0.731384,0.189197
