experiment,param,seed,C_a,mean_H,std_H,op_up,op_down,mi1,decay,tc_mean,gzip_ratio
Voter Model,0.0,0,1.021076,0.748604,0.040955,0.0,0.707403,0.000658,0.0,0.631021,0.12197
Voter Model,0.0,1,0.601103,0.914359,0.012254,0.0,0.832091,0.033704,0.0,0.637759,0.131624
Voter Model,0.0,2,0.844043,0.947613,0.013197,0.329062,0.876579,0.028119,0.0,0.46281,0.139441
Voter Model,0.0,3,0.078367,0.986871,0.009925,0.0,0.926532,0.001807,0.0,0.528611,0.150168
Voter Model,0.0,4,1.01147,0.937575,0.022332,0.246254,0.892416,0.007641,0.0,0.553184,0.150862
Voter Model,0.0,5,0.015498,0.997161,0.001911,0.0,0.931139,0.000312,0.0,0.529636,0.149526
Voter Model,0.03,0,0.02567,0.997633,0.002126,0.233153,0.984299,9e-06,0.0,0.494917,0.175535
Voter Model,0.03,1,0.008237,0.999183,0.000736,0.156234,0.984844,0.002909,0.0,0.49553,0.175386
Voter Model,0.03,2,0.048512,0.995616,0.004658,0.283975,0.984903,0.000467,0.0,0.491428,0.176138
Voter Model,0.03,3,0.035104,0.996766,0.003249,0.233082,0.98501,0.001337,0.0,0.495012,0.176262
Voter Model,0.03,4,0.021416,0.998045,0.001845,0.288785,0.984246,1.4e-05,0.0,0.488674,0.17574
Voter Model,0.03,5,0.013628,0.99874,0.001339,0.284571,0.985305,0.002986,0.0,0.490264,0.175671
Voter Model,0.07,0,0.017015,0.998335,0.001864,0.274887,0.992218,4e-06,0.0,0.498372,0.178718
Voter Model,0.07,1,0.006899,0.999322,0.001015,0.33139,0.992823,0.000885,0.0,0.497876,0.178994
Voter Model,0.07,2,0.005213,0.99946,0.000743,0.185736,0.993561,0.000831,0.0,0.48877,0.179172
Voter Model,0.07,3,0.003675,0.999634,0.000413,0.284992,0.993252,0.000638,0.0,0.498528,0.179077
Voter Model,0.07,4,0.005982,0.999408,0.000583,0.332075,0.993226,0.0001,0.0,0.494734,0.179216
Voter Model,0.07,5,0.011316,0.998888,0.001203,0.304429,0.992723,2.9e-05,0.0,0.497883,0.179072
Voter Model,0.15,0,0.004863,0.999501,0.00062,0.332626,0.997261,0.000185,0.0,0.494482,0.180662
Voter Model,0.15,1,0.004334,0.999554,0.000545,0.304699,0.997235,0.000112,5.8e-05,0.494646,0.180928
Voter Model,0.15,2,0.003388,0.999651,0.000415,0.311132,0.997422,0.000377,0.0,0.492085,0.180811
Voter Model,0.15,3,0.005192,0.999468,0.000686,0.332152,0.997121,2.8e-05,0.0,0.494465,0.180349
Voter Model,0.15,4,0.005282,0.999458,0.000582,0.332582,0.997303,1.1e-05,0.0,0.49605,0.180574
Voter Model,0.15,5,0.002932,0.999698,0.000396,0.332766,0.997385,0.000484,0.0,0.497051,0.180718
Voter Model,0.25,0,0.002961,0.999691,0.000498,0.332771,0.999035,9e-06,0.0,0.493987,0.18176
Voter Model,0.25,1,0.002889,0.999698,0.000477,0.331625,0.99902,0.000859,0.000623,0.49584,0.181438
Voter Model,0.25,2,0.004258,0.999556,0.000601,0.329572,0.998826,8.5e-05,5e-05,0.49615,0.181177
Voter Model,0.25,3,0.003523,0.999633,0.000582,0.331575,0.998863,8e-06,7e-06,0.496255,0.181252
Voter Model,0.25,4,0.002184,0.999772,0.000288,0.323518,0.99905,0.00026,0.0,0.493196,0.181389
Voter Model,0.25,5,0.002347,0.999754,0.000321,0.301348,0.999053,0.000262,0.000108,0.49625,0.181455
Voter Model,0.4,0,0.002716,0.999715,0.000448,0.326994,0.999627,1.5e-05,0.0,0.494946,0.181663
Voter Model,0.4,1,0.002264,0.999762,0.000271,0.333075,0.999621,0.000291,0.00029,0.495747,0.181665
Voter Model,0.4,2,0.002083,0.999781,0.000304,0.332801,0.999642,1e-05,0.0,0.494106,0.181418
Voter Model,0.4,3,0.001857,0.999804,0.000338,0.311256,0.999699,0.000132,0.0,0.496646,0.181519
Voter Model,0.4,4,0.003564,0.999626,0.000479,0.316681,0.999476,8e-06,0.0,0.496462,0.181821
Voter Model,0.4,5,0.002473,0.99974,0.000419,0.332783,0.999609,9.5e-05,1.3e-05,0.493765,0.181379
Potts Model (q=4),0.4,0,0.056923,0.250745,0.041978,0.0,0.132718,0.837299,0.17468,0.987295,0.021367
Potts Model (q=4),0.4,1,0.063607,0.655153,0.03299,0.0,0.315562,0.958197,0.149375,0.986077,0.02928
Potts Model (q=4),0.4,2,0.04859,0.442153,0.007485,0.0,0.227255,0.949902,0.091789,0.986392,0.026787
Potts Model (q=4),0.4,3,0.015905,0.199594,0.019288,0.0,0.095301,0.970407,0.012472,0.988398,0.016646
Potts Model (q=4),0.4,4,0.001659,0.998904,0.001617,0.226632,0.492992,0.94371,0.11065,0.982976,0.039099
Potts Model (q=4),0.4,5,0.034042,0.977294,0.011073,0.047108,0.466135,0.905692,0.162141,0.982405,0.040862
Potts Model (q=4),0.65,0,0.242293,0.758143,0.013413,0.0,0.41339,0.869122,0.155978,0.972834,0.052297
Potts Model (q=4),0.65,1,0.23977,0.781385,0.009116,0.0,0.424453,0.8398,0.209449,0.973506,0.051711
Potts Model (q=4),0.65,2,0.011162,0.044277,0.010092,0.0,0.043662,0.083608,0.082568,0.983831,0.018252
Potts Model (q=4),0.65,3,0.012805,0.993559,0.001492,0.0,0.500619,0.863703,0.099144,0.974666,0.052017
Potts Model (q=4),0.65,4,0.148795,0.462696,0.020249,0.0,0.246953,0.763949,0.250594,0.978733,0.033625
