model,seed,epoch,train_acc,C,C_a,wH_a,wOPs_a,wOPt_a,wT_a,wG_a,mean_H,std_H,op_up,op_down,mi1,decay,tc_mean,gzip_ratio
trained,42,0,0.0,0.0,0.097278,0.078784,1.069073,0.996599,0.601615,0.993559,0.992537,0.009614,0.347345,0.992888,0.354702,0.352301,0.930432,0.713242
trained,42,1,0.154,0.0,0.222069,0.161834,1.125515,0.999704,0.648956,0.99495,0.985029,0.014875,0.247112,0.985939,0.491521,0.489519,0.922651,0.701032
trained,42,2,0.299,0.0,0.198466,0.140449,1.116925,0.999725,0.67109,0.994804,0.98695,0.013758,0.307673,0.987823,0.536251,0.536193,0.918728,0.702467
trained,42,3,0.4055,0.0,0.157384,0.105387,1.096707,0.999478,0.716461,0.99438,0.990148,0.012211,0.347153,0.990104,0.453832,0.447954,0.909967,0.706403
trained,42,4,0.5875,0.0,0.15673,0.101136,1.095692,0.999652,0.743599,0.994611,0.990526,0.011808,0.348917,0.990213,0.498455,0.469719,0.904152,0.704297
trained,42,5,0.6385,0.0,0.160847,0.102706,1.094864,0.999663,0.751974,0.994324,0.99039,0.012018,0.360602,0.990336,0.533519,0.488952,0.902252,0.706897
trained,42,6,0.6785,0.0,0.154959,0.099437,1.087124,0.999668,0.750918,0.994479,0.990686,0.01181,0.352524,0.99109,0.540032,0.501186,0.902494,0.705511
trained,42,7,0.713,0.0,0.157757,0.10031,1.086042,0.999596,0.758258,0.994461,0.99062,0.012112,0.353528,0.991203,0.560722,0.512119,0.90079,0.705672
trained,42,8,0.724,0.0,0.15511,0.098196,1.082974,0.999583,0.76288,0.994245,0.990805,0.011845,0.354759,0.991516,0.56347,0.513775,0.899693,0.707592
trained,42,9,0.746,0.0,0.161453,0.101411,1.083775,0.999567,0.768673,0.994162,0.99051,0.011985,0.353898,0.991433,0.566996,0.518697,0.898292,0.708306
trained,42,10,0.7605,0.0,0.158874,0.10068,1.081925,0.999475,0.762612,0.994149,0.990582,0.012049,0.35433,0.99162,0.581432,0.535825,0.899757,0.708418
trained,42,11,0.7755,0.0,0.163557,0.10186,1.082076,0.999556,0.775879,0.994183,0.990471,0.012046,0.355674,0.99161,0.568736,0.518776,0.896507,0.708128
trained,42,12,0.807,0.0,0.157301,0.098502,1.078518,0.99951,0.773021,0.994127,0.990772,0.011757,0.352558,0.991957,0.576378,0.52738,0.897221,0.70861
trained,42,13,0.8005,0.0,0.155209,0.096992,1.076432,0.999495,0.775412,0.994119,0.990899,0.011472,0.352141,0.992166,0.578517,0.530118,0.896624,0.708677
trained,42,14,0.8155,0.0,0.151851,0.095049,1.072746,0.999595,0.775579,0.993999,0.991067,0.011162,0.335834,0.992469,0.559877,0.508161,0.896582,0.709693
trained,42,15,0.8245,0.0,0.15523,0.097288,1.074527,0.999549,0.773761,0.994224,0.990864,0.011319,0.343411,0.992324,0.56973,0.518408,0.897037,0.707776
random,0,-1,-1.0,0.0,0.180364,0.126638,1.168411,0.999739,0.659646,0.995833,0.988113,0.011747,0.262738,0.981925,0.519831,0.516691,0.920781,0.691392
random,1,-1,-1.0,0.0,0.060806,0.047184,1.038177,0.999601,0.636844,0.993029,0.995468,0.006982,0.260584,0.995094,0.47051,0.464353,0.924715,0.717207
random,2,-1,-1.0,0.0,0.123243,0.093702,1.073928,0.999729,0.638417,0.993504,0.991258,0.012458,0.243646,0.991065,0.533054,0.531731,0.92445,0.713664
random,3,-1,-1.0,0.0,0.100709,0.143664,1.138314,0.0,0.619739,0.993683,0.986593,0.013028,0.330539,0.985805,0.0,0.0,0.927542,0.712268
random,4,-1,-1.0,0.0,0.079499,0.058654,1.059959,0.999234,0.661973,0.994314,0.994397,0.007998,0.340914,0.993777,0.437905,0.422724,0.920368,0.706981
random,5,-1,-1.0,0.0,0.163105,0.128896,1.020285,0.996656,0.631825,0.992977,0.987991,0.013112,0.145481,0.987572,0.354696,0.353985,0.925555,0.717584
random,6,-1,-1.0,0.0,0.110471,0.072301,1.051132,0.999366,0.749539,0.994147,0.993145,0.009392,0.34436,0.994677,0.442306,0.437333,0.90281,0.70844
random,7,-1,-1.0,0.0,0.103658,0.076657,1.140458,0.998498,0.636296,0.993552,0.992771,0.010386,0.322774,0.98554,0.397445,0.392096,0.924807,0.713295
random,8,-1,-1.0,0.0,0.088727,0.0708,1.051837,0.997767,0.615944,0.992678,0.993259,0.00865,0.34077,0.994592,0.376707,0.372671,0.928156,0.719676
random,9,-1,-1.0,0.0,0.133995,0.107938,1.021497,0.998271,0.618225,0.994185,0.989744,0.009357,0.157268,0.989558,0.388325,0.386797,0.927787,0.708108
random,10,-1,-1.0,0.0,0.065639,0.052975,1.095327,0.999657,0.594374,0.99506,0.994955,0.008481,0.32214,0.990117,0.479928,0.476028,0.93156,0.699933
random,11,-1,-1.0,0.0,0.067557,0.051636,1.05786,0.99608,0.640955,0.993805,0.995053,0.007438,0.29608,0.993671,0.346423,0.346288,0.924021,0.711283
random,12,-1,-1.0,0.0,0.227521,0.169816,1.137545,0.999198,0.630045,0.995221,0.984156,0.013491,0.158642,0.97785,0.431126,0.423538,0.925851,0.698273
random,13,-1,-1.0,0.0,0.205684,0.166087,1.147992,0.998837,0.581282,0.992385,0.984952,0.018755,0.337559,0.984852,0.409061,0.406507,0.93356,0.721646
random,14,-1,-1.0,0.0,0.086677,0.068642,1.054394,0.99954,0.61869,0.9937,0.993491,0.009352,0.355338,0.99439,0.45828,0.457791,0.927712,0.712126
random,15,-1,-1.0,0.0,0.175622,0.136113,1.104473,0.999336,0.61731,0.993503,0.987527,0.016199,0.238167,0.9878,0.437297,0.436996,0.927935,0.713672
random,16,-1,-1.0,0.0,0.300816,0.214194,1.195969,0.999666,0.643267,0.994355,0.980399,0.017858,0.325501,0.979837,0.483687,0.47732,0.923627,0.706618
random,17,-1,-1.0,0.0,0.074915,0.061593,1.064188,0.999024,0.592838,0.99439,0.994161,0.00935,0.337778,0.993338,0.417425,0.416176,0.931797,0.706311
random,18,-1,-1.0,0.0,0.315857,0.234387,1.180172,0.999506,0.621985,0.993999,0.979268,0.024633,0.275767,0.980954,0.454166,0.453284,0.927176,0.709693
random,19,-1,-1.0,0.0,0.133778,0.100654,1.094651,0.999092,0.639688,0.99235,0.990472,0.009944,0.322941,0.99019,0.42178,0.419391,0.924235,0.721878
