model,seed,SI,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15
trained,42,0.712328,2.398418,1.877532,0.947235,0.0,1.836198,0.000733,1.984474,2.280299,1.082598,1.909356,1.550837,1.308073,2.146631,2.243419,1.360708,1.758516
random,0,0.971851,0.000395,2.093249,2.413749,2.279974,0.821813,2.266,1.729558,0.966102,1.562234,1.325081,0.023088,2.821501,0.709082,0.042418,0.0,0.0
random,1,1.046122,0.431126,0.235865,0.0,0.017895,2.406037,2.150133,1e-05,0.694676,1.362428,2.595805,2.348201,2.295866,2.498981,0.261994,1.973577,0.0
random,2,0.92307,1.7e-05,2.222133,0.0,0.531219,1.507307,0.366465,0.021341,0.029007,2.396239,0.701885,2.408602,0.449404,2.479277,0.65352,0.106976,0.805235
random,3,0.958873,1.32133,0.523535,2.587087,0.249316,0.319959,2.276623,0.0,0.633523,0.923282,2.101908,2.11742,2.328207,0.000685,2.249246,1e-06,0.286063
random,4,0.836254,0.000147,1.815883,2.093848,0.488847,1.346294,0.670116,3.7e-05,0.057051,1.9e-05,1.265636,1.290031,2.621481,5e-06,1.027118,1.596319,0.003117
random,5,0.849435,0.0,2.16063,0.490776,0.000379,1.849648,0.0,0.657035,0.373946,0.703121,0.623816,2.346364,0.0,0.535291,0.0,0.017738,2.222263
random,6,0.976816,0.007304,0.0,0.0,0.0,2e-06,0.551022,0.000358,2.258303,2.130585,0.020258,0.15303,1.6611,0.041047,2.336078,0.027122,2.311579
random,7,0.943392,0.0,1.929304,1.660145,2.605093,0.339093,2.505202,0.904219,0.605973,1.987599,1.981095,0.811719,1.847275,0.0,0.0,0.051186,0.0
random,8,1.158252,0.0,0.862482,0.004509,2.817824,0.171044,3e-06,2.332194,2.230625,1.985216,0.002547,2.618717,0.001547,2.505073,2.529588,0.166769,2.241209
random,9,0.944966,0.342758,2.440875,0.3601,2.277629,0.238528,0.001144,2.244481,0.458131,2.169313,2.130365,1.545534,1.713053,0.0,1.933507,2.373564,2.345227
random,10,0.941921,0.70947,2.406955,2.513119,2.200682,0.464963,1.82501,2.185006,0.003329,2.257133,0.78137,0.186013,1.2e-05,0.006838,0.708614,1.981172,0.5568
