model,seed,image_idx,mean_H,std_H,spatial_C
trained,42,0,0.643728,0.296237,1.941282
trained,42,1,0.723607,0.30948,1.93693
trained,42,2,0.501901,0.270676,1.92486
trained,42,3,0.730786,0.322851,1.941405
trained,42,4,0.662797,0.310512,1.94836
trained,42,5,0.53942,0.275986,1.9292
trained,42,6,0.682099,0.312153,1.947094
trained,42,7,0.649809,0.299362,1.942866
trained,42,8,0.735025,0.314396,1.935624
trained,42,9,0.703833,0.319218,1.947076
trained,42,10,0.739315,0.314569,1.933982
trained,42,11,0.721061,0.324948,1.94554
trained,42,12,0.659085,0.314042,1.95059
trained,42,13,0.727468,0.322623,1.942441
trained,42,14,0.550068,0.268587,1.922845
trained,42,15,0.738757,0.305782,1.929405
trained,42,16,0.680318,0.315607,1.949156
trained,42,17,0.672181,0.297894,1.939955
trained,42,18,0.75703,0.317459,1.926528
trained,42,19,0.616663,0.303818,1.947286
trained,42,20,0.671115,0.311903,1.948289
trained,42,21,0.66722,0.304389,1.94445
trained,42,22,0.689383,0.322982,1.951523
trained,42,23,0.697251,0.308412,1.94265
trained,42,24,0.628513,0.303482,1.946602
trained,42,25,0.766551,0.327231,1.924886
trained,42,26,0.608597,0.293579,1.9411
trained,42,27,0.669111,0.307275,1.94593
trained,42,28,0.728934,0.327267,1.944095
trained,42,29,0.538044,0.258688,1.913683
trained,42,30,0.684957,0.306964,1.943816
trained,42,31,0.519813,0.253264,1.908251
trained,42,32,0.7108,0.306131,1.938519
trained,42,33,0.694711,0.320977,1.949679
trained,42,34,0.68945,0.310298,1.945016
trained,42,35,0.751317,0.319341,1.930691
trained,42,36,0.684078,0.304546,1.942538
trained,42,37,0.535943,0.260115,1.91509
trained,42,38,0.675654,0.30949,1.946451
trained,42,39,0.571593,0.280884,1.932769
trained,42,40,0.464826,0.247578,1.902053
trained,42,41,0.631975,0.291629,1.93887
trained,42,42,0.658084,0.314791,1.951069
trained,42,43,0.640104,0.285017,1.933754
trained,42,44,0.631393,0.292077,1.939203
trained,42,45,0.692511,0.312809,1.945885
trained,42,46,0.599121,0.280568,1.932004
trained,42,47,0.670914,0.30644,1.945261
trained,42,48,0.716878,0.320841,1.94477
trained,42,49,0.681051,0.314343,1.948399
trained,42,50,0.653676,0.303891,1.94534
trained,42,51,0.763248,0.31584,1.921757
trained,42,52,0.720339,0.310922,1.938696
trained,42,53,0.708208,0.305414,1.938707
trained,42,54,0.750639,0.320949,1.931834
trained,42,55,0.699178,0.321072,1.948913
trained,42,56,0.698613,0.322935,1.949916
trained,42,57,0.502888,0.264589,1.919422
trained,42,58,0.691312,0.314562,1.94701
trained,42,59,0.609802,0.282924,1.933503
trained,42,60,0.673986,0.296177,1.938652
trained,42,61,0.725211,0.315819,1.93981
trained,42,62,0.621694,0.292885,1.940176
trained,42,63,0.689131,0.302108,1.940341
trained,42,64,0.743743,0.313169,1.931301
trained,42,65,0.570242,0.28827,1.938251
trained,42,66,0.699795,0.319013,1.947783
trained,42,67,0.685754,0.314346,1.94775
trained,42,68,0.723481,0.316498,1.9407
trained,42,69,0.74495,0.310914,1.929533
trained,42,70,0.683984,0.292574,1.935012
trained,42,71,0.758584,0.325216,1.929301
trained,42,72,0.734017,0.311169,1.934293
trained,42,73,0.674085,0.30961,1.946701
trained,42,74,0.547415,0.268488,1.922779
trained,42,75,0.680109,0.308688,1.945451
trained,42,76,0.670392,0.295505,1.938612
trained,42,77,0.689644,0.300511,1.939287
trained,42,78,0.619748,0.298493,1.943909
trained,42,79,0.725004,0.322927,1.943388
trained,42,80,0.62409,0.298481,1.943727
trained,42,81,0.684128,0.312128,1.946801
trained,42,82,0.737984,0.317816,1.936195
trained,42,83,0.62299,0.296388,1.942435
trained,42,84,0.729991,0.323393,1.941942
trained,42,85,0.720644,0.32629,1.946279
trained,42,86,0.660429,0.308343,1.947364
trained,42,87,0.714373,0.315155,1.942572
trained,42,88,0.70444,0.310894,1.942616
trained,42,89,0.564909,0.281912,1.933643
trained,42,90,0.713168,0.311768,1.941084
trained,42,91,0.663218,0.301243,1.942945
trained,42,92,0.63107,0.305719,1.947799
trained,42,93,0.710821,0.320599,1.946193
trained,42,94,0.609717,0.288439,1.937532
trained,42,95,0.736348,0.329609,1.942389
trained,42,96,0.544616,0.262275,1.917108
trained,42,97,0.708485,0.315671,1.944266
trained,42,98,0.694014,0.305385,1.94149
trained,42,99,0.703974,0.316703,1.945781
trained,42,100,0.678782,0.318773,1.950964
trained,42,101,0.728341,0.317831,1.939805
trained,42,102,0.743062,0.313252,1.931655
trained,42,103,0.687612,0.314484,1.947547
trained,42,104,0.688671,0.306721,1.943127
trained,42,105,0.663302,0.307024,1.946357
trained,42,106,0.749657,0.321183,1.932459
trained,42,107,0.555669,0.275307,1.928519
trained,42,108,0.643812,0.299896,1.943597
trained,42,109,0.661549,0.309172,1.947731
trained,42,110,0.701656,0.316328,1.946062
trained,42,111,0.599216,0.287737,1.937328
trained,42,112,0.647065,0.292467,1.938574
trained,42,113,0.656057,0.302736,1.944465
trained,42,114,0.626763,0.288515,1.93695
trained,42,115,0.617933,0.300026,1.944936
trained,42,116,0.589365,0.295151,1.942625
trained,42,117,0.683561,0.314537,1.948161
trained,42,118,0.633402,0.304336,1.946873
trained,42,119,0.718941,0.317307,1.942447
trained,42,120,0.758561,0.318567,1.92615
trained,42,121,0.669657,0.308836,1.946755
trained,42,122,0.573419,0.271363,1.925003
trained,42,123,0.684566,0.312385,1.946878
trained,42,124,0.687667,0.306148,1.94295
trained,42,125,0.643307,0.302725,1.945358
trained,42,126,0.750261,0.31414,1.928616
trained,42,127,0.717443,0.310707,1.939391
trained,42,128,0.734527,0.327838,1.942318
trained,42,129,0.709729,0.306496,1.938982
trained,42,130,0.710288,0.322251,1.947119
trained,42,131,0.732169,0.31777,1.938426
trained,42,132,0.750408,0.313865,1.928395
trained,42,133,0.723258,0.31267,1.93877
trained,42,134,0.705572,0.316296,1.945233
trained,42,135,0.562804,0.276246,1.929211
trained,42,136,0.697712,0.316716,1.947017
trained,42,137,0.58288,0.288049,1.937897
trained,42,138,0.697952,0.316826,1.947029
trained,42,139,0.692766,0.318882,1.948978
trained,42,140,0.62525,0.299788,1.944497
trained,42,141,0.635718,0.296782,1.942094
trained,42,142,0.723806,0.306313,1.935084
trained,42,143,0.511572,0.264519,1.919348
trained,42,144,0.683429,0.307058,1.944084
trained,42,145,0.512174,0.250638,1.905481
trained,42,146,0.714967,0.316782,1.943255
trained,42,147,0.755578,0.326756,1.931804
trained,42,148,0.696493,0.317306,1.94754
trained,42,149,0.67154,0.311715,1.948141
trained,42,150,0.679449,0.310611,1.946603
trained,42,151,0.752347,0.315994,1.928459
trained,42,152,0.687039,0.296815,1.937361
trained,42,153,0.703256,0.301366,1.937367
trained,42,154,0.498616,0.252112,1.907065
trained,42,155,0.731314,0.314413,1.937016
trained,42,156,0.656782,0.296849,1.940747
trained,42,157,0.685906,0.311702,1.946317
trained,42,158,0.699129,0.304923,1.940302
trained,42,159,0.599681,0.293663,1.941405
trained,42,160,0.675138,0.306441,1.944787
trained,42,161,0.715616,0.310163,1.939582
trained,42,162,0.758761,0.310508,1.921851
trained,42,163,0.707219,0.320226,1.946844
trained,42,164,0.66489,0.311385,1.948642
trained,42,165,0.748933,0.308807,1.926431
trained,42,166,0.677405,0.317188,1.950336
trained,42,167,0.669851,0.290867,1.935564
trained,42,168,0.546661,0.266912,1.921378
trained,42,169,0.643924,0.303653,1.945874
trained,42,170,0.624703,0.302654,1.946274
trained,42,171,0.702838,0.316353,1.945836
