input_type,passage_idx,C,C_a,wH_a,wOPs_a,wOPt_a,wT_a,wG_a,mean_H,std_H,op_up,op_down,mi1,decay,tc_mean,gzip_ratio
coherent,0,0.000343,0.006813,0.005217,1.001312,0.331753,0.998271,0.981283,0.99948,0.000633,0.327511,0.999583,0.075262,0.057777,0.647246,0.233105
coherent,1,0.000362,0.005907,0.004298,1.002098,0.402694,0.996972,0.981218,0.999572,0.000676,0.332098,0.999529,0.085944,0.066037,0.675384,0.23293
coherent,2,0.000469,0.005973,0.004186,1.001417,0.461428,0.993819,0.981382,0.999583,0.000574,0.331482,0.999594,0.12374,0.061303,0.711172,0.233372
coherent,3,0.000463,0.00629,0.004049,1.000878,0.58745,0.996746,0.981307,0.999596,0.000521,0.33263,0.999654,0.112498,0.091996,0.678997,0.233171
coherent,4,0.000395,0.006691,0.00517,1.001966,0.321667,0.996566,0.981155,0.999485,0.000682,0.330991,0.999537,0.080592,0.052561,0.681686,0.23276
random,0,0.000126,0.00407,0.004112,0.999746,0.009559,0.999575,0.981252,0.99959,0.000593,0.326901,0.999736,0.017055,0.005665,0.574694,0.233021
random,1,0.000117,0.004424,0.004504,1.000411,0.000805,0.999595,0.981411,0.999551,0.00064,0.331507,0.999695,0.008095,0.000997,0.571979,0.233451
random,2,0.000118,0.00399,0.004004,1.000052,0.015815,0.999597,0.981315,0.999601,0.000502,0.330659,0.999726,0.016914,0.009468,0.57179,0.23319
random,3,0.000137,0.004252,0.004316,0.999441,0.005069,0.999604,0.981252,0.99957,0.000746,0.323408,0.999746,0.011619,0.004385,0.570723,0.233021
random,4,0.000143,0.004443,0.00439,1.000121,0.031526,0.999623,0.981189,0.999563,0.000687,0.331889,0.999726,0.021344,0.015108,0.567969,0.232852
