condition,trial,stride,T_eff,C_a,mi1,decay,tc_mean,gzip_ratio,op_up,op_down,mean_H,wH_a,wOPs_a,wOPt_a,wT_a,wG_a
trained_coherent,0,1,200,0.006813,0.075262,0.057777,0.647246,0.233105,0.327511,0.999583,0.99948,0.005217,1.001312,0.331753,0.998271,0.981283
trained_coherent,0,2,100,0.004697,0.039293,0.029094,0.605352,0.233203,0.328273,0.999639,0.999568,0.004329,1.000793,0.105807,0.999243,0.98132
trained_coherent,0,4,50,0.005297,0.055613,0.055419,0.577682,0.233099,0.32681,0.999641,0.999571,0.004303,1.000688,0.254396,0.999552,0.981281
trained_coherent,0,8,25,0.003409,0.024189,0.015984,0.53625,0.233073,0.329598,0.999688,0.999666,0.003347,1.000379,0.037607,0.999769,0.981271
trained_coherent,0,16,12,0.004444,0.045134,0.025003,0.528045,0.233574,0.331548,0.999556,0.999591,0.004097,1.001806,0.103614,0.999789,0.981456
trained_coherent,1,1,200,0.005907,0.085944,0.066037,0.675384,0.23293,0.332098,0.999529,0.999572,0.004298,1.002098,0.402694,0.996972,0.981218
trained_coherent,1,2,100,0.006217,0.069592,0.058297,0.64388,0.232852,0.33207,0.999493,0.999521,0.004814,1.002461,0.315822,0.998383,0.981189
trained_coherent,1,4,50,0.004522,0.027287,0.026836,0.615,0.233177,0.329569,0.999573,0.999572,0.004305,1.001529,0.069794,0.999086,0.98131
trained_coherent,1,8,25,0.005099,0.017286,0.007325,0.586302,0.233229,0.323354,0.999574,0.99949,0.005129,1.00115,0.012515,0.999474,0.981329
trained_coherent,1,16,12,0.004743,0.000313,0.000313,0.532552,0.232973,0.331572,0.999386,0.999521,0.004818,1.003507,1e-05,0.999779,0.981234
trained_coherent,2,1,200,0.005973,0.12374,0.061303,0.711172,0.233372,0.331482,0.999594,0.999583,0.004186,1.001417,0.461428,0.993819,0.981382
trained_coherent,2,2,100,0.004117,0.077924,0.013216,0.673464,0.233724,0.332952,0.999616,0.999614,0.00387,1.001276,0.085705,0.997086,0.981511
trained_coherent,2,4,50,0.005177,0.085673,0.062006,0.651979,0.233776,0.329582,0.999552,0.999619,0.003817,1.001738,0.382825,0.9981,0.98153
trained_coherent,2,8,25,0.006414,0.087011,0.086797,0.617917,0.233542,0.332606,0.999548,0.999563,0.004381,1.001943,0.491241,0.999032,0.981444
trained_coherent,2,16,12,0.006253,0.070085,0.066409,0.57472,0.231971,0.320013,0.999442,0.999531,0.004711,1.002265,0.351498,0.999575,0.980858
trained_coherent,3,1,200,0.0096,0.180235,0.110321,0.728828,0.232754,0.328772,0.999433,0.999442,0.005602,1.002886,0.759201,0.991214,0.981153
trained_coherent,3,2,100,0.008504,0.125451,0.075967,0.692552,0.232409,0.33196,0.999407,0.999439,0.005624,1.003312,0.544458,0.995736,0.981023
trained_coherent,3,4,50,0.007331,0.076813,0.063476,0.660807,0.233099,0.329435,0.999465,0.999454,0.005485,1.0026,0.362523,0.997735,0.981281
trained_coherent,3,8,25,0.008537,0.071864,0.071241,0.638333,0.233646,0.313777,0.999382,0.999371,0.006314,1.002426,0.377147,0.998551,0.981483
trained_coherent,3,16,12,0.004581,0.009416,0.0,0.589543,0.234575,0.320016,0.999251,0.999536,0.004649,1.004174,0.0,0.999441,0.981821
trained_coherent,4,1,200,0.009417,0.175295,0.086997,0.745768,0.233099,0.331232,0.999323,0.999419,0.005837,1.004117,0.660477,0.987693,0.981281
trained_coherent,4,2,100,0.00885,0.132053,0.063647,0.707917,0.232904,0.331215,0.999301,0.999395,0.00608,1.004332,0.48763,0.994207,0.981208
trained_coherent,4,4,50,0.012962,0.154364,0.11283,0.684583,0.232995,0.332263,0.999182,0.999245,0.007596,1.005577,0.73971,0.996362,0.981242
trained_coherent,4,8,25,0.010997,0.109935,0.099699,0.664427,0.233021,0.329209,0.999065,0.999307,0.006956,1.006584,0.608464,0.997566,0.981252
trained_coherent,4,16,12,0.007933,0.052533,0.047483,0.61228,0.231971,0.331258,0.999145,0.999339,0.006641,1.005897,0.213004,0.999133,0.980858
trained_random,0,1,200,0.00407,0.017055,0.005665,0.574694,0.233021,0.326901,0.999736,0.99959,0.004112,0.999746,0.009559,0.999575,0.981252
trained_random,0,2,100,0.003547,0.008051,0.004687,0.559609,0.233008,0.328364,0.999736,0.999641,0.003603,0.999825,0.003763,0.999673,0.981247
trained_random,0,4,50,0.004383,0.00329,0.0,0.539766,0.233672,0.331448,0.999609,0.999555,0.004461,1.001263,0.0,0.999758,0.981492
trained_random,0,8,25,0.005852,0.033263,0.033229,0.538542,0.23401,0.329463,0.999533,0.999462,0.005397,1.001918,0.102869,0.999762,0.981616
trained_random,0,16,12,0.003358,0.024096,0.0,0.505809,0.235076,0.32009,0.999648,0.999659,0.00342,1.000201,0.0,0.999817,0.982
trained_random,1,1,200,0.004424,0.008095,0.000997,0.571979,0.233451,0.331507,0.999695,0.999551,0.004504,1.000411,0.000805,0.999595,0.981411
trained_random,1,2,100,0.004625,0.00285,0.0,0.560508,0.233242,0.332165,0.999673,0.999531,0.004711,1.000666,0.0,0.999668,0.981334
trained_random,1,4,50,0.005469,0.016404,0.0,0.548828,0.233594,0.318966,0.999602,0.999445,0.00557,1.000591,0.0,0.999725,0.981464
trained_random,1,8,25,0.005934,0.045525,0.026189,0.548333,0.23474,0.31386,0.999562,0.999458,0.005447,1.000627,0.109136,0.999727,0.98188
trained_random,1,16,12,0.004902,0.031636,0.0,0.524239,0.234876,0.206201,0.99953,0.999489,0.005132,0.972858,0.0,0.999797,0.981929
trained_random,2,1,200,0.00399,0.016914,0.009468,0.57179,0.23319,0.330659,0.999726,0.999601,0.004004,1.000052,0.015815,0.999597,0.981315
trained_random,2,2,100,0.0042,0.021359,0.011858,0.561549,0.233268,0.326902,0.999728,0.999584,0.004178,0.999831,0.024833,0.999663,0.981344
trained_random,2,4,50,0.004604,0.001687,0.0,0.552214,0.233125,0.332614,0.999658,0.999533,0.00469,1.000839,0.0,0.99971,0.981291
trained_random,2,8,25,0.004321,0.00543,0.0,0.540625,0.233125,0.332484,0.999496,0.999562,0.004394,1.002446,0.0,0.999755,0.981291
trained_random,2,16,12,0.004672,0.005693,0.0,0.517228,0.234075,0.319892,0.999253,0.999527,0.004741,1.004139,0.0,0.999808,0.981639
trained_random,3,1,200,0.004252,0.011619,0.004385,0.570723,0.233021,0.323408,0.999746,0.99957,0.004316,0.999441,0.005069,0.999604,0.981252
trained_random,3,2,100,0.004627,0.00566,0.0,0.562148,0.232643,0.311094,0.999704,0.99953,0.004722,0.998994,0.0,0.999659,0.981111
