model,seed,C,wH,wOPs,wOPt,wT,wG,C_a,wH_a,wOPs_a,wOPt_a,wT_a,wG_a,mean_H,std_H,op_up,op_down,mi1,decay,tc_mean,gzip_ratio
trained,42,0.0,1.0,0.0,0.0,0.999049,0.464282,0.536305,1.963124,0.999729,0.0,0.752282,0.363246,0.376151,0.336297,0.0,0.45219,0.438111,0.0,0.902181,0.038062
random,0,0.0,1.0,0.0,0.0,0.976535,0.610607,0.729826,1.954739,0.999574,0.0,0.803695,0.464756,0.419851,0.315543,0.0,0.574904,0.513756,0.0,0.889104,0.050336
random,1,0.0,1.0,0.0,0.0,0.975333,0.642881,0.762705,1.953976,0.999377,0.0,0.80468,0.485383,0.389,0.315491,0.0,0.595192,0.507885,0.0,0.888825,0.053
random,2,0.0,1.0,0.0,0.0,0.998906,0.540893,0.60419,1.922049,0.999755,0.0,0.751591,0.418344,0.309851,0.276267,0.0,0.540682,0.56961,0.0,0.90234,0.044568
random,3,0.0,1.0,0.0,0.0,0.986748,0.527184,0.618079,1.904991,0.999703,0.0,0.793818,0.408845,0.368093,0.252124,0.0,0.55383,0.514144,0.0,0.891833,0.043422
random,4,0.0,1.0,0.0,0.0,0.989242,0.567443,0.613283,1.929043,0.999486,0.0,0.728939,0.436366,0.345932,0.280013,0.0,0.585048,0.56487,0.0,0.907354,0.046773
random,5,0.0,1.0,0.0,0.0,0.810833,0.442631,0.77267,1.895982,1.995799,0.0,0.589043,0.346653,0.282142,0.254071,0.331038,0.358712,0.467841,0.0,0.93238,0.036164
random,6,0.0,1.0,0.0,0.0,0.874668,0.434153,0.412001,1.924069,0.999807,0.0,0.629895,0.340012,0.2648,0.294762,0.0,0.51798,0.616768,0.0,0.925876,0.035411
random,7,0.0,1.0,0.0,0.0,0.959552,0.587472,1.429069,1.951916,1.996166,0.0,0.81565,0.449667,0.372272,0.312808,0.318114,0.569493,0.495307,0.0,0.885632,0.048428
random,8,0.0,1.0,0.0,0.0,0.964301,0.510435,0.630845,1.955537,0.999791,0.0,0.812662,0.397043,0.372428,0.319823,0.0,0.52693,0.506794,0.0,0.886518,0.042013
random,9,0.0,1.0,0.0,0.0,0.838082,0.61461,0.780847,1.941249,0.999656,0.0,0.860997,0.467339,0.493606,0.292003,0.0,0.562652,0.398024,0.0,0.870281,0.050666
random,10,0.0,1.0,0.0,0.0,0.995119,0.567717,0.645975,1.89378,0.999698,0.0,0.781597,0.43655,0.343524,0.243394,0.0,0.55488,0.526683,0.0,0.895054,0.046796
random,11,0.0,1.0,0.0,0.0,0.805366,0.670779,0.810194,1.855382,0.999222,0.0,0.869,0.502891,0.47435,0.212884,0.0,0.606756,0.441358,0.0,0.867102,0.055317
random,12,0.0,1.0,0.0,0.0,0.985901,0.481629,0.531091,1.950691,0.999805,0.0,0.723876,0.376184,0.333173,0.315598,0.0,0.518897,0.580167,0.0,0.908426,0.039561
random,13,0.005206,1.0,0.0,0.009105,0.775411,0.737324,0.932934,1.943035,0.999103,0.009105,0.875608,0.543889,0.424389,0.295404,0.0,0.614,0.451279,0.000911,0.864338,0.060966
random,14,0.001126,1.0,0.0,0.00237,0.902583,0.526257,0.500111,1.883784,0.999705,0.00237,0.64903,0.408197,0.302435,0.239181,0.0,0.553397,0.607671,0.000237,0.922638,0.043345
random,15,0.001481,1.0,0.0,0.00766,0.573678,0.337103,0.212825,1.867593,0.999763,0.00766,0.440533,0.256774,0.200759,0.284411,0.0,0.461917,0.740062,0.000775,0.952711,0.026265
random,16,0.0,1.0,0.0,0.0,0.967971,0.616481,0.742649,1.956932,0.999703,0.0,0.810189,0.468544,0.392425,0.321148,0.0,0.553671,0.477127,0.0,0.887242,0.05082
random,17,0.0,1.0,0.0,0.0,0.948013,0.460743,0.477101,1.934922,0.999757,0.0,0.684014,0.360568,0.32547,0.290682,0.0,0.539977,0.626766,0.0,0.916338,0.037754
random,18,0.0,1.0,0.0,0.0,0.925348,0.613662,1.513144,1.95123,1.995291,0.0,0.832725,0.466728,0.41398,0.309232,0.306492,0.565725,0.480222,0.0,0.880304,0.050588
random,19,0.0,1.0,0.0,0.0,0.969449,0.596083,0.704394,1.912423,0.99975,0.0,0.809147,0.455316,0.365631,0.259557,0.0,0.542263,0.483698,0.0,0.887545,0.049139
random,20,0.0,1.0,0.0,0.0,0.87862,0.589655,0.75433,1.969339,0.999539,0.0,0.849503,0.451104,0.46272,0.348157,0.0,0.579168,0.472467,0.0,0.874564,0.048608
random,21,0.016547,1.0,0.0,0.030601,0.916562,0.589955,0.756679,1.945807,0.999753,0.030601,0.836294,0.4513,0.389558,0.30102,0.0,0.541129,0.472349,0.003062,0.879128,0.048633
random,22,0.0,1.0,0.0,0.0,0.967971,0.607522,0.737936,1.969402,0.999408,0.0,0.810189,0.46276,0.427081,0.349317,0.0,0.59257,0.467271,0.0,0.887242,0.050082
random,23,0.020835,1.0,0.0,0.031698,0.987306,0.665728,0.783948,1.91863,0.999127,0.031698,0.79317,0.49974,0.411346,0.264498,0.0,0.61263,0.523409,0.003172,0.892008,0.054896
random,24,0.0,1.0,0.0,0.0,0.904981,0.423888,0.396563,1.838946,0.998605,0.0,0.650734,0.331854,0.250704,0.217854,0.0,0.363571,0.471222,0.0,0.922343,0.034491
random,25,0.0,1.0,0.0,0.0,0.996622,0.659685,0.753456,1.95342,0.999192,0.0,0.778336,0.49596,0.373847,0.315524,0.0,0.608668,0.5433,0.0,0.895886,0.054393
random,26,0.0,1.0,0.0,0.0,0.996657,0.58696,0.688051,1.968102,0.999742,0.0,0.778251,0.44933,0.377055,0.349305,0.0,0.544461,0.498951,0.0,0.895908,0.048386
random,27,0.0,1.0,0.0,0.0,0.978807,0.539406,0.656987,1.964213,0.999675,0.0,0.80175,0.417321,0.390231,0.337708,0.0,0.559228,0.498531,0.0,0.889651,0.044444
random,28,0.000703,1.0,0.0,0.002727,0.656152,0.392918,0.318869,1.828428,1.150037,0.002727,0.493744,0.306402,0.217364,0.226654,0.015137,0.510683,0.75696,0.000277,0.9459,0.031657
random,29,0.0,1.0,0.0,0.0,0.727427,0.359066,0.270418,1.815928,0.999759,0.0,0.537832,0.276946,0.207512,0.225023,0.0,0.460489,0.680497,0.0,0.93989,0.028437
random,30,0.0,1.0,0.0,0.0,0.98665,0.467836,0.785167,1.961194,1.509173,0.0,0.724962,0.365921,0.328039,0.340025,0.056186,0.507074,0.551005,0.0,0.908198,0.038371
random,31,0.0,1.0,0.0,0.0,0.928634,0.460903,0.449605,1.865699,0.999792,0.0,0.66826,0.36069,0.270263,0.231191,0.0,0.526852,0.616505,0.0,0.919241,0.037768
random,32,0.0,1.0,0.0,0.0,0.95767,0.630882,0.760677,1.950632,0.999324,0.0,0.816777,0.477766,0.406556,0.308442,0.0,0.599445,0.501928,0.0,0.885294,0.052009
random,33,0.0,1.0,0.0,0.0,0.846594,0.450482,0.419571,1.945441,0.999751,0.0,0.611579,0.35273,0.293805,0.316967,0.0,0.541857,0.637333,0.0,0.928856,0.036856
