rule,wolfram_class,mean_H,std_H,opacity,t_comp,gzip_ratio,w_entropy,w_opacity,w_tcomp,w_gzip,complexity
0,C1,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
1,C2,0.66499,0.13524,0.18151,0.1245,0.01203,1.0,0.91744,0.0,0.2127,2e-08
2,C2,0.57338,0.0,0.0,0.72315,0.01185,1.32465,0.37531,0.20172,0.21137,0.02119838
3,C2,0.89328,0.07224,0.27126,0.13509,0.02404,0.99995,0.42254,0.0,0.31534,3e-08
4,C2,0.54198,0.0,0.0,0.99333,0.00621,1.32465,0.37531,0.0,0.17218,1.4e-07
5,C2,0.87373,0.07183,0.24992,0.42515,0.0082,0.99999,0.54653,0.1536,0.18539,0.01556296
6,C2,0.80397,0.04114,0.2585,0.6648,0.02024,1.00131,0.49551,0.57018,0.28018,0.07926318
7,C2,0.96386,0.01563,0.31875,0.05563,0.02495,1.80236,0.2024,0.0,0.32418,0.0
8,C1,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
9,C2,0.97362,0.01199,0.10159,0.35637,0.03067,1.73303,0.92888,0.0201,0.38235,0.01237255
10,C2,0.82048,0.0,0.0,0.62249,0.013,1.32465,0.37531,0.86846,0.22011,0.09503265
11,C2,0.98554,0.0,0.31341,0.37084,0.02788,0.81982,0.22233,0.03279,0.35341,0.00211213
12,C2,0.80245,0.0,0.0,0.99333,0.00658,1.32465,0.37531,0.0,0.17455,1.4e-07
13,C2,0.98814,0.0,0.0,0.99333,0.00596,0.70482,0.37531,0.0,0.17053,7e-08
14,C2,0.99653,0.00035,0.19339,0.53167,0.02394,0.23129,0.86715,0.83321,0.3144,0.05253877
15,C2,0.99656,0.0,0.32785,0.4874,0.02359,0.22568,0.17129,0.51173,0.31109,0.00615385
16,C2,0.57338,0.0,0.0,0.72315,0.01154,1.32465,0.37531,0.20172,0.20906,0.0209667
17,C2,0.89328,0.07224,0.27126,0.13509,0.02472,0.99995,0.42254,0.0,0.32193,3e-08
18,C2,0.82515,0.04509,0.29637,0.47468,0.12378,1.00019,0.29446,0.42041,0.89308,0.11058078
19,C2,0.98303,0.0,0.32355,0.0,0.00789,0.91441,0.18552,0.0,0.18328,0.0
20,C2,0.79244,0.03323,0.19648,0.67527,0.0215,1.02955,0.85259,0.49208,0.2916,0.12595419
21,C2,0.97379,0.0141,0.25631,0.0596,0.02529,1.69944,0.50845,0.0,0.32747,0.0
22,C2,0.92797,0.04724,0.34821,0.46453,0.14853,0.99857,0.11445,0.35289,0.62432,0.02517834
23,C2,0.99496,0.0,0.33077,0.0,0.00773,0.32666,0.16207,0.0,0.1822,0.0
24,C2,0.67624,0.0,0.0,0.63838,0.01289,1.32465,0.37531,0.76622,0.21922,0.0835085
25,C2,0.9908,0.00532,0.0,0.3122,0.03179,0.73356,0.37531,0.00369,0.39431,0.00040021
26,C2,0.9635,0.01913,0.29184,0.4016,0.07636,1.58735,0.31575,0.0832,0.89429,0.03729451
27,C2,0.99085,0.00743,0.19265,0.1853,0.02355,0.79128,0.8706,1e-05,0.31067,1.11e-06
28,C2,0.99913,0.0,0.3277,0.86354,0.00745,0.05774,0.17178,0.00187,0.1803,3.35e-06
29,C2,0.99656,0.0,0.32676,0.62249,0.00845,0.22568,0.17484,0.86846,0.18709,0.00641111
30,C3,0.99529,0.00652,0.33264,0.49378,0.16232,0.41393,0.15636,0.55945,0.4599,0.01665267
31,C2,0.94593,0.02387,0.31029,0.06622,0.02504,1.32042,0.2346,0.0,0.32504,0.0
32,C1,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
33,C2,0.92965,0.06083,0.31096,0.19337,0.0078,0.99824,0.23191,1e-05,0.18268,3.6e-07
34,C2,0.80245,0.0,0.0,0.50594,0.01536,1.32465,0.37531,0.65146,0.23864,0.07729175
35,C2,0.94461,0.03522,0.25165,0.2437,0.02322,1.00686,0.53619,0.00015,0.30755,2.415e-05
36,C2,0.32346,0.0,0.0,0.99333,0.00667,1.32465,0.37531,0.0,0.17513,1.4e-07
37,C2,0.9472,0.03328,0.32466,0.23043,0.0086,1.01866,0.18177,7e-05,0.18813,2.49e-06
38,C2,0.85677,0.01313,0.0,0.61983,0.01979,1.99013,0.37531,0.88343,0.27614,0.18221234
39,C2,0.98871,0.00813,0.25669,0.18665,0.02383,0.96639,0.5062,1e-05,0.31338,8.6e-07
40,C1,0.0,0.0,0.0,0.99333,0.002,0.0,0.37531,0.0,0.14649,0.0
41,C2,0.93757,0.0485,0.37082,0.37956,0.10507,0.99615,0.06967,0.04334,0.99488,0.00299273
42,C2,0.94595,0.0,0.0,0.50594,0.01345,1.3128,0.37531,0.65146,0.22353,0.07174871
43,C2,0.99932,0.00017,0.10721,0.46265,0.02228,0.04533,0.94766,0.341,0.29873,0.00437629
44,C2,0.65566,0.0,0.0,0.99333,0.00626,1.32465,0.37531,0.0,0.17247,1.4e-07
45,C3,0.99551,0.0066,0.33909,0.49597,0.16196,0.39641,0.13782,0.57603,0.46398,0.01460106
46,C2,0.95377,0.0,0.0,0.61984,0.01234,1.29889,0.37531,0.88338,0.21504,0.09260361
47,C2,0.99096,8e-05,0.31967,0.37346,0.02803,0.56338,0.19909,0.03569,0.35486,0.0014207
48,C2,0.80245,0.0,0.0,0.50594,0.01492,1.32465,0.37531,0.65146,0.23507,0.07613443
49,C2,0.94815,0.02534,0.25653,0.2437,0.02295,1.23513,0.50716,0.00015,0.30504,2.779e-05
50,C2,0.99959,0.0,0.33154,0.0,0.00778,0.02718,0.15971,0.0,0.1825,0.0
51,C2,0.99656,0.0,0.32785,0.0,0.00871,0.22568,0.17129,0.0,0.18886,0.0
52,C2,0.85391,0.00874,0.0,0.62249,0.02026,1.9201,0.37531,0.86846,0.28034,0.17544544
53,C2,0.98868,0.00886,0.25977,0.1854,0.02373,0.98693,0.48807,1e-05,0.31245,7.8e-07
54,C2,0.9711,0.02817,0.53951,0.2825,0.10076,1.01066,0.00034,0.00099,0.99989,3.4e-07
55,C2,0.96283,0.0,0.31331,0.0,0.00777,1.26178,0.22273,0.0,0.18244,0.0
56,C2,0.94595,0.0,0.0,0.26754,0.01897,1.3128,0.37531,0.00049,0.26896,6.452e-05
57,C2,0.99946,0.0,0.0,0.02272,0.02506,0.03568,0.37531,0.0,0.32522,0.0
58,C2,0.95115,0.00038,0.0,0.25668,0.02215,1.32811,0.37531,0.00028,0.29757,4.21e-05
59,C2,0.95084,0.02401,0.25588,0.2437,0.02308,1.30488,0.51101,0.00015,0.3063,2.97e-05
