rank,rule,wolfram_class,complexity,mean_H,std_H,opacity_up,opacity_down,t_comp,gzip_ratio,w_entropy,w_opacity,w_tcomp,w_gzip
1,124,C4,1.21501143,0.983619,0.013996,0.143477,0.970049,0.578996,0.12104,1.328398,0.999395,0.999921,0.91527
2,137,C4,1.20984215,0.983371,0.013233,0.140338,0.970185,0.577653,0.123716,1.354481,0.999987,0.99957,0.89361
3,193,C4,1.15716851,0.983699,0.013876,0.154565,0.970177,0.579556,0.125093,1.326495,0.989442,0.999985,0.881672
4,110,C4,1.1288161,0.984389,0.012841,0.116386,0.970753,0.579369,0.123982,1.302421,0.972393,0.999969,0.89134
5,73,C2,0.33270174,0.99183,0.00772,0.194887,0.969499,0.663813,0.080453,0.722806,0.860126,0.577641,0.926432
6,210,C2,0.19569842,0.995291,0.003797,0.119717,0.993565,0.502933,0.086676,0.367865,0.876667,0.62876,0.965115
7,154,C2,0.19277088,0.995033,0.003872,0.119925,0.993035,0.506498,0.072364,0.38862,0.88137,0.655684,0.858349
8,109,C2,0.18224614,0.993762,0.006318,0.19232,0.963674,0.686338,0.08384,0.536934,0.865133,0.413368,0.949111
9,180,C2,0.06547405,0.997963,0.001733,0.170779,0.996751,0.497431,0.08008,0.146077,0.82655,0.587061,0.923706
10,166,C2,0.06159522,0.997219,0.002322,0.22892,0.995596,0.493822,0.078302,0.204653,0.590746,0.559784,0.910138
11,82,C2,0.04473924,0.958191,0.018743,0.244219,0.911807,0.405591,0.092658,1.649834,0.295125,0.09288,0.989276
12,241,C2,0.03954978,0.957381,0.0,0.0,0.915761,0.505938,0.013796,1.287829,0.208383,0.651465,0.226221
13,171,C2,0.03848117,0.957381,0.0,0.0,0.915041,0.505938,0.013458,1.287829,0.205132,0.651465,0.223597
14,74,C2,0.03789012,0.91534,0.0,0.0,0.907873,0.659573,0.019156,1.324095,0.173436,0.609765,0.270586
15,112,C2,0.0365441,0.945946,0.0,0.0,0.911499,0.505938,0.013733,1.312805,0.189289,0.651465,0.225736
16,42,C2,0.03516151,0.945946,0.0,0.0,0.910283,0.505938,0.013449,1.312805,0.183927,0.651465,0.223528
17,174,C2,0.02755878,0.954414,0.0,0.0,0.892086,0.61984,0.012436,1.297184,0.111456,0.883378,0.215778
18,229,C2,0.02750715,0.909013,0.0,0.0,0.899933,0.670169,0.020089,1.324356,0.140593,0.529835,0.278829
19,167,C2,0.02747633,0.957557,0.022955,0.244103,0.907268,0.403804,0.073369,1.352189,0.26476,0.088444,0.867757
20,120,C2,0.02690321,0.995101,0.006239,0.295079,0.995935,0.482249,0.158204,0.425515,0.262633,0.47402,0.507859
21,208,C2,0.0266787,0.956145,0.0,0.0,0.891236,0.61984,0.012382,1.292057,0.108528,0.883378,0.215375
22,138,C2,0.02580462,0.956145,0.0,0.0,0.890751,0.622489,0.012356,1.292057,0.106876,0.868455,0.215174
23,244,C2,0.02550788,0.954414,0.0,0.0,0.889873,0.622489,0.012711,1.297184,0.103928,0.868455,0.217867
24,181,C2,0.02498239,0.962461,0.017016,0.298619,0.914739,0.406284,0.091031,1.738183,0.154316,0.094648,0.984041
25,106,C3,0.02487527,0.995103,0.006398,0.316227,0.99579,0.498409,0.156533,0.427943,0.185291,0.594469,0.527713
26,169,C3,0.02166557,0.99537,0.006179,0.314246,0.996262,0.490907,0.156773,0.40203,0.190895,0.537876,0.52485
27,26,C2,0.02034728,0.963504,0.019132,0.291842,0.914959,0.4016,0.076364,1.587355,0.172269,0.083205,0.894288
28,173,C2,0.01729232,0.902458,0.0,0.0,0.894623,0.686062,0.018044,1.324499,0.120472,0.415263,0.260972
29,225,C2,0.01554341,0.995696,0.006363,0.325946,0.996414,0.488729,0.157884,0.377252,0.15438,0.521621,0.511646
30,135,C2,0.0150111,0.995442,0.006372,0.333234,0.996792,0.500409,0.162231,0.398919,0.133918,0.609631,0.460915
31,105,C3,0.01490518,0.994725,0.007849,0.340563,0.996344,0.495076,0.161849,0.483134,0.116475,0.569242,0.465307
32,86,C3,0.01478784,0.99507,0.006684,0.335586,0.996566,0.495253,0.161947,0.435381,0.128241,0.570585,0.464182
33,89,C3,0.01454999,0.995551,0.006396,0.33498,0.9968,0.500871,0.161449,0.390122,0.129444,0.613135,0.46992
34,30,C3,0.01441834,0.995292,0.006519,0.332643,0.996839,0.493778,0.16232,0.41393,0.135384,0.559449,0.459895
35,150,C3,0.01433443,0.994725,0.007849,0.344869,0.996364,0.498258,0.161564,0.483134,0.106717,0.593324,0.468586
36,101,C3,0.01415662,0.995408,0.006348,0.331984,0.996966,0.492649,0.161662,0.401445,0.136924,0.55095,0.467458
37,149,C2,0.0137121,0.995544,0.006546,0.335571,0.996878,0.498116,0.162231,0.392893,0.127852,0.592246,0.460915
38,90,C2,0.01368207,0.995491,0.005907,0.333104,0.996903,0.494613,0.161849,0.38759,0.134095,0.565752,0.465307
39,165,C3,0.01368207,0.995491,0.005907,0.333104,0.996903,0.494613,0.161849,0.38759,0.134095,0.565752,0.465307
40,75,C2,0.01358647,0.995508,0.006439,0.337565,0.996837,0.498507,0.161396,0.394428,0.122992,0.59521,0.470536
41,60,C2,0.01340209,0.995173,0.006699,0.339757,0.996624,0.495911,0.162116,0.426843,0.118018,0.575557,0.462241
42,195,C2,0.01340209,0.995173,0.006699,0.339757,0.996624,0.495911,0.162116,0.426843,0.118018,0.575557,0.462241
43,102,C2,0.01339321,0.995173,0.006699,0.339757,0.996624,0.495911,0.162142,0.426843,0.118018,0.575557,0.461935
44,153,C3,0.01339321,0.995173,0.006699,0.339757,0.996624,0.495911,0.162142,0.426843,0.118018,0.575557,0.461935
45,45,C3,0.01262676,0.995512,0.006595,0.33909,0.996951,0.495973,0.161964,0.396409,0.119181,0.576027,0.463978
46,125,C2,0.01139007,0.973625,0.008647,0.05784,0.93767,0.369236,0.030542,1.66009,0.578934,0.031103,0.38103
47,240,C2,0.01117758,0.996559,0.0,0.0,0.9913,0.505938,0.013227,0.225677,0.342755,0.651465,0.221813
48,170,C2,0.01116724,0.996559,0.0,0.0,0.9913,0.505938,0.0132,0.225677,0.342755,0.651465,0.221607
49,9,C2,0.0085732,0.973622,0.011988,0.101586,0.927172,0.356373,0.030667,1.733031,0.643637,0.020102,0.382349
50,22,C2,0.00854973,0.927969,0.047244,0.348213,0.896512,0.464533,0.148533,0.998573,0.038862,0.352888,0.624317
51,88,C2,0.00739002,0.871809,0.0,0.0,0.862832,0.670169,0.020107,1.324645,0.037742,0.529835,0.278987
52,151,C2,0.00721742,0.925096,0.050357,0.357819,0.893973,0.470009,0.147787,0.998894,0.029355,0.388617,0.633362
53,29,C2,0.00592093,0.996559,0.0,0.326755,0.950058,0.622489,0.008453,0.225677,0.161474,0.868455,0.187091
54,15,C2,0.00562004,0.996559,0.0,0.327851,0.9913,0.487396,0.023591,0.225677,0.156432,0.511725,0.311093
55,71,C2,0.00555472,0.996559,0.0,0.328049,0.947709,0.625138,0.008409,0.225677,0.15451,0.852848,0.186787
56,85,C2,0.00553491,0.996559,0.0,0.327851,0.9913,0.487396,0.023093,0.225677,0.156432,0.511725,0.306381
57,211,C2,0.00466794,0.856668,0.015327,0.066129,0.822395,0.619707,0.020489,1.917139,0.009752,0.88411,0.282408
58,155,C2,0.00454547,0.853706,0.012762,0.132179,0.817406,0.622364,0.019867,1.995474,0.009466,0.869172,0.276853
59,65,C2,0.00290645,0.976072,0.007374,0.003849,0.930753,0.354311,0.027324,1.53692,0.290857,0.018698,0.347724
60,38,C2,0.00264437,0.856775,0.013127,0.0,0.824523,0.619831,0.019787,1.99013,0.005447,0.883427,0.276143
61,97,C2,0.00217404,0.938818,0.043576,0.35884,0.913057,0.381813,0.108818,0.996017,0.04769,0.046487,0.98457
62,52,C2,0.00198755,0.853906,0.008735,0.0,0.820327,0.622489,0.020258,1.920099,0.004252,0.868455,0.280337
63,41,C2,0.00148927,0.937575,0.048498,0.370822,0.910928,0.379564,0.105067,0.996148,0.034671,0.043342,0.994879
64,107,C2,0.00140262,0.936801,0.050694,0.365091,0.909396,0.375644,0.113298,0.996414,0.038088,0.038289,0.965252
65,122,C2,0.00133204,0.990376,0.012939,0.376938,0.84658,0.494169,0.119618,0.891324,0.00287,0.562398,0.925916
66,111,C2,0.00125662,0.974876,0.018449,0.130039,0.906588,0.3232,0.025858,1.4642,0.445227,0.005788,0.333066
67,148,C2,0.00093571,0.860953,0.019869,0.064756,0.799538,0.614338,0.020382,1.616452,0.002255,0.911999,0.281451
68,134,C2,0.00085855,0.869965,0.042246,0.123811,0.800298,0.601102,0.020836,1.000783,0.003111,0.965809,0.285532
69,214,C2,0.00083379,0.863166,0.026091,0.064756,0.801933,0.611644,0.020276,1.211983,0.002652,0.92475,0.280496
70,121,C2,0.00081305,0.938398,0.046837,0.382683,0.90855,0.371262,0.105733,0.995861,0.024724,0.033239,0.993447
71,161,C2,0.00072451,0.990745,0.01306,0.397315,0.84423,0.496933,0.118302,0.860877,0.001543,0.583292,0.935201
72,126,C2,0.00067234,0.990239,0.014126,0.400469,0.843777,0.496267,0.11752,0.88965,0.00139,0.578246,0.940456
73,129,C2,0.00052259,0.990239,0.014126,0.409831,0.843703,0.496267,0.11752,0.88965,0.00108,0.578246,0.940456
74,158,C2,0.00046783,0.854412,0.035507,0.12846,0.792955,0.619636,0.019929,1.01334,0.001882,0.8845,0.277405
75,46,C2,0.00043972,0.953767,0.0,0.0,0.806447,0.61984,0.012338,1.298887,0.001782,0.883378,0.21504
76,209,C2,0.00043251,0.953767,0.0,0.0,0.805418,0.61984,0.013804,1.298887,0.001666,0.883378,0.226291
77,67,C2,0.00041844,0.99101,0.004546,0.003841,0.976751,0.315138,0.029369,0.69453,0.392161,0.004167,0.368708
78,116,C2,0.00041476,0.951228,0.0,0.0,0.805081,0.622489,0.0136,1.304621,0.001629,0.868455,0.224699
79,25,C2,0.00039788,0.990803,0.005325,0.0,0.975398,0.312196,0.031787,0.733556,0.37313,0.003687,0.394312
80,103,C2,0.00034305,0.990707,0.006636,0.003838,0.971459,0.305707,0.032018,0.780351,0.39557,0.002801,0.396803
81,61,C2,0.00034093,0.989821,0.006093,0.00384,0.973957,0.309298,0.024569,0.826311,0.394514,0.003263,0.320469
82,5,C2,0.0003289,0.873733,0.07183,0.249924,0.831132,0.425147,0.008204,0.999993,0.01155,0.1536,0.185392
83,139,C2,0.0003076,0.951228,0.0,0.0,0.801021,0.622489,0.0128,1.304621,0.001242,0.868455,0.218544
84,95,C2,0.00010435,0.865247,0.073657,0.241796,0.819332,0.403956,0.008124,0.999997,0.006356,0.088813,0.184848
85,80,C2,5.116e-05,0.820475,0.0,0.0,0.775672,0.61984,0.013253,1.324652,0.000197,0.883378,0.222018
86,175,C2,5.074e-05,0.820475,0.0,0.0,0.775672,0.61984,0.013013,1.324652,0.000197,0.883378,0.220174
87,131,C2,4.998e-05,0.953669,0.013061,0.269623,0.832211,0.328987,0.028818,1.952889,0.009684,0.007281,0.362989
88,81,C2,4.703e-05,0.989754,3.1e-05,0.319665,0.837415,0.373476,0.028098,0.625767,0.005918,0.035714,0.355587
89,245,C2,4.516e-05,0.820475,0.0,0.0,0.774278,0.622489,0.01328,1.324652,0.000177,0.868455,0.222223
90,10,C2,4.473e-05,0.820475,0.0,0.0,0.774278,0.622489,0.013004,1.324652,0.000177,0.868455,0.220106
91,11,C2,4.465e-05,0.985536,0.0,0.313413,0.831137,0.370844,0.027884,0.819821,0.0047,0.032789,0.353408
92,47,C2,4.237e-05,0.990955,8e-05,0.319665,0.837479,0.373458,0.028027,0.563377,0.005938,0.035693,0.35486
93,117,C2,3.963e-05,0.989299,9e-05,0.31522,0.833375,0.370729,0.028711,0.650767,0.005152,0.032665,0.361888
94,18,C2,1.851e-05,0.825146,0.045085,0.296372,0.76149,0.474684,0.123778,1.000193,4.9e-05,0.420415,0.893082
95,146,C2,1.639e-05,0.823764,0.043559,0.293437,0.758964,0.47664,0.1224,1.000418,4.2e-05,0.434034,0.904519
96,182,C3,1.543e-05,0.822593,0.045436,0.29817,0.758901,0.477884,0.122524,1.000161,3.9e-05,0.442792,0.903508
