mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,fractal_dim,score,w_H,w_OP_s,w_OP_t,w_T,w_G,w_dim,rule,class,rank
0.966764,0.030214,0.359476,0.888241,0.032467,0.032374,0.613625,0.143485,,0.076391,1.000135,0.023626,0.098159,0.915458,0.685101,,18,C3,1
0.986438,0.018681,0.401419,0.781481,0.025614,0.024498,0.594355,0.104515,,0.059435,1.006755,2.7e-05,0.060213,0.98403,0.995931,,17,-,2
0.992374,0.00956,0.264363,0.99252,0.002026,0.002001,0.471785,0.16102,,0.056461,0.711153,0.416973,0.000405,0.400564,0.474882,,10,-,3
0.758773,0.08638,0.16685,0.51273,0.716156,0.032899,0.95282,0.013195,,0.040004,1.0,0.0,0.315446,0.572358,0.221569,,20,-,4
0.043283,0.024125,0.0,0.037978,0.134076,0.104306,0.987995,0.003625,,0.028898,1.282774,0.0,0.679255,0.21254,0.156042,,21,-,5
0.817981,0.096914,0.428441,0.69372,0.017435,0.017154,0.554665,0.10728,,0.027593,1.0,0.0,0.029321,0.951091,0.989456,,2,-,6
0.925272,0.061325,0.438221,0.720427,0.02415,0.02413,0.45783,0.099685,,0.017454,0.998864,0.0,0.056081,0.311594,0.99998,,6,C3,7
0.934615,0.047376,0.374366,0.831544,0.018764,0.018714,0.46553,0.12989,,0.010696,0.997167,0.001387,0.034309,0.359263,0.836371,,9,-,8
0.988541,0.01669,0.412082,0.774183,0.011281,0.010871,0.437215,0.110495,,0.002309,0.953319,1.2e-05,0.012164,0.20336,0.978212,,14,C3,9
0.992619,0.010466,0.352247,0.826776,7.6e-05,6.1e-05,0.49686,0.109755,,0.000696,0.699865,0.001738,0.0,0.582736,0.981148,,19,-,10
0.992619,0.010466,0.361025,0.826682,7.6e-05,6.1e-05,0.49686,0.109755,,0.000572,0.699865,0.001429,0.0,0.582736,0.981148,,12,-,11
0.916421,0.067348,0.493177,0.765501,0.261126,0.099432,0.23407,0.09413,,6.5e-05,0.999531,0.0,0.751052,8.7e-05,0.993132,,5,-,12
0.758773,0.08638,0.382906,0.512935,0.760144,0.024835,0.04218,0.018515,,0.0,1.0,0.0,0.239381,0.0,0.265017,,11,-,13
0.987185,0.0,0.0,0.638389,1.0,0.0,0.995,0.005205,,0.0,0.748952,0.0,0.0,0.164474,0.165759,,24,-,14
0.987185,0.0,0.328164,0.638389,1.0,0.0,0.0,0.03423,,0.0,0.748952,0.0,0.0,0.0,0.420993,,7,-,15
0.806535,0.005014,0.254565,0.549976,0.391991,0.0,0.1423,0.02442,,0.0,1.682993,0.0,0.0,0.0,0.319031,,13,-,16
0.786184,0.061953,0.249299,0.509868,0.652484,0.0,0.0796,0.03336,,0.0,1.0,0.0,0.0,0.0,0.411405,,3,-,17
0.664305,0.062035,0.205512,0.419569,0.702252,0.0,0.06169,0.03174,,0.0,1.0,0.0,0.0,0.0,0.39381,,15,-,18
0.451335,0.0,0.0,0.322897,1.0,0.0,0.995,0.008285,,0.0,1.324652,0.0,0.0,0.164474,0.185941,,25,-,19
0.221002,0.0,0.0,0.154077,1.0,0.0,0.995,0.006815,,0.0,1.324652,0.0,0.0,0.164474,0.176103,,27,-,20
0.302578,0.124119,0.076227,0.203957,0.726563,0.0,0.06368,0.02262,,0.0,1.0,0.0,0.0,0.0,0.301938,,1,C1,21
0.191166,0.0,0.0,0.134764,0.8,0.0,0.995,0.0074,,0.0,1.324652,0.0,0.0,0.164474,0.179972,,8,-,22
0.181331,0.0,0.0,0.126805,0.8,0.0,0.995,0.005705,,0.0,1.324652,0.0,0.0,0.164474,0.168923,,26,C4,23
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.00155,,0.0,0.0,0.0,0.0,0.164474,0.143922,,22,C4,24
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.00155,,0.0,0.0,0.0,0.0,0.164474,0.143922,,23,-,25
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.00155,,0.0,0.0,0.0,0.0,0.164474,0.143922,,28,-,26
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.00155,,0.0,0.0,0.0,0.0,0.164474,0.143922,,29,-,27
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.00155,,0.0,0.0,0.0,0.0,0.164474,0.143922,,30,C3,28
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.00155,,0.0,0.0,0.0,0.0,0.164474,0.143922,,31,C1,29
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001525,,0.0,0.0,0.0,0.0,0.164474,0.143781,,0,C1,30
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001525,,0.0,0.0,0.0,0.0,0.164474,0.143781,,4,-,31
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001525,,0.0,0.0,0.0,0.0,0.164474,0.143781,,16,-,32
