mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,score,w_H,w_OP_s,w_OP_t,w_T,w_G,name,class,rank
0.984223,0.005242,0.0,0.971058,0.002527,0.002515,0.534158,0.157806,0.182546,1.118114,0.375227,0.000635,0.848591,0.512574,34Life,C3,1
0.984303,0.004224,0.0,0.982008,0.006406,0.006124,0.550879,0.159343,0.179914,1.064155,0.364643,0.003913,0.935896,0.494442,Amoeba,C3,2
0.99903,0.00104,0.235329,0.994601,0.18765,0.185757,0.741389,0.15936,0.025634,0.067422,0.56247,0.908812,0.989918,0.494242,Coagulations,C3,3
0.830439,0.034281,0.249591,0.821218,0.078638,0.075756,0.725147,0.145161,0.005291,1.020682,0.006554,0.419831,0.998162,0.665048,2x2,C2,4
0.92137,0.0,0.0,0.916735,1.0,0.0,0.99,0.078376,0.001305,1.323634,0.212793,0.0,0.005086,0.91072,Flakes,C1,5
0.914267,0.0,0.0,0.909538,1.0,0.0,0.99,0.089416,0.00119,1.324152,0.180662,0.0,0.005086,0.977843,Static,C1,6
0.991886,8.9e-05,0.0,0.975896,0.993296,0.0,0.98942,0.157369,0.000514,0.511857,0.372711,0.0,0.005207,0.51776,Maze,C2,7
0.774493,0.021576,0.062474,0.763958,0.006902,0.00689,0.61218,0.138496,0.000156,1.48848,0.000152,0.004741,0.922285,0.743498,Gnarl,C3,8
0.742847,0.014604,0.0,0.741239,0.110735,0.110721,0.572485,0.136304,2e-05,1.948395,1.1e-05,0.644967,0.995598,0.768287,Seeds,C2,9
0.715474,0.134429,0.396757,0.585605,0.367336,0.190226,0.878805,0.090767,0.0,1.0,0.0,0.955192,0.177299,0.983093,Day&Night,C4,10
0.577301,0.08315,0.283841,0.54747,0.211056,0.182432,0.866588,0.10123,0.0,1.0,0.0,0.921796,0.232811,0.999697,HighLife,C4,11
0.562907,0.246143,0.463724,0.533989,0.215703,0.160431,0.858272,0.092299,0.0,1.0,0.0,0.89796,0.276527,0.988208,Morley,C4,12
0.542735,0.085275,0.316835,0.513198,0.257142,0.224344,0.886659,0.095123,0.0,1.0,0.0,0.966383,0.146996,0.995253,Conway,C4,13
0.579546,0.172013,0.405806,0.384182,0.730978,0.035047,0.961067,0.049329,0.0,1.0,0.0,0.333703,0.015433,0.598393,Coral,C2,14
0.278079,0.0,0.0,0.255431,1.0,0.0,0.99,0.01695,0.0,1.324652,0.0,0.0,0.005086,0.251712,AllDead,C1,15
0.11998,0.324908,0.073516,0.11998,0.203544,0.170996,0.929902,0.022182,0.0,0.999988,0.0,0.905217,0.044071,0.297858,Replicator,C2,16
0.048045,0.008453,0.0,0.03484,0.948978,0.066263,0.989829,0.003641,0.0,1.875424,0.0,0.272719,0.005121,0.156139,Anneal,C3,17
