alpha,alpha_s,mean_H,std_H,opacity_up,opacity_down,mi_lag1,mi_decay,gzip,score,w_H,w_OP_s,w_OP_t,w_G
0.1,0.3,0.68735,0.011136,0.0,0.686956,0.768569,0.607574,0.064688,0.0,1.963528,0.0,0.968309,0.77609
0.1,0.3513,0.691358,0.011659,0.0,0.691347,0.763079,0.580729,0.067448,0.0,1.970511,0.0,0.969416,0.803839
0.1,0.4113,0.692487,0.010156,0.0,0.692436,0.753544,0.593067,0.071875,0.0,1.92374,0.0,0.953037,0.842866
0.1,0.4816,0.692795,0.008647,0.0,0.692253,0.726356,0.564117,0.07487,0.0,1.912392,0.0,0.975944,0.866723
0.1,0.564,0.699284,0.009584,0.0,0.699239,0.683916,0.609143,0.082266,0.0,1.94652,0.0,0.989984,0.9037
0.1,0.6604,0.708339,0.006892,0.0,0.708006,0.597327,0.53691,0.094844,1e-06,1.815369,0.0,0.996427,0.952633
0.1,0.7733,0.712299,0.006236,0.0,0.711395,0.541652,0.511095,0.104896,1e-06,1.771124,1e-06,0.998803,0.962968
0.1,0.9055,0.718034,0.004445,0.0,0.716396,0.438481,0.431398,0.11763,1e-06,1.639719,1e-06,0.997838,0.92429
0.1,1.0602,0.718513,0.003687,0.0,0.715842,0.313356,0.312577,0.127682,1e-06,1.582897,1e-06,0.987354,0.856869
0.1,1.2415,0.718882,0.003479,0.0,0.714482,0.196666,0.195993,0.131745,1e-06,1.567255,1e-06,0.917973,0.817462
0.1,1.4537,0.71672,0.004314,0.0,0.71202,0.1079,0.107289,0.133516,1e-06,1.630215,1e-06,0.620709,0.798766
0.1,1.7022,0.714754,0.005574,0.0,0.708695,0.06216,0.06143,0.133385,0.0,1.724021,0.0,0.302343,0.800114
0.1,1.9932,0.709178,0.007943,0.0,0.706049,0.04166,0.041096,0.133359,0.0,1.878614,0.0,0.156774,0.800393
0.1,2.3339,0.706102,0.00881,0.0,0.703151,0.023342,0.022888,0.133099,0.0,1.922512,0.0,0.057704,0.803196
0.1,2.7328,0.706065,0.007864,0.0,0.703244,0.017122,0.016598,0.133255,0.0,1.871454,0.0,0.030398,0.801562
0.1,3.2,0.704596,0.008444,0.0,0.70113,0.016557,0.016401,0.132188,0.0,1.900769,0.0,0.028916,0.81282
0.1298,0.3,0.685844,0.010823,0.0,0.685429,0.768102,0.591981,0.064792,0.0,1.983169,0.0,0.969741,0.777461
0.1298,0.3513,0.690058,0.009947,0.0,0.689985,0.763563,0.550882,0.066693,0.0,1.925965,0.0,0.963714,0.797675
0.1298,0.4113,0.687568,0.010492,0.0,0.687309,0.750334,0.590765,0.070469,0.0,1.932497,0.0,0.962993,0.83179
0.1298,0.4816,0.688405,0.009901,0.0,0.688183,0.730725,0.578143,0.075911,0.0,1.889541,0.0,0.973689,0.874577
0.1298,0.564,0.69979,0.008058,0.0,0.699717,0.682754,0.60276,0.085521,0.0,1.875719,0.0,0.991418,0.927613
0.1298,0.6604,0.706221,0.007988,0.0,0.705849,0.597614,0.546576,0.094349,1e-06,1.860355,0.0,0.996681,0.955609
0.1298,0.7733,0.713459,0.006782,0.0,0.713133,0.510453,0.492407,0.107396,1e-06,1.798913,1e-06,0.999243,0.962404
0.1298,0.9055,0.717034,0.004187,0.0,0.716007,0.423102,0.41938,0.117995,1e-06,1.620722,1e-06,0.998043,0.923181
0.1298,1.0602,0.717874,0.004012,0.0,0.715301,0.299067,0.298308,0.1275,1e-06,1.607728,1e-06,0.982177,0.858172
0.1298,1.2415,0.718348,0.004621,0.0,0.713019,0.190959,0.19015,0.133229,1e-06,1.653256,1e-06,0.903737,0.80178
0.1298,1.4537,0.715218,0.006127,0.0,0.709611,0.102441,0.101994,0.133255,0.0,1.762781,0.0,0.589003,0.80157
0.1298,1.7022,0.712835,0.005866,0.0,0.708434,0.062103,0.062031,0.133802,0.0,1.744717,0.0,0.304745,0.795596
0.1298,1.9932,0.708128,0.009689,0.0,0.703726,0.033382,0.032823,0.13276,0.0,1.952837,0.0,0.105791,0.806786
0.1298,2.3339,0.706749,0.008853,0.0,0.70281,0.01991,0.019445,0.132839,0.0,1.921526,0.0,0.038102,0.805972
0.1298,2.7328,0.703883,0.008907,0.0,0.700743,0.016721,0.016529,0.132604,0.0,1.913059,0.0,0.029005,0.808447
0.1298,3.2,0.706501,0.00742,0.0,0.704099,0.014132,0.013653,0.133698,0.0,1.847389,0.0,0.019178,0.79667
0.1685,0.3,0.688686,0.011393,0.0,0.688572,0.772768,0.610442,0.066042,0.0,1.973242,0.0,0.963651,0.787544
0.1685,0.3513,0.68893,0.010405,0.0,0.688786,0.759094,0.559174,0.069036,0.0,1.98006,0.0,0.963026,0.818785
0.1685,0.4113,0.685744,0.009594,0.0,0.685531,0.75277,0.579265,0.069687,0.0,1.937304,0.0,0.978206,0.825763
0.1685,0.4816,0.689227,0.011004,0.0,0.689031,0.702978,0.56885,0.07724,0.0,1.917826,0.0,0.983502,0.886156
0.1685,0.564,0.696197,0.009244,0.0,0.69569,0.651243,0.57654,0.08526,0.0,1.914456,0.0,0.994681,0.923642
0.1685,0.6604,0.707021,0.00703,0.0,0.706142,0.589798,0.525592,0.095208,1e-06,1.823865,0.0,0.9959,0.964508
0.1685,0.7733,0.713213,0.00546,0.0,0.712854,0.490568,0.477581,0.107422,1e-06,1.715911,1e-06,0.999055,0.959051
0.1685,0.9055,0.717189,0.004788,0.0,0.715634,0.423162,0.412664,0.119609,1e-06,1.665841,1e-06,0.997377,0.913333
0.1685,1.0602,0.718297,0.003851,0.0,0.71571,0.279294,0.277571,0.129427,1e-06,1.596105,1e-06,0.97658,0.840226
0.1685,1.2415,0.717661,0.00485,0.0,0.712454,0.176133,0.176093,0.131641,1e-06,1.670245,1e-06,0.880503,0.818509
0.1685,1.4537,0.715649,0.005841,0.0,0.710232,0.108046,0.106886,0.133411,0.0,1.743318,1e-06,0.623981,0.799902
0.1685,1.7022,0.714523,0.006897,0.0,0.709315,0.054966,0.054557,0.134193,0.0,1.813917,0.0,0.249008,0.791399
0.1685,1.9932,0.708744,0.008337,0.0,0.704123,0.040908,0.040103,0.133594,0.0,1.899295,0.0,0.150171,0.797902
0.1685,2.3339,0.708734,0.008879,0.0,0.705151,0.021017,0.020755,0.13362,0.0,1.925481,0.0,0.042531,0.797634
0.1685,2.7328,0.705953,0.007776,0.0,0.702354,0.01941,0.019166,0.132839,0.0,1.866148,0.0,0.037122,0.805956
0.1685,3.2,0.705557,0.008972,0.0,0.702678,0.014059,0.013945,0.133438,0.0,1.927055,0.0,0.019807,0.799526
0.2187,0.3,0.687474,0.012638,0.0,0.687341,0.770342,0.606206,0.06638,0.0,1.942522,0.0,0.97248,0.794197
0.2187,0.3513,0.68745,0.009746,0.0,0.687128,0.752512,0.560713,0.067656,0.0,1.915275,0.0,0.95351,0.806332
0.2187,0.4113,0.683366,0.011391,0.0,0.683243,0.748303,0.542641,0.071432,0.0,1.979765,0.0,0.977474,0.841313
0.2187,0.4816,0.688275,0.009127,0.0,0.687682,0.708334,0.597704,0.075651,0.0,1.932576,0.0,0.984992,0.873369
0.2187,0.564,0.700116,0.011365,0.0,0.700086,0.65167,0.56978,0.085365,0.0,1.970579,0.0,0.993579,0.930717
0.2187,0.6604,0.704883,0.006986,0.0,0.70471,0.607445,0.528221,0.095885,1e-06,1.82065,0.0,0.995425,0.960636
0.2187,0.7733,0.711236,0.006403,0.0,0.710617,0.484463,0.474292,0.109661,1e-06,1.782351,1e-06,0.999277,0.960537
0.2187,0.9055,0.717772,0.004319,0.0,0.716492,0.398979,0.392545,0.122812,1e-06,1.630648,1e-06,0.99655,0.887161
0.2187,1.0602,0.719251,0.003236,0.0,0.716099,0.27982,0.278985,0.130052,1e-06,1.548976,1e-06,0.982515,0.834261
0.2187,1.2415,0.716659,0.004985,0.0,0.712778,0.158481,0.158437,0.132474,1e-06,1.680458,1e-06,0.834819,0.809747
0.2187,1.4537,0.715014,0.005698,0.0,0.709695,0.088264,0.08814,0.132656,0.0,1.732095,0.0,0.499934,0.807903
0.2187,1.7022,0.712458,0.00626,0.0,0.707451,0.049437,0.049332,0.13349,0.0,1.77182,0.0,0.213739,0.798993
0.2187,1.9932,0.709128,0.007845,0.0,0.705498,0.03048,0.030106,0.132917,0.0,1.869424,0.0,0.088038,0.805151
0.2187,2.3339,0.704628,0.00953,0.0,0.700347,0.014436,0.014277,0.132891,0.0,1.950097,0.0,0.02117,0.805388
0.2187,2.7328,0.703862,0.009609,0.0,0.700621,0.019579,0.019034,0.132344,0.0,1.939654,0.0,0.037518,0.811169
0.2187,3.2,0.705924,0.009481,0.0,0.702714,0.012312,0.011933,0.133594,0.0,1.950127,0.0,0.015085,0.797949
0.2838,0.3,0.689644,0.012465,0.0,0.689715,0.748333,0.601306,0.067995,0.0,1.983969,0.0,0.969164,0.810275
0.2838,0.3513,0.684666,0.010049,0.0,0.684492,0.756659,0.564384,0.068125,0.0,1.932018,0.0,0.95951,0.81032
0.2838,0.4113,0.680477,0.011958,0.0,0.680468,0.719584,0.582061,0.074193,0.0,1.975558,0.0,0.977322,0.860481
0.2838,0.4816,0.686728,0.008408,0.0,0.686344,0.692084,0.589438,0.076719,0.0,1.902243,0.0,0.984704,0.878489
0.2838,0.564,0.696381,0.009957,0.0,0.695862,0.664173,0.560214,0.085208,0.0,1.960738,0.0,0.994287,0.922139
0.2838,0.6604,0.703573,0.007906,0.0,0.703213,0.597682,0.533058,0.098932,0.0,1.876658,0.0,0.99559,0.966244
0.2838,0.7733,0.712033,0.00653,0.0,0.711808,0.478948,0.470898,0.112135,1e-06,1.790627,1e-06,0.99927,0.955732
0.2838,0.9055,0.716767,0.004776,0.0,0.715775,0.410033,0.405029,0.123099,1e-06,1.664953,1e-06,0.997763,0.890275
0.2838,1.0602,0.719566,0.00313,0.0,0.714824,0.292533,0.292433,0.128984,1e-06,1.540928,1e-06,0.987415,0.844665
0.2838,1.2415,0.718093,0.003769,0.0,0.714262,0.149581,0.149037,0.133854,1e-06,1.588996,1e-06,0.809105,0.795124
0.2838,1.4537,0.714577,0.006762,0.0,0.709967,0.084007,0.083881,0.133177,0.0,1.80651,1e-06,0.465598,0.802325
0.2838,1.7022,0.711955,0.008099,0.0,0.707025,0.047157,0.046757,0.13375,0.0,1.885357,0.0,0.192658,0.796189
0.2838,1.9932,0.709561,0.007542,0.0,0.705419,0.033263,0.032154,0.132786,0.0,1.855233,0.0,0.100287,0.806481
0.2838,2.3339,0.706283,0.007557,0.0,0.703535,0.016165,0.016018,0.13388,0.0,1.856843,0.0,0.027057,0.794661
0.2838,2.7328,0.703704,0.009755,0.0,0.700315,0.018129,0.01657,0.133125,0.0,1.960091,0.0,0.0308,0.802848
0.2838,3.2,0.705011,0.009324,0.0,0.702444,0.015038,0.014627,0.133411,0.0,1.932514,0.0,0.022338,0.799858
0.3684,0.3,0.689969,0.010614,0.0,0.689853,0.766854,0.606191,0.066719,0.0,1.970368,0.0,0.968669,0.79759
0.3684,0.3513,0.678337,0.011395,0.0,0.678247,0.751915,0.565256,0.06987,0.0,1.988077,0.0,0.961999,0.827727
0.3684,0.4113,0.684595,0.010639,0.0,0.684185,0.724376,0.564105,0.074479,0.0,1.914204,0.0,0.977309,0.861611
0.3684,0.4816,0.688564,0.00995,0.0,0.687722,0.690373,0.602083,0.078984,0.0,1.960971,0.0,0.987868,0.899134
0.3684,0.564,0.698933,0.010989,0.0,0.698214,0.655289,0.564843,0.08474,0.0,1.982229,0.0,0.994396,0.926818
0.3684,0.6604,0.704894,0.006699,0.0,0.704521,0.568454,0.523777,0.100156,1e-06,1.80165,0.0,0.998056,0.975001
0.3684,0.7733,0.713097,0.006293,0.0,0.712979,0.493236,0.471612,0.11125,1e-06,1.772927,1e-06,0.999039,0.951706
0.3684,0.9055,0.717671,0.003876,0.0,0.716261,0.379802,0.37755,0.122708,1e-06,1.59718,1e-06,0.996205,0.898196
0.3684,1.0602,0.718827,0.003647,0.0,0.715453,0.266409,0.266034,0.130026,1e-06,1.580205,1e-06,0.968066,0.834253
0.3684,1.2415,0.717932,0.004134,0.0,0.713983,0.152667,0.152116,0.133151,1e-06,1.6166,1e-06,0.823727,0.802602
0.3684,1.4537,0.714426,0.00614,0.0,0.709795,0.076242,0.075627,0.133776,0.0,1.763012,0.0,0.409389,0.795988
0.3684,1.7022,0.711949,0.008315,0.0,0.707628,0.037055,0.036786,0.133438,0.0,1.896163,0.0,0.128141,0.799503
0.3684,1.9932,0.707728,0.008207,0.0,0.704225,0.024247,0.023216,0.133958,0.0,1.889522,0.0,0.056136,0.794005
0.3684,2.3339,0.70405,0.008762,0.0,0.701013,0.014491,0.014294,0.132708,0.0,1.920943,0.0,0.021341,0.807316
0.3684,2.7328,0.704317,0.008804,0.0,0.701371,0.022313,0.02228,0.132656,0.0,1.917658,0.0,0.049007,0.807778
0.3684,3.2,0.705331,0.009522,0.0,0.702517,0.01497,0.0141,0.133151,0.0,1.95301,0.0,0.022239,0.802585
0.4782,0.3,0.686532,0.009068,0.0,0.686291,0.754325,0.608593,0.069167,0.0,1.918774,0.0,0.974885,0.820728
0.4782,0.3513,0.677659,0.010792,0.0,0.677461,0.737445,0.532897,0.071016,0.0,1.936152,0.0,0.974196,0.835757
0.4782,0.4113,0.680989,0.010322,0.0,0.680902,0.72595,0.552975,0.07526,0.0,1.966896,0.0,0.980586,0.868933
0.4782,0.4816,0.689643,0.008229,0.0,0.689245,0.700847,0.593266,0.079792,0.0,1.887657,0.0,0.987728,0.905191
0.4782,0.564,0.693896,0.008997,0.0,0.693349,0.64403,0.532381,0.087135,0.0,1.917563,0.0,0.994351,0.93263
0.4782,0.6604,0.702682,0.008339,0.0,0.702354,0.547,0.489655,0.103724,0.0,1.89955,0.0,0.996775,0.96426
0.4782,0.7733,0.711815,0.006632,0.0,0.711595,0.479303,0.465702,0.113203,1e-06,1.797471,1e-06,0.998851,0.949988
0.4782,0.9055,0.71719,0.004487,0.0,0.715764,0.382427,0.379309,0.12362,1e-06,1.6429,1e-06,0.996942,0.891031
0.4782,1.0602,0.718247,0.003851,0.0,0.715096,0.249906,0.247564,0.131589,1e-06,1.59529,1e-06,0.968556,0.818784
0.4782,1.2415,0.716344,0.005049,0.0,0.712409,0.129589,0.128555,0.133646,1e-06,1.685509,1e-06,0.730831,0.7973
