mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,gzip_byte,fractal_dim,score,score_geom,w_H,w_OP_s,w_OP_t,w_geom,w_T,w_G,w_dim,K,seed,hamming
0.996932,0.00047,0.0,0.99622,1.0,0.0,0.990025,0.0166,0.009825,,0.002192,0.0,0.206074,0.327099,0.0,0.0,0.197721,0.164492,,1.0,0,0.005
0.999098,0.000253,0.0,0.995847,1.0,0.0,0.990025,0.0164,0.009675,,0.000637,0.0,0.060396,0.32837,0.0,0.0,0.197721,0.162545,,1.0,1,0.005
0.995274,0.001501,0.0,0.990905,0.8057,0.0,0.978425,0.0234,0.019225,,0.007624,0.0,0.330044,0.3439,0.0,0.0,0.292264,0.229821,,1.0,2,0.016658
0.995378,0.0,0.0,0.990106,1.0,0.0,0.995,0.015,0.0058,,0.002549,0.0,0.300764,0.346162,0.0,0.0,0.164474,0.148885,,1.0,3,0.0
0.999711,0.0,0.0,0.984886,1.0,0.0,0.995,0.0152,0.005875,,0.00017,0.0,0.019111,0.359041,0.0,0.0,0.164474,0.15084,,1.0,4,0.0
0.992774,0.0,0.0,0.987527,1.0,0.0,0.995,0.015,0.00575,,0.003965,0.0,0.458778,0.352945,0.0,0.0,0.164474,0.148885,,1.0,5,0.0
0.995378,0.0,0.0,0.987092,1.0,0.0,0.995,0.015,0.0058,,0.002607,0.0,0.300764,0.354011,0.0,0.0,0.164474,0.148885,,1.0,6,0.0
0.999351,0.0,0.0,0.995982,1.0,0.0,0.995,0.015,0.005925,,0.000345,0.0,0.04299,0.32791,0.0,0.0,0.164474,0.148885,,1.0,7,0.0
0.99816,0.000512,0.0,0.995323,0.887331,0.082248,0.990025,0.0178,0.011175,,0.003806,0.0,0.124477,0.330135,0.547818,0.0,0.197721,0.176144,,1.0,8,0.005
0.999964,3.6e-05,0.333286,0.997795,0.887536,0.0,0.980075,0.0174,0.00665,,1.5e-05,0.0,0.002393,0.132327,0.0,0.0,0.27737,0.172265,,1.0,9,0.015
0.999351,0.0,0.0,0.977352,1.0,0.0,0.98505,0.0172,0.006575,,0.00064,0.0,0.04299,0.371276,0.0,0.0,0.235346,0.170324,,1.25,0,0.01
0.997799,0.000397,0.0,0.987291,0.887518,0.0,0.980075,0.0174,0.007425,,0.002499,0.0,0.147914,0.353528,0.0,0.0,0.27737,0.172265,,1.25,1,0.015
0.999928,0.0,0.0,0.998856,1.0,0.0,0.995,0.015,0.005825,,3.7e-05,0.0,0.004778,0.317737,0.0,0.0,0.164474,0.148885,,1.25,2,0.0
0.993179,0.001366,0.0,0.988758,0.858291,0.0,0.9784,0.0196,0.007825,,0.009191,0.0,0.464158,0.349809,0.0,0.0,0.292494,0.193528,,1.25,3,0.016683
0.994149,0.0,0.0,0.990841,1.0,0.0,0.995,0.0152,0.005825,,0.003217,0.0,0.376827,0.344084,0.0,0.0,0.164474,0.15084,,1.25,4,0.0
0.999711,0.0,0.0,0.997008,1.0,0.0,0.995,0.015,0.00585,,0.000152,0.0,0.019111,0.324364,0.0,0.0,0.164474,0.148885,,1.25,5,0.0
0.996354,0.001244,0.0,0.996274,0.770215,0.0,0.955225,0.0278,0.0397,,0.012198,0.0,0.253347,0.326914,0.0,0.0,0.543373,0.271053,,1.25,6,0.039975
0.997402,0.0,0.0,0.996726,1.0,0.0,0.995,0.015,0.005875,,0.001363,0.0,0.171138,0.32535,0.0,0.0,0.164474,0.148885,,1.25,7,0.0
