mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,gzip_byte,fractal_dim,score,score_geom,w_H,w_OP_s,w_OP_t,w_geom,w_T,w_G,w_dim,epsilon,seed,density
0.823713,0.007111,0.056213,0.82329,0.992766,0.045202,0.997002,0.013687,0.087728,,0.00152,0.002321,1.829648,0.009507,0.030587,0.061232,0.152304,0.136017,,0.0,0,0.258054
0.839763,0.004443,0.0,0.8397,0.991898,0.051314,0.996934,0.01395,0.08762,,0.001762,0.0,1.640103,0.01258,0.038189,0.0,0.152709,0.138604,,0.0,1,0.268842
0.836188,0.006562,0.0,0.835968,0.99156,0.052696,0.996904,0.014463,0.079761,,0.002009,0.0,1.793728,0.010328,0.040676,0.0,0.152882,0.143629,,0.0,2,0.266408
0.828881,0.0043,0.0,0.828515,0.99366,0.040043,0.99707,0.012642,0.073325,,0.000963,0.0,1.629232,0.006849,0.024079,0.0,0.151904,0.125747,,0.0,3,0.26144
0.835175,0.009066,0.0,0.835212,0.992411,0.046909,0.997005,0.013638,0.081021,,0.001719,0.0,1.934972,0.009917,0.033134,0.0,0.152286,0.135538,,0.0,4,0.26576
0.829796,0.004601,0.0,0.829459,0.993136,0.042746,0.997018,0.013643,0.094813,,0.001188,0.0,1.652038,0.007224,0.027631,0.0,0.15221,0.135586,,0.0,5,0.262055
0.82298,0.010635,0.20936,0.822961,0.994234,0.036484,0.997103,0.012646,0.074271,,0.001157,0.002192,1.98555,0.010414,0.020128,0.057841,0.151706,0.125795,,0.0,6,0.25764
0.842118,0.005792,0.0,0.841872,0.992842,0.043789,0.99702,0.013354,0.078192,,0.00153,0.0,1.740004,0.014075,0.029432,0.0,0.1522,0.132757,,0.0,7,0.270498
0.825747,0.008032,0.0,0.825809,0.99322,0.042522,0.997021,0.013389,0.086137,,0.001261,0.0,1.884233,0.005868,0.027167,0.0,0.152189,0.133092,,0.01,0,0.259409
0.835833,0.003234,0.0,0.835756,0.992424,0.048003,0.996974,0.013843,0.082902,,0.001428,0.0,1.548599,0.010211,0.033746,0.0,0.152467,0.13755,,0.01,1,0.266126
0.834625,0.0035,0.0,0.834475,0.993097,0.04329,0.997001,0.01374,0.081614,,0.001228,0.0,1.568706,0.009529,0.028102,0.0,0.152308,0.136544,,0.01,2,0.265305
0.827987,0.005259,0.0,0.82798,0.992294,0.04792,0.996977,0.013672,0.076219,,0.001442,0.0,1.701131,0.006645,0.034272,0.0,0.152452,0.135873,,0.01,3,0.260854
0.827009,0.006154,0.0,0.826956,0.993065,0.043238,0.997037,0.013174,0.088994,,0.001212,0.0,1.765691,0.006268,0.0282,0.0,0.152095,0.130981,,0.01,4,0.260215
0.823409,0.004774,0.0,0.823266,0.993028,0.044054,0.997011,0.013437,0.08164,,0.001147,0.0,1.665044,0.005061,0.028822,0.0,0.15225,0.133572,,0.01,5,0.257825
0.817398,0.0089,0.298594,0.817384,0.994416,0.034988,0.997134,0.012515,0.081614,,0.00078,0.002165,1.927692,0.002696,0.018759,0.05953,0.151523,0.124497,,0.01,6,0.253979
0.835447,0.006731,0.0,0.83541,0.99248,0.047187,0.99695,0.013979,0.082218,,0.001646,0.0,1.80504,0.010023,0.033005,0.0,0.152611,0.138891,,0.01,7,0.265905
0.826183,0.008226,0.0,0.82624,0.994166,0.03709,0.997102,0.012842,0.08261,,0.00098,0.0,1.894695,0.006016,0.020674,0.0,0.151713,0.127717,,0.02,0,0.259701
0.843475,0.006355,0.0,0.843426,0.994098,0.037128,0.997086,0.012808,0.080749,,0.001245,0.0,1.779607,0.015234,0.020933,0.0,0.151807,0.12738,,0.02,1,0.271457
0.834325,0.003199,0.0,0.834253,0.991673,0.052049,0.99692,0.014058,0.082833,,0.001621,0.0,1.546008,0.009415,0.039717,0.0,0.152792,0.139657,,0.02,2,0.265098
0.831254,0.009656,0.0,0.831383,0.992887,0.043923,0.997015,0.013394,0.078828,,0.001483,0.0,1.957993,0.008043,0.029327,0.0,0.152228,0.13314,,0.02,3,0.263115
0.834608,0.007081,0.0,0.834543,0.993804,0.038721,0.997093,0.012651,0.080061,,0.001131,0.0,1.827747,0.009564,0.022833,0.0,0.151767,0.125843,,0.02,4,0.265338
0.830249,0.006908,0.0,0.830094,0.993521,0.041499,0.997067,0.013179,0.077568,,0.001189,0.0,1.81661,0.007486,0.025407,0.0,0.151922,0.131029,,0.02,5,0.262388
0.812599,0.006699,0.324975,0.812369,0.99451,0.035039,0.997141,0.012505,0.095057,,0.00067,0.002036,1.802871,0.001255,0.018468,0.059932,0.151483,0.124401,,0.02,6,0.25088
0.846012,0.006107,0.0,0.845934,0.993015,0.043321,0.996996,0.013867,0.076135,,0.001692,0.0,1.762391,0.017275,0.028451,0.0,0.152337,0.13779,,0.02,7,0.273243
0.818794,0.002664,0.0,0.818752,0.992183,0.048129,0.996978,0.01377,0.084863,,0.001218,0.0,1.506158,0.003867,0.034894,0.0,0.152448,0.136832,,0.05,0,0.254805
0.833615,0.002076,0.0,0.83347,0.992881,0.044379,0.997026,0.013262,0.081752,,0.001134,0.0,1.463304,0.009022,0.029622,0.0,0.152164,0.131845,,0.05,1,0.264609
0.834388,0.007038,0.0,0.834049,0.993049,0.043132,0.997036,0.013511,0.081217,,0.001399,0.0,1.82503,0.009311,0.028206,0.0,0.152102,0.134291,,0.05,2,0.265187
0.818822,0.002842,0.0,0.818683,0.992792,0.045345,0.997018,0.013213,0.084059,,0.001045,0.0,1.519307,0.003851,0.030563,0.0,0.152207,0.131365,,0.05,3,0.254824
0.829019,0.005361,0.0,0.828939,0.994087,0.037454,0.997109,0.012554,0.083467,,0.000911,0.0,1.708677,0.007015,0.021142,0.0,0.151674,0.124882,,0.05,4,0.261544
0.822725,0.003058,0.0,0.822444,0.993482,0.04178,0.99707,0.012891,0.080423,,0.000913,0.0,1.53543,0.004822,0.025715,0.0,0.151901,0.128197,,0.05,5,0.257363
0.80801,0.004954,0.290616,0.807984,0.994069,0.037414,0.997111,0.012739,0.090488,,0.000738,0.002203,1.678519,0.001688,0.021184,0.068287,0.15166,0.126708,,0.05,6,0.247971
0.838393,0.002004,0.0,0.83829,0.992356,0.047471,0.996951,0.014092,0.076528,,0.001414,0.0,1.458144,0.011684,0.03372,0.0,0.152607,0.139993,,0.05,7,0.267876
0.823047,0.004307,0.0,0.82307,0.994091,0.037581,0.99712,0.01251,0.086573,,0.000805,0.0,1.629757,0.005003,0.021192,0.0,0.151606,0.124449,,0.1,0,0.257583
0.823513,0.002949,0.0,0.823191,0.993452,0.041092,0.997079,0.012808,0.088083,,0.000901,0.0,1.527315,0.005039,0.025452,0.0,0.15185,0.12738,,0.1,1,0.257878
0.822629,0.004861,0.0,0.822434,0.99362,0.039736,0.997072,0.01312,0.087853,,0.000957,0.0,1.671517,0.004819,0.024066,0.0,0.151893,0.130453,,0.1,2,0.257315
0.8225,0.00417,0.0,0.822131,0.993359,0.040651,0.997066,0.012769,0.077571,,0.000947,0.0,1.619398,0.004734,0.025565,0.0,0.151926,0.126996,,0.1,3,0.257224
0.828448,0.002608,0.0,0.828432,0.994104,0.037375,0.997119,0.012402,0.086309,,0.000783,0.0,1.502018,0.006817,0.02104,0.0,0.151613,0.123391,,0.1,4,0.261138
0.832903,0.006414,0.0,0.832737,0.994381,0.0359,0.997114,0.012798,0.094927,,0.000964,0.0,1.783692,0.008667,0.019328,0.0,0.151645,0.127284,,0.1,5,0.264169
0.808855,0.005532,0.314849,0.808812,0.994237,0.036108,0.997123,0.012563,0.076911,,0.000689,0.002122,1.721196,0.001201,0.019928,0.065079,0.151588,0.124978,,0.1,6,0.248506
0.833416,0.003871,0.0,0.833299,0.993712,0.040316,0.997077,0.012817,0.07248,,0.001019,0.0,1.596714,0.008938,0.02403,0.0,0.151861,0.127477,,0.1,7,0.264486
0.818608,0.008569,0.295641,0.818515,0.995374,0.029172,0.997216,0.011748,0.081956,,0.000545,0.001273,1.912132,0.003025,0.013115,0.037684,0.151046,0.116943,,0.15,0,0.254753
0.825776,0.004402,0.0,0.825741,0.994687,0.032591,0.997173,0.01208,0.084878,,0.000672,0.0,1.637002,0.005845,0.016712,0.0,0.151293,0.120217,,0.15,1,0.259379
0.823022,0.005353,0.0,0.822949,0.994583,0.034042,0.997148,0.012349,0.083086,,0.000722,0.0,1.708082,0.004968,0.017741,0.0,0.15144,0.122862,,0.15,2,0.257577
0.826889,0.005166,0.0,0.826637,0.994944,0.032394,0.997172,0.011973,0.076469,,0.000671,0.0,1.694275,0.006154,0.015814,0.0,0.151304,0.119158,,0.15,3,0.260124
0.824202,0.004446,0.0,0.82416,0.994929,0.032009,0.997197,0.011836,0.077608,,0.000614,0.0,1.640304,0.005333,0.015687,0.0,0.151153,0.11781,,0.15,4,0.258342
0.821182,0.003964,0.0,0.820892,0.99455,0.034959,0.997134,0.012539,0.097322,,0.000688,0.0,1.603815,0.004398,0.018296,0.0,0.151527,0.124738,,0.15,5,0.256362
0.799242,0.002109,0.0,0.799214,0.994062,0.037519,0.997116,0.012407,0.080319,,0.000613,0.0,1.465676,0.001099,0.021263,0.0,0.151631,0.12344,,0.15,6,0.242546
0.820904,0.005206,0.0,0.82074,0.994173,0.037663,0.997108,0.012617,0.081877,,0.000817,0.0,1.697215,0.004358,0.020939,0.0,0.151677,0.125507,,0.15,7,0.256193
0.814645,0.004812,0.295743,0.814557,0.995293,0.02988,0.997209,0.011689,0.074093,,0.00047,0.001162,1.667897,0.002369,0.013652,0.039623,0.151081,0.116365,,0.2,0,0.252158
0.814,0.001532,0.015138,0.813953,0.994916,0.03246,0.997177,0.011772,0.083286,,0.000491,0.000431,1.42481,0.003519,0.015933,0.017078,0.151275,0.117184,,0.2,1,0.251727
0.824917,0.003853,0.0,0.824847,0.99506,0.031197,0.997177,0.012163,0.086078,,0.000598,0.0,1.595358,0.00555,0.014919,0.0,0.151275,0.121035,,0.2,2,0.258807
0.823197,0.002649,0.0,0.822801,0.99508,0.031457,0.997181,0.012017,0.077048,,0.000542,0.0,1.505001,0.004925,0.014972,0.0,0.15125,0.119591,,0.2,3,0.257669
0.825788,0.005393,0.0,0.825666,0.994879,0.032233,0.997171,0.012104,0.091017,,0.000679,0.0,1.711033,0.00582,0.015942,0.0,0.151307,0.120457,,0.2,4,0.259397
0.820055,0.002097,0.0,0.819679,0.994828,0.033563,0.99717,0.012124,0.095823,,0.000557,0.0,1.464788,0.00409,0.016722,0.0,0.151311,0.12065,,0.2,5,0.255618
0.816153,0.00479,0.139843,0.816163,0.995211,0.030613,0.997206,0.01167,0.080034,,0.000673,0.000951,1.666227,0.008799,0.014209,0.032517,0.151103,0.116172,,0.2,6,0.253122
0.822823,0.00129,0.0,0.82273,0.994886,0.033307,0.997171,0.012007,0.071906,,0.000543,0.0,1.408121,0.004904,0.016415,0.0,0.151307,0.119495,,0.2,7,0.257418
0.816701,0.005284,0.164088,0.816642,0.995691,0.027847,0.997239,0.011582,0.075905,,0.000607,0.00079,1.703025,0.008802,0.011691,0.026672,0.150909,0.115305,,0.3,0,0.253478
0.818313,0.003404,0.0,0.818188,0.994906,0.032669,0.997188,0.01188,0.085645,,0.000553,0.0,1.561415,0.003737,0.016059,0.0,0.151211,0.118243,,0.3,1,0.254499
0.820508,0.003796,0.0,0.820525,0.995296,0.030707,0.997205,0.011919,0.086015,,0.000522,0.0,1.591104,0.004303,0.013997,0.0,0.15111,0.118628,,0.3,2,0.255923
0.821124,0.002061,0.0,0.820874,0.99531,0.029763,0.997194,0.011929,0.082587,,0.000471,0.0,1.462182,0.004393,0.013552,0.0,0.151171,0.118725,,0.3,3,0.256312
0.81978,0.001809,0.0,0.819697,0.995946,0.026545,0.997243,0.011587,0.086033,,0.000367,0.0,1.444233,0.004094,0.01051,0.0,0.150884,0.115353,,0.3,4,0.255439
0.81891,0.002609,0.021239,0.818635,0.995424,0.029731,0.997199,0.011904,0.089359,,0.000491,0.000425,1.502049,0.005054,0.013209,0.015812,0.151142,0.118484,,0.3,5,0.25488
0.814434,0.002653,0.109146,0.814437,0.995694,0.027077,0.997211,0.011816,0.070125,,0.000506,0.0006,1.505306,0.00754,0.011375,0.022449,0.151074,0.117617,,0.3,6,0.252008
0.810352,0.003169,0.31933,0.810303,0.995385,0.029632,0.997198,0.011768,0.081061,,0.000396,0.00107,1.543779,0.00122,0.013279,0.039159,0.151146,0.117136,,0.3,7,0.249426
0.817803,0.006045,0.19471,0.817678,0.996468,0.022624,0.997281,0.011216,0.072108,,0.000478,0.000496,1.758046,0.008312,0.007853,0.016783,0.150659,0.11169,,0.4,0,0.254196
0.821431,0.002824,0.0,0.821321,0.995728,0.02733,0.99723,0.011646,0.092297,,0.000422,0.0,1.518016,0.004512,0.011386,0.0,0.15096,0.115931,,0.4,1,0.256516
0.825263,0.004845,0.0,0.82521,0.996549,0.021836,0.997276,0.011421,0.090105,,0.000374,0.0,1.670319,0.005668,0.007415,0.0,0.150691,0.113715,,0.4,2,0.259045
0.82002,0.005575,0.0,0.819363,0.996268,0.023917,0.997264,0.011299,0.063228,,0.000373,0.0,1.724301,0.004013,0.008756,0.0,0.150763,0.11251,,0.4,3,0.255623
0.816863,0.0028,0.0,0.816784,0.995665,0.02775,0.997242,0.011592,0.07501,,0.0004,0.0,1.516233,0.003431,0.011723,0.0,0.150888,0.115402,,0.4,4,0.253562
0.81349,0.002587,0.247149,0.813164,0.995858,0.026904,0.997253,0.011284,0.084753,,0.000381,0.000707,1.500447,0.004113,0.010876,0.027791,0.150827,0.112365,,0.4,5,0.251407
0.80106,0.00212,0.0,0.801014,0.996655,0.021806,0.997281,0.010923,0.078149,,0.000202,0.0,1.466471,0.001242,0.007177,0.0,0.150659,0.108796,,0.4,6,0.243655
0.819653,0.00136,0.0,0.819551,0.996341,0.024406,0.997233,0.011592,0.080115,,0.000315,0.0,1.412911,0.004058,0.008754,0.0,0.150942,0.115402,,0.4,7,0.255355
0.816602,0.005822,0.222949,0.816546,0.996984,0.019985,0.997303,0.010977,0.079189,,0.000354,0.000348,1.742141,0.006386,0.005946,0.012153,0.150534,0.109327,,0.5,0,0.253421
0.820849,0.002192,0.0,0.820154,0.996533,0.022379,0.997283,0.011064,0.077852,,0.000289,0.0,1.471638,0.004208,0.00763,0.0,0.150648,0.110195,,0.5,1,0.256134
0.817187,0.00188,0.0,0.817069,0.996443,0.022447,0.997286,0.011196,0.079267,,0.000276,0.0,1.449259,0.003491,0.00785,0.0,0.150634,0.111497,,0.5,2,0.253766
0.818694,0.002902,0.0,0.818205,0.996411,0.023468,0.997279,0.011221,0.082185,,0.000308,0.0,1.523796,0.003741,0.008269,0.0,0.150673,0.111738,,0.5,3,0.254742
0.819742,0.002401,0.0,0.81954,0.996162,0.024917,0.997269,0.011245,0.081428,,0.000337,0.0,1.486856,0.004056,0.009367,0.0,0.150734,0.11198,,0.5,4,0.255417
0.811839,0.003812,0.329544,0.811482,0.99644,0.023684,0.997291,0.010952,0.09017,,0.000245,0.000559,1.59228,0.00109,0.008274,0.021369,0.150605,0.109086,,0.5,5,0.250368
0.808093,0.002437,0.136974,0.808097,0.997107,0.018601,0.997313,0.01063,0.078215,,0.000252,0.000211,1.489482,0.005285,0.005318,0.008881,0.150476,0.1059,,0.5,6,0.248006
0.821255,0.0016,0.0,0.820968,0.996565,0.022747,0.997283,0.011094,0.078792,,0.000288,0.0,1.429588,0.004418,0.007677,0.0,0.150648,0.110485,,0.5,7,0.256396
