experiment,threshold,regime,peak_C_A,peak_t_A,peak_C_B,peak_t_B,final_C_A,mean_C_A,mean_C_B,var_C_A,var_C_B,lag1_ac_C_A,lag1_ac_C_B,mapping_agree
heterogeneous_thresholds,0.0,mixed,0.22474669554599314,2,0.2382168292326623,2,0.14281886846736583,0.14826568752294528,0.150569818019122,0.00039077819862098564,0.0005250289381489041,0.8974239181295456,0.9950206148864726,True
heterogeneous_thresholds,0.01,mixed,0.23645991347791093,2,0.23611651158450164,2,0.14538974794376577,0.15132840061136144,0.14746703897000032,0.00048406765092173185,0.0005285618804920935,0.9990605078571425,0.9955937285169515,True
heterogeneous_thresholds,0.02,mixed,0.24949625600312975,2,0.2454656039066795,2,0.14435191843074366,0.15149661098733916,0.14893108862906584,0.0006451724221796713,0.0006309532528356375,0.9961499756262291,0.9860973979234974,True
heterogeneous_thresholds,0.03,mixed,0.23583259686985986,2,0.2670703165270318,2,0.14332281540687655,0.14911016474467853,0.15276375775001963,0.0005013858400816836,0.0008914763740191132,0.9991848777821678,0.9983083564665876,True
heterogeneous_thresholds,0.04,mixed,0.25337583685521325,2,0.2818207009137019,2,0.14411086402319478,0.15143532832705028,0.15360098919136153,0.0006960714899696523,0.0011513441373531131,0.9987060530269279,0.9979549368993058,True
heterogeneous_thresholds,0.05,mixed,0.2897241074866019,2,0.2950131019507342,2,0.1457662530455359,0.1560687827437758,0.15514160283003048,0.0012163546133081619,0.0013601314472256594,0.9894803970055285,0.99688273335246,True
heterogeneous_thresholds,0.06,mixed,0.29443591926202206,2,0.3223284999107422,2,0.1445974513554682,0.15711497444474604,0.16000098651861216,0.001323847753601437,0.0018736471681243736,0.9906798875466728,0.9964883205084174,True
heterogeneous_thresholds,0.07,mixed,0.31820452192016957,2,0.3355852370937066,2,0.1441104772168601,0.1577375963215869,0.1607652128093479,0.0018294983851793254,0.0022083420032385777,0.9683743439453476,0.9972152166324221,True
heterogeneous_thresholds,0.08,mixed,0.33228582195202166,2,0.34182520574782255,2,0.1430435320587019,0.15846922321805543,0.15785860119232797,0.0021511538511913703,0.0024080901288237424,0.9941850971414288,0.9983823757969918,True
heterogeneous_thresholds,0.09,mixed,0.3629947672641402,2,0.3651645128009531,2,0.14432184527622954,0.16325645234923103,0.16307778210182416,0.0029322114264705586,0.0029155372712106227,0.9948337937806847,0.9978956678056385,True
heterogeneous_thresholds,0.1,mixed,0.4027789868045783,2,0.4051965872920854,2,0.14596098017762088,0.170087999535149,0.1693274419983743,0.004089175778957313,0.004281774479988487,0.9950265018243885,0.9911783198855625,True
heterogeneous_thresholds,0.11,mixed,0.395899178960474,2,0.4213413287693114,2,0.14429789273554589,0.16543077142708726,0.1702694713884877,0.0038178092382057647,0.004709713016543044,0.9989396663470632,0.9988635342092574,True
heterogeneous_thresholds,0.12,mixed,0.41913974361129236,2,0.4553725927642624,2,0.14339592917637772,0.1686074803736113,0.17275547837140307,0.004705213958310829,0.006239748295155315,0.9988673915998469,0.9930332751332372,True
heterogeneous_thresholds,0.13,mixed,0.4486148084907846,2,0.4783616517213529,2,0.14538190554822156,0.17361694224381746,0.18155363897742277,0.005804674518970023,0.006942703580942828,0.9903943382294738,0.9882609806618559,True
heterogeneous_thresholds,0.14,mixed,0.46287070705576855,2,0.5032191286900174,2,0.1440624445487688,0.17650547803117977,0.18773267855657882,0.006611614491144117,0.00853851521822359,0.9969391194089071,0.9983036881725542,True
heterogeneous_thresholds,0.15,mixed,0.4971136212575078,2,0.504878732516974,2,0.1460744613668478,0.18410262862374593,0.18091941083254384,0.008046350819337744,0.008718473109586353,0.9943502780377501,0.9972836914329433,True
heterogeneous_thresholds,0.16,mixed,0.5174108990380668,2,0.5361350413797449,2,0.14449967537206238,0.18645358807675877,0.1893821882235819,0.009358328554022119,0.010892743131301985,0.9972449527521281,0.99580884777654,True
heterogeneous_thresholds,0.17,mixed,0.5421528958445079,2,0.5479702147889047,2,0.14241973019469636,0.19044322563358249,0.19792414746951204,0.011555871039163853,0.011711919254154353,0.9878268320975114,0.9960142636792447,True
heterogeneous_thresholds,0.18,mixed,0.5647989693315406,2,0.5646577529682042,2,0.14314773842158707,0.19794815973695495,0.1955895860315386,0.012973932306256793,0.013004292130577959,0.99557209905264,0.9925364051594503,True
heterogeneous_thresholds,0.19,mixed,0.584267857804087,2,0.5997901742862024,2,0.14154272759901293,0.20301782568575627,0.21058571169188253,0.015039080407285221,0.016773475953496965,0.9915018795088855,0.9929732072232906,True
heterogeneous_thresholds,0.2,mixed,0.604736461801854,2,0.6162835153228128,2,0.1427075840631625,0.21307889212007936,0.21636673385876182,0.01730559883325986,0.018069180606835225,0.9958399343926659,0.9880206175243709,True
heterogeneous_thresholds,0.21,mixed,0.6370925449524811,2,0.637215543159507,2,0.14179550813372138,0.22581250911986,0.22931795353396411,0.0207067402649284,0.02103456231122073,0.990390197341993,0.9939184249439917,True
heterogeneous_thresholds,0.22,mixed,0.6503337333825663,2,0.6540609473484265,2,0.14470744758509863,0.2327721440868786,0.23255089811026983,0.022403083433142016,0.023040121381242798,0.9936472869261693,0.992010627451624,True
heterogeneous_thresholds,0.23,mixed,0.677062685916402,2,0.6711583296480124,2,0.1416111425232327,0.2500908456115185,0.2367492906011718,0.02784007150774131,0.026112101025502942,0.9942695887137761,0.9921773950493495,True
heterogeneous_thresholds,0.24,mixed,0.6940345956835665,2,0.6900523550940006,2,0.1398243032066438,0.24924906366504693,0.25217186789421875,0.02984975468223209,0.027997192874475545,0.9906710457118902,0.9952279883235243,True
heterogeneous_thresholds,0.25,mixed,0.6975800204900378,2,0.7112697799580243,2,0.13099637788040575,0.24571058382236988,0.25530369367501643,0.030723385237825,0.033160090153227066,0.9924242778207191,0.9913978642038703,True
heterogeneous_thresholds,0.26,mixed,0.7151034618802212,2,0.7202875850094257,2,0.13336403589903445,0.2648503086621747,0.26153760695416356,0.03523101090673013,0.036226717256035136,0.993900568148417,0.9911432145189473,True
heterogeneous_thresholds,0.27,mixed,0.7414163568538715,2,0.7358678794498685,2,0.12652807811326053,0.2742489878221064,0.269635104643171,0.03994736888327704,0.041367261242752675,0.9948557380863102,0.9924473180828715,True
heterogeneous_thresholds,0.28,mixed,0.7555610387121179,2,0.7472585175362024,2,0.12283217625289586,0.28408987252184736,0.2813411263431892,0.0439170429153834,0.04333197371158729,0.9924206363078552,0.9945253616613594,True
heterogeneous_thresholds,0.29,mixed,0.762170823878423,2,0.7623532058687541,2,0.10970882519907103,0.2762786219455557,0.2714674994119368,0.04690902166256306,0.04762903400340539,0.9938872824267846,0.9901990207289804,True
heterogeneous_thresholds,0.3,transition,0.7688326398273239,2,0.7823083459814939,2,0.11723746580593594,0.2980677547592756,0.2969489969769682,0.04859853341921519,0.05698756456673237,0.9947070944722025,0.9932034278884595,True
heterogeneous_thresholds,0.31,transition,0.7785271132642027,2,0.7746142131840825,2,0.08782102628191327,0.29698227505424435,0.28407799192030375,0.05497787717624221,0.05645201997473951,0.9950336933280083,0.9936866065819802,True
heterogeneous_thresholds,0.32,transition,0.7941901352003785,2,0.7968026179159288,2,0.07433939125504604,0.2766128315750418,0.2908378539084857,0.06359997294472153,0.06430219617980933,0.9895109426607195,0.9930657106570283,True
heterogeneous_thresholds,0.33,transition,0.8039159053904454,2,0.8066569953138032,2,0.06143989270568151,0.2954515930646624,0.2917604591869575,0.06313193623495898,0.06811388430236744,0.994626568868367,0.9926845365333025,True
heterogeneous_thresholds,0.34,transition,0.8097717059230902,2,0.7995445754756995,2,0.056093596542619716,0.29115702697862383,0.2875177249577735,0.07108641093799598,0.06976846455327632,0.9912433986682951,0.992502598294609,True
heterogeneous_thresholds,0.35,transition,0.8201961854300077,2,0.8051175882786025,2,0.04695626835386115,0.2903280622177571,0.2945119171158579,0.08012452142985829,0.06865612324980036,0.99134572370568,0.9936928124842885,True
