threshold,regime,peak_C_A,peak_t_A,peak_C_B,peak_t_B,final_C_A,mapping_agree
0.0,mixed,0.14369509668360297,2,0.14107015855884536,2,0.14369509668360297,True
0.01,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,True
0.02,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,True
0.03,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,True
0.04,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,True
0.05,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,True
0.06,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,True
0.07,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,True
0.08,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,True
0.09,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,True
0.1,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,True
0.11,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,True
0.12,mixed,0.2598352652929093,2,0.2685842335533687,2,0.1428784080815673,True
0.13,mixed,0.31030890858875004,2,0.30552941548433055,2,0.1479331919586214,True
0.14,mixed,0.31030890858875004,2,0.30552941548433055,2,0.1479331919586214,True
0.15,mixed,0.42783252686954476,2,0.4455037594280237,2,0.14518362747797278,True
0.16,mixed,0.42783252686954476,2,0.4455037594280237,2,0.14518362747797278,True
0.17,mixed,0.5553347271592728,2,0.5676209985914118,2,0.14115790938965672,True
0.18,mixed,0.5553347271592728,2,0.5676209985914118,2,0.14115790938965672,True
0.19,mixed,0.5553347271592728,2,0.5676209985914118,2,0.14115790938965672,True
0.2,mixed,0.5553347271592728,2,0.5676209985914118,2,0.14115790938965672,True
0.21,mixed,0.6263744302593205,2,0.6326690198682499,2,0.14403780873261884,True
0.22,mixed,0.6263744302593205,2,0.6326690198682499,2,0.14403780873261884,True
0.23,mixed,0.6263744302593205,2,0.6326690198682499,2,0.14403780873261884,True
0.24,mixed,0.6263744302593205,2,0.6326690198682499,2,0.14403780873261884,True
0.25,mixed,0.6263744302593205,2,0.6326690198682499,2,0.14403780873261884,True
0.26,mixed,0.7015272966982565,2,0.6927373055365047,2,0.14080859223152817,True
0.27,mixed,0.7015272966982565,2,0.6927373055365047,2,0.14080859223152817,True
0.28,mixed,0.7015272966982565,2,0.6927373055365047,2,0.14080859223152817,True
0.29,mixed,0.7821536024052944,2,0.7670952916065259,2,0.09274408189510652,True
0.3,transition,0.7821536024052944,2,0.7670952916065259,2,0.09274408189510652,True
0.31,transition,0.7821536024052944,2,0.7670952916065259,2,0.09274408189510652,True
0.32,transition,0.7821536024052944,2,0.7670952916065259,2,0.09274408189510652,True
0.33,transition,0.7821536024052944,2,0.7670952916065259,2,0.09274408189510652,True
0.34,transition,0.8288949621942547,2,0.8123205291630358,2,0.0459523684717594,True
0.35,transition,0.8288949621942547,2,0.8123205291630358,2,0.0459523684717594,True
0.36,transition,0.8288949621942547,2,0.8123205291630358,2,0.0459523684717594,True
0.37,transition,0.8288949621942547,2,0.8123205291630358,2,0.0459523684717594,True
0.38,transition,0.825733937172556,2,0.8171684856989707,2,0.022581901686517615,True
0.39,transition,0.825733937172556,2,0.8171684856989707,2,0.022581901686517615,True
