mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,gzip_byte,fractal_dim,score,score_geom,w_H,w_OP_s,w_OP_t,w_geom,w_T,w_G,w_dim,beta,R0,seed,mapping,regime,final_I_density,final_S_density
0.002005,0.005104,0.0,0.002423,0.897017,0.496662,0.994977,0.002852,0.00135,,0.000613,0.0,0.168799,0.0,0.773763,0.0,0.164619,0.028508,,0.005,0.4,0,infected,sub-critical,0.0,0.985168
0.110908,0.001228,0.0,0.108823,0.999495,0.002676,0.994994,0.011157,0.019041,,3e-06,0.0,1.403904,0.0,0.000135,0.0,0.164515,0.111112,,0.005,0.4,0,susceptible,sub-critical,0.0,0.985168
0.001816,0.003962,0.0,0.002139,0.823171,0.678193,0.99498,0.003076,0.00135,,0.000693,0.0,0.145179,0.0,0.943419,0.0,0.1646,0.030752,,0.005,0.4,1,infected,sub-critical,0.0,0.985474
0.109063,0.000998,0.0,0.106711,0.999138,0.003766,0.994995,0.011838,0.021324,,9e-06,0.0,1.388364,0.0,0.000325,0.0,0.164503,0.117834,,0.005,0.4,1,susceptible,sub-critical,0.0,0.985474
0.002205,0.00527,0.0,0.002631,0.826038,0.583561,0.994974,0.003596,0.001421,,0.00104,0.0,0.186875,0.0,0.940166,0.0,0.164639,0.035946,,0.005,0.4,2,infected,sub-critical,0.0,0.984436
0.115446,0.000929,0.0,0.113445,0.999183,0.003296,0.994995,0.01231,0.022119,,8e-06,0.0,1.383777,0.0,0.000269,0.0,0.164509,0.122478,,0.005,0.4,2,susceptible,sub-critical,0.0,0.984436
0.001957,0.005194,0.0,0.002417,0.855676,0.649209,0.994974,0.003301,0.001389,,0.000804,0.0,0.165438,0.0,0.894345,0.0,0.164635,0.032996,,0.005,0.4,3,infected,sub-critical,0.0,0.98291
0.124476,0.001056,0.0,0.120937,0.99948,0.003111,0.994995,0.011418,0.021172,,4e-06,0.0,1.392304,0.0,0.000162,0.0,0.164507,0.113691,,0.005,0.4,3,susceptible,sub-critical,0.0,0.98291
0.002034,0.005582,0.0,0.002507,0.827263,0.565094,0.994973,0.003303,0.001353,,0.000892,0.0,0.17485,0.0,0.938721,0.0,0.16464,0.03302,,0.005,0.4,4,infected,sub-critical,0.0,0.984009
0.118077,0.000929,0.0,0.114455,0.999531,0.001719,0.994995,0.011599,0.020749,,2e-06,0.0,1.383789,0.0,8.1e-05,0.0,0.164509,0.115474,,0.005,0.4,4,susceptible,sub-critical,0.0,0.984009
0.005161,0.009733,0.0,0.005799,0.862247,0.548697,0.994927,0.00561,0.001873,,0.004028,0.0,0.495007,0.0,0.880368,0.0,0.164933,0.056045,,0.01,0.8,0,infected,sub-critical,0.0,0.976501
0.157933,0.005847,0.0,0.145567,0.997786,0.011354,0.994973,0.012119,0.018689,,8.7e-05,0.0,1.743988,0.0,0.002502,0.0,0.16464,0.120602,,0.01,0.8,0,susceptible,sub-critical,0.0,0.976501
0.004968,0.010757,0.0,0.005917,0.83722,0.610608,0.994923,0.005657,0.001876,,0.004176,0.0,0.483942,0.0,0.925738,0.0,0.164956,0.056507,,0.01,0.8,1,infected,sub-critical,0.0,0.974792
0.168007,0.004763,0.0,0.154881,0.998198,0.008659,0.994976,0.012925,0.021432,,5.5e-05,0.0,1.664197,0.0,0.001556,0.0,0.164625,0.128533,,0.01,0.8,1,susceptible,sub-critical,0.0,0.974792
0.004397,0.009532,0.0,0.005135,0.844444,0.587759,0.994933,0.005244,0.001735,,0.00334,0.0,0.422688,0.0,0.914684,0.0,0.164893,0.052393,,0.01,0.8,2,infected,sub-critical,0.0,0.975891
0.162268,0.004021,0.0,0.151635,0.998494,0.006718,0.99498,0.013457,0.021471,,3.6e-05,0.0,1.608151,0.0,0.00101,0.0,0.164597,0.133764,,0.01,0.8,2,susceptible,sub-critical,0.0,0.975891
0.006062,0.012185,0.0,0.007095,0.859242,0.60566,0.99491,0.006335,0.002086,,0.005448,0.0,0.588253,0.0,0.886969,0.0,0.165036,0.06327,,0.01,0.8,3,infected,sub-critical,0.0,0.969421
0.195123,0.005391,0.0,0.177689,0.997944,0.00949,0.994972,0.011265,0.022577,,6.1e-05,0.0,1.71087,0.0,0.001945,0.0,0.164652,0.112172,,0.01,0.8,3,susceptible,sub-critical,0.0,0.969421
0.004283,0.010049,0.0,0.005072,0.843617,0.588564,0.994936,0.005215,0.00168,,0.003271,0.0,0.415659,0.0,0.916024,0.0,0.164877,0.052101,,0.01,0.8,4,infected,sub-critical,0.0,0.975403
0.165251,0.003389,0.0,0.154507,0.998757,0.00552,0.994981,0.01042,0.021754,,1.8e-05,0.0,1.560329,0.0,0.000685,0.0,0.164593,0.103824,,0.01,0.8,4,susceptible,sub-critical,0.0,0.975403
0.010729,0.016639,0.0,0.011837,0.842578,0.545143,0.994813,0.010391,0.00278,,0.014239,0.0,0.904735,0.0,0.917661,0.0,0.165649,0.103534,,0.015,1.2,0,infected,critical,0.0,0.958923
0.238765,0.015432,0.0,0.209501,0.996764,0.016399,0.994925,0.013501,0.027892,,0.000223,0.0,1.912074,0.0,0.005259,0.0,0.164946,0.134195,,0.015,1.2,0,susceptible,critical,0.0,0.958923
0.010087,0.017835,0.0,0.01148,0.839282,0.581623,0.994821,0.009998,0.002752,,0.012521,0.0,0.822365,0.0,0.922725,0.0,0.165593,0.099644,,0.015,1.2,1,infected,critical,0.0,0.957336
0.248031,0.012667,0.0,0.217254,0.997387,0.01314,0.994934,0.012476,0.034859,,0.000139,0.0,1.996526,0.0,0.003413,0.0,0.164885,0.124113,,0.015,1.2,1,susceptible,critical,0.0,0.957336
0.010122,0.017352,0.0,0.011305,0.844741,0.585066,0.99482,0.008823,0.002469,,0.011194,0.0,0.840161,0.0,0.914196,0.0,0.165603,0.088004,,0.015,1.2,2,infected,critical,0.0,0.958313
0.243579,0.013897,0.0,0.212758,0.997259,0.013977,0.994932,0.012654,0.027156,,0.000156,0.0,1.972285,0.0,0.003805,0.0,0.164898,0.125867,,0.015,1.2,2,susceptible,critical,0.0,0.958313
0.011781,0.021675,0.0,0.013367,0.835821,0.60173,0.994778,0.010435,0.003,,0.012541,0.0,0.783903,0.0,0.927711,0.0,0.165869,0.103969,,0.015,1.2,3,infected,critical,0.0,0.947937
0.288558,0.014436,0.0,0.246654,0.9969,0.01492,0.994918,0.011843,0.037969,,0.000174,0.0,1.954689,0.0,0.004589,0.0,0.164988,0.117882,,0.015,1.2,3,susceptible,critical,0.0,0.947937
0.011579,0.019353,0.0,0.012853,0.828277,0.612868,0.994807,0.010688,0.002891,,0.014291,0.0,0.864008,0.0,0.93752,0.0,0.165687,0.10648,,0.015,1.2,4,infected,critical,0.0,0.954956
0.258042,0.013866,0.0,0.223017,0.996879,0.015361,0.994926,0.014189,0.035594,,0.000218,0.0,1.973155,0.0,0.004755,0.0,0.164935,0.14095,,0.015,1.2,4,susceptible,critical,0.0,0.954956
0.027684,0.033569,0.0,0.029307,0.824154,0.591664,0.994434,0.02218,0.005711,,0.031279,0.0,0.905168,0.0,0.942317,0.0,0.168038,0.218235,,0.02,1.6,0,infected,super-critical,0.0,0.908386
0.413333,0.04197,0.0,0.336651,0.9942,0.02956,0.994756,0.017239,0.049774,,0.000472,0.0,1.000896,0.0,0.016644,0.0,0.166005,0.1707,,0.02,1.6,0,susceptible,super-critical,0.0,0.908386
0.029816,0.03543,0.0,0.031693,0.832592,0.578009,0.994376,0.02396,0.006086,,0.033801,0.0,0.915867,0.0,0.932071,0.0,0.168409,0.235118,,0.02,1.6,1,infected,super-critical,0.0,0.904419
0.424685,0.048407,0.0,0.344144,0.994059,0.031439,0.994726,0.018411,0.044315,,0.000547,0.0,1.000032,0.0,0.018065,0.0,0.166196,0.182054,,0.02,1.6,1,susceptible,super-critical,0.0,0.904419
0.026914,0.030217,0.0,0.028071,0.823879,0.589676,0.994459,0.021294,0.005349,,0.03115,0.0,0.938352,0.0,0.942624,0.0,0.167879,0.209778,,0.02,1.6,2,infected,super-critical,0.0,0.914001
0.393714,0.044287,0.0,0.322233,0.994231,0.029569,0.994765,0.016467,0.043318,,0.000449,0.0,1.00029,0.0,0.01656,0.0,0.165946,0.1632,,0.02,1.6,2,susceptible,super-critical,0.0,0.914001
0.026694,0.03511,0.0,0.028535,0.828279,0.603346,0.994448,0.021482,0.00553,,0.029443,0.0,0.883809,0.0,0.937515,0.0,0.167953,0.211575,,0.02,1.6,3,infected,super-critical,0.0,0.906067
0.426251,0.038415,0.0,0.34861,0.994432,0.02785,0.994767,0.016187,0.048224,,0.000404,0.0,1.004292,0.0,0.015103,0.0,0.165933,0.160466,,0.02,1.6,3,susceptible,super-critical,0.0,0.906067
0.025778,0.034521,0.0,0.027988,0.83066,0.583582,0.994471,0.020371,0.005299,,0.027578,0.0,0.875165,0.0,0.934563,0.0,0.167802,0.200939,,0.02,1.6,4,infected,super-critical,0.0,0.911133
0.4111,0.039729,0.0,0.335189,0.994413,0.029112,0.994772,0.016758,0.043289,,0.000436,0.0,1.002461,0.0,0.015804,0.0,0.165902,0.166027,,0.02,1.6,4,susceptible,super-critical,0.0,0.911133
0.05765,0.046729,0.0,0.057871,0.812889,0.602127,0.993648,0.042441,0.010588,,0.065723,0.0,0.993829,0.0,0.953683,0.0,0.17308,0.400643,,0.025,2.0,0,infected,super-critical,0.0,0.81488
0.606252,0.084333,0.220982,0.479617,0.990404,0.050057,0.994381,0.025684,0.078773,,0.001873,0.005022,1.0,0.0,0.044253,0.11867,0.168377,0.251334,,0.025,2.0,0,susceptible,super-critical,0.0,0.81488
0.063547,0.051124,0.0,0.064292,0.812647,0.602997,0.993476,0.047253,0.011765,,0.072903,0.0,0.996535,0.0,0.953902,0.0,0.174202,0.440245,,0.025,2.0,1,infected,super-critical,0.0,0.799927
0.640754,0.098348,0.204606,0.501094,0.990209,0.052134,0.994296,0.028552,0.081723,,0.002194,0.0058,1.0,0.0,0.046725,0.123513,0.168917,0.278008,,0.025,2.0,1,susceptible,super-critical,0.0,0.799927
0.056713,0.046587,0.0,0.0575,0.809594,0.611463,0.993677,0.041482,0.010235,,0.064483,0.0,0.993224,0.0,0.956575,0.0,0.172894,0.392557,,0.025,2.0,2,infected,super-critical,0.0,0.823364
0.597546,0.093595,0.259616,0.469563,0.990726,0.048797,0.994393,0.025627,0.07595,,0.001767,0.004973,1.0,0.0,0.041856,0.117803,0.1683,0.250808,,0.025,2.0,2,susceptible,super-critical,0.0,0.823364
0.065727,0.057013,0.0,0.067006,0.811431,0.613856,0.993399,0.048423,0.011842,,0.074804,0.0,0.997208,0.0,0.954987,0.0,0.1747,0.449624,,0.025,2.0,3,infected,super-critical,0.0,0.789429
0.665645,0.100389,0.187381,0.524425,0.989583,0.055138,0.994263,0.028557,0.084129,,0.002448,0.006307,1.0,0.0,0.052057,0.134111,0.169126,0.278054,,0.025,2.0,3,susceptible,super-critical,0.0,0.789429
0.057658,0.050968,0.0,0.058624,0.821503,0.588578,0.99367,0.041765,0.010762,,0.064158,0.0,0.993761,0.0,0.945212,0.0,0.172941,0.39495,,0.025,2.0,4,infected,super-critical,6.1e-05,0.813171
