alpha,alpha_s,mass_ratio,temperature,complexity,entity_c,field_c,sp_entropy,t_comp,gzip_ratio,eoc_weight,stability,interact,size_div,div_rate,mean_cluster_count,physical_state,in_predicted_island,mean_largest_cluster_frac,mean_physical_entropy,seed_state_variance
0.1,0.316228,10.0,0.35,7.121328,53.259508,0.968847,0.832348,0.945202,0.093128,0.369341,0.809397,2.559568,0.345454,0.503876,7.1742,Active,False,0.0429,0.832291,True
0.1,0.408424,10.0,0.35,12.123146,136.069161,1.084481,0.829633,0.942929,0.098323,0.376478,0.83901,4.210224,0.480703,0.581395,11.3106,Active,False,0.0619,0.827972,False
0.1,0.5275,10.0,0.35,16.635472,264.143187,1.04976,0.836069,0.937121,0.111147,0.359721,0.896279,5.768555,0.507525,0.627907,15.1515,Active,False,0.0667,0.837443,False
0.1,0.681292,10.0,0.35,16.549066,259.052722,1.067332,0.845921,0.928409,0.130195,0.334885,0.87729,5.918876,0.650858,0.612403,14.8182,Active,False,0.0952,0.847006,False
0.1,0.879923,10.0,0.35,13.559215,189.188091,0.973144,0.855489,0.898359,0.180303,0.31149,0.868025,5.104167,0.645732,0.736434,11.1818,Active,False,0.2381,0.85423,False
0.1,1.136464,10.0,0.35,3.679048,15.211563,0.894814,0.866488,0.842424,0.274729,0.285927,0.680131,1.398593,0.698636,0.751938,2.8561,Collapsed,False,0.8905,0.864603,False
0.1,1.467799,10.0,0.35,0.699225,1.0,0.488928,0.870831,0.770328,0.361959,0.276218,1.0,0.0,0.0,0.0,1.0,Collapsed,False,1.0,0.870656,False
0.1,1.895736,10.0,0.35,0.691389,1.0,0.478136,0.868512,0.698864,0.431223,0.281436,1.0,0.0,0.0,0.0,1.0,Collapsed,False,1.0,0.86762,False
0.1,2.448437,10.0,0.35,0.697574,1.0,0.486631,0.863098,0.657323,0.464719,0.293679,1.0,0.0,0.0,0.0,1.0,Collapsed,False,1.0,0.860314,False
0.1,3.162278,10.0,0.35,0.705642,1.0,0.497956,0.858417,0.635101,0.472673,0.304529,1.0,0.0,0.0,0.0,1.0,Collapsed,False,1.0,0.855546,False
0.154486,0.316228,10.0,0.35,6.837037,48.344672,1.00195,0.833137,0.943813,0.0954,0.367119,0.792482,2.201304,0.40399,0.573643,6.75,Dispersed,False,0.0381,0.833662,True
0.154486,0.408424,10.0,0.35,12.690069,147.319993,1.105592,0.825603,0.942803,0.099242,0.387037,0.837261,4.243401,0.467492,0.635659,11.5227,Active,False,0.0524,0.824088,False
0.154486,0.5275,10.0,0.35,15.337744,218.095232,1.083461,0.833419,0.936364,0.112608,0.366398,0.854831,5.165579,0.528047,0.682171,13.6364,Active,False,0.081,0.833165,False
